Date,GRADE,GPS,ULTA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-10-25,,,29.49002265930176,,,,,,
2007-10-26,,,31.64590072631836,,,,,,
2007-10-29,,,34.31602478027344,,,,,,
2007-10-30,,,35.03794479370117,,,,,,
2007-10-31,,,33.821556091308594,32.86228981018066,,,,,
2007-11-01,,,32.367820739746094,33.43784942626953,,,,,
2007-11-02,,,32.06125259399414,33.52091979980469,,,,,
2007-11-05,,,31.15143394470215,32.88800163269043,,,,,
2007-11-06,,,31.08220863342285,32.09685440063477,,,,,
2007-11-07,,,29.025224685668945,31.137588119506837,31.99993896484375,,,,
2007-11-08,,,29.668031692504883,30.597630310058594,32.017739868164064,,,,
2007-11-09,,,29.569137573242188,30.0992073059082,31.810063552856445,,,,
2007-11-12,,,28.718656539916992,29.612651824951172,31.250326728820802,,,,
2007-11-13,,,28.80765724182129,29.15774154663086,30.627297973632814,,,,
2007-11-14,,,29.61858558654785,29.27641372680664,30.207000923156738,,,,
2007-11-15,,,29.865819931030277,29.31597137451172,29.956800842285155,,,,
2007-11-16,,,30.35039710998535,29.47222328186035,29.785715293884277,,,,
2007-11-19,,,28.86699485778809,29.50189094543457,29.55727138519287,,,,
2007-11-20,,,26.701229095458984,29.08060531616211,29.119173431396483,,,,
2007-11-21,,,24.08055305480957,27.972998809814452,28.624706268310547,30.31232261657715,,,
2007-11-22,,,24.08055305480957,26.815945434570313,28.065958404541014,30.04184913635254,,,
2007-11-23,,,23.902544021606445,25.52637481689453,27.49929904937744,29.654681301116945,,,
2007-11-26,,,23.932212829589844,24.539418411254882,27.020654678344727,29.135490703582764,,,
2007-11-27,,,23.605865478515625,23.92034568786621,26.50047550201416,28.563886737823488,,,
2007-11-28,,,24.57501983642578,24.019239044189455,25.99611892700195,28.101559925079346,,,
2007-11-29,,,24.515684127807617,24.106265258789062,25.461105346679688,27.70895309448242,,,
2007-11-30,,,25.455171585083008,24.416790771484376,24.97158279418945,27.378649044036866,,,
2007-12-03,,,26.008974075317383,24.832143020629882,24.685780715942382,27.121526050567628,,,
2007-12-04,,,25.56395530700684,25.223760986328127,24.572053337097167,26.845613384246825,,,
2007-12-05,,,26.246320724487305,25.55802116394043,24.788630104064943,26.706668186187745,,,
2007-12-06,,,27.185806274414062,26.09204559326172,25.09915542602539,26.582556915283202,,,
2007-12-07,,,27.67038345336914,26.535087966918944,25.47593936920166,26.48761920928955,,,
2007-12-10,,,27.195695877075195,26.772432327270508,25.802287673950197,26.41147117614746,,,
2007-12-11,,,20.678617477416992,25.795364761352538,25.50956287384033,26.005019187927246,,,
2007-12-12,,,19.33366584777832,24.412833786010744,24.985427474975587,25.49077320098877,,,
2007-12-13,,,18.35462188720703,22.646596908569336,24.369321250915526,24.915213298797607,,,
