Date,GRADE,GPS,TROW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1986-04-02,,,0.3374779522418976,,,,,,
1986-04-03,,,0.3800718486309051,,,,,,
1986-04-04,,,0.3800718486309051,,,,,,
1986-04-07,,,0.3735189735889435,,,,,,
1986-04-08,,,0.3800718486309051,0.37024249434471124,,,,,
1986-04-09,,,0.3866247236728668,0.3800718486309051,,,,,
1986-04-10,,,0.4062835276126861,0.3853141844272613,,,,,
1986-04-11,,,0.419389933347702,0.39317780137062075,,,,,
1986-04-14,,,0.4357725381851196,0.40562851428985597,,,,,
1986-04-15,,,0.4390486776828766,0.4174238801002502,0.39383318722248073,,,,
1986-04-16,,,0.4685372710227966,0.4338063895702362,0.4069391191005707,,,,
1986-04-17,,,0.4750900566577911,0.4475676953792572,0.41644093990325926,,,,
1986-04-18,,,0.4849195480346679,0.4606736183166504,0.42692570984363554,,,,
1986-04-21,,,0.5340666770935059,0.48033244609832765,0.4429804801940918,,,,
1986-04-22,,,0.5537258386611938,0.5032678782939911,0.46034587919712067,,,,
1986-04-23,,,0.5537258386611938,0.5203055918216706,0.4770559906959534,,,,
1986-04-24,,,0.5570020079612732,0.5366879820823669,0.49212783873081206,,,,
1986-04-25,,,0.5602784752845764,0.5517597675323487,0.5062166929244996,,,,
1986-04-28,,,0.5570020079612732,0.5563468337059021,0.5183396399021148,,,,
1986-04-29,,,0.5602784752845764,0.5576573610305786,0.5304626196622848,0.4621479034423828,,,
1986-04-30,,,0.504578173160553,0.5478278279304505,0.5340667098760605,0.4705029144883156,,,
1986-05-01,,,0.4881958365440368,0.534066593647003,0.535377287864685,0.47590911388397217,,,
1986-05-02,,,0.4914723932743072,0.5203053772449493,0.536032572388649,0.48147914111614226,,,
1986-05-05,,,0.4914723932743072,0.5071994543075562,0.5317731440067291,0.48737681210041045,,,
1986-05-06,,,0.4914723932743072,0.49343823790550234,0.5255477994680404,0.49294683933258054,,,
1986-05-07,,,0.4619842171669006,0.4849194467067718,0.5163736373186112,0.49671481400728223,,,
