Date,GRADE,GPS,PLD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-11-21,,,7.883608341217041,,,,,,
1997-11-24,,,7.797915935516357,,,,,,
1997-11-25,,,7.883608341217041,,,,,,
1997-11-26,,,7.797915935516357,,,,,,
1997-11-27,,,7.797915935516357,7.832192897796631,,,,,
1997-11-28,,,7.883608341217041,7.832192897796631,,,,,
1997-12-01,,,7.905033588409424,7.853616428375244,,,,,
1997-12-02,,,7.883608341217041,7.853616428375244,,,,,
1997-12-03,,,7.883608341217041,7.870754909515381,,,,,
1997-12-04,,,7.883608341217041,7.887893390655518,7.860043144226074,,,,
1997-12-05,,,7.905033588409424,7.8921784400939945,7.862185668945313,,,,
1997-12-08,,,7.947876930236816,7.9007471084594725,7.877181768417358,,,,
1997-12-09,,,7.947876930236816,7.913600826263428,7.883608627319336,,,,
1997-12-10,,,7.905033588409424,7.917885875701904,7.894320392608643,,,,
1997-12-11,,,7.905033588409424,7.922170925140381,7.905032157897949,,,,
1997-12-12,,,7.947876930236816,7.9307395935058596,7.911459016799927,,,,
1997-12-15,,,7.947876930236816,7.9307395935058596,7.915743350982666,,,,
1997-12-16,,,8.144908905029297,7.970145988464355,7.941873407363891,,,,
1997-12-17,,,8.338836669921875,8.056906604766846,7.987396240234375,,,,
1997-12-18,,,8.36037540435791,8.147974967956543,8.035072946548462,7.947558045387268,,,
1997-12-19,,,8.231096267700195,8.204618835449219,8.06767921447754,7.964932441711426,,,
1997-12-22,,,8.274190902709961,8.269881629943848,8.100310611724854,7.988746190071106,,,
1997-12-23,,,8.274190902709961,8.295738029479981,8.132942008972169,8.008275318145753,,,
1997-12-24,,,8.274190902709961,8.282808876037597,8.169857740402222,8.032089066505431,,,
1997-12-25,,,8.274190902709961,8.265571975708008,8.206773471832275,8.055902814865112,,,
1997-12-26,,,8.166457176208496,8.252644157409668,8.228631496429443,8.070045256614685,,,
1997-12-29,,,8.209548950195312,8.239715766906738,8.254798698425294,8.08527102470398,,,
1997-12-30,,,8.38192367553711,8.261262321472168,8.278500175476074,8.110186791419983,,,
1997-12-31,,,8.662039756774902,8.338832092285156,8.310820484161377,8.149108362197875,,,
