Date,GRADE,GPS,LKQ,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2018-06-15,54.6994081891736,C,31.308046340942383,30.860654830932617,30.66784534454346,29.737026977539063,30.92205234527588,33.99744707107544,35.10918711662293
2018-06-18,54.445156215072814,C,30.93365478515625,30.92430000305176,30.72025909423828,29.843726921081544,30.827332496643066,33.90703279495239,35.09828309059143
2018-06-19,54.11956739254967,C,30.727746963500977,30.94114761352539,30.752082061767577,29.96914644241333,30.728120193481445,33.81942642211914,35.08522638320923
2018-06-20,53.926653320158124,C,30.662229537963867,30.931786727905273,30.76144161224365,30.109073448181153,30.629095039367677,33.732662448883055,35.072216482162474
2018-06-21,52.9170414940448,C,30.147445678710938,30.755824661254884,30.727746772766114,30.209221649169923,30.515281715393066,33.642996883392335,35.05630505561829
2018-06-22,52.16680844322602,C,30.765180587768555,30.647251510620116,30.753953170776366,30.307965660095213,30.415694961547853,33.56755802154541,35.044699077606204
2018-06-25,51.72334123122215,C,30.297199249267575,30.519960403442383,30.72213020324707,30.38331060409546,30.298699340820313,33.501198081970216,35.03131477355957
2018-06-26,51.093091663057294,B,30.04448890686035,30.383308792114256,30.662228202819826,30.454443740844727,30.16878719329834,33.42229616165161,35.01900681495667
2018-06-27,50.01039847782001,B,29.660743713378903,30.183011627197267,30.557399177551268,30.476906967163085,30.027643623352052,33.34124158859253,35.0029550075531
2018-06-28,49.87926790943525,B,29.754344940185547,30.104391479492186,30.430108070373535,30.4778431892395,29.89960376739502,33.27506887435913,34.989851484298704
2018-06-29,49.08323780428529,B,29.85730361938477,29.92281608581543,30.285033798217775,30.476439571380617,29.78073627471924,33.20936418533325,34.975765237808226
2018-07-02,48.382179266725934,B,29.716901779174805,29.806756591796876,30.16335849761963,30.441808795928956,29.657375946044922,33.13064952850342,34.96018138885498
2018-07-03,48.13543288471971,B,29.72626304626465,29.743111419677735,30.063210105895998,30.407646083831786,29.5499271774292,33.04856534957886,34.94501877784729
2018-07-04,48.30299075619201,B,29.72626304626465,29.756215286254882,29.969613456726073,30.365527534484862,29.440793609619142,32.95796390533447,34.92662706375122
2018-07-05,49.29287666359287,B,30.07257080078125,29.819860458374023,29.962125968933105,30.34493637084961,29.472803649902342,32.86773681640625,34.90968606948852
2018-07-06,50.46535136173562,B,30.44695281982422,29.937790298461913,29.930303192138673,30.342128181457518,29.489276580810547,32.781253547668456,34.8934938621521
2018-07-09,52.4470283230348,B,30.97109603881836,30.188629150390625,29.99769287109375,30.35991153717041,29.52802551269531,32.7000117111206,34.87865879058838
2018-07-10,54.47792367499496,C,31.06468772888184,30.456314086914062,30.099712753295897,30.38097047805786,29.582685775756836,32.62260732650757,34.86349612236023
2018-07-11,56.06487438528658,C,30.49375915527344,30.60981330871582,30.18301429748535,30.37020673751831,29.62592746734619,32.538370532989504,34.84393446922302
2018-07-12,56.685492641940066,C,30.718385696411133,30.738976287841798,30.27941837310791,30.354763221740722,29.674223251342774,32.47070026397705,34.82535558700562
2018-07-13,57.66288626258784,C,31.317401885986328,30.913066101074218,30.425428199768067,30.35523099899292,29.73655849456787,32.408552169799805,34.80935052871704
2018-07-16,57.75146620958636,C,31.20509147644043,30.959865188598634,30.57424716949463,30.36880283355713,29.787100677490233,32.34209871292114,34.79395388603211
2018-07-17,58.0068239143609,C,31.504594802856445,31.047846603393555,30.752080345153807,30.407645225524902,29.84569206237793,32.28902942657471,34.77953998565674
2018-07-18,58.97523495679329,C,31.542036056518555,31.257501983642577,30.9336576461792,30.451635551452636,29.91120964050293,32.234930667877194,34.76428374290467
2018-07-19,60.09936468393491,C,32.00066375732422,31.513957595825197,31.126466941833495,30.5442964553833,29.984402198791503,32.186354084014894,34.75033789634705
2018-07-20,60.16566728558208,C,31.61690902709961,31.573859024047852,31.243462562561035,30.586882877349854,30.049919662475585,32.13759027481079,34.73400530815125
2018-07-23,60.803690857521076,C,32.02873992919922,31.738588714599608,31.34922695159912,30.673459911346434,30.117683639526366,32.09359994888305,34.71884266853333
2018-07-24,60.46050843023985,C,31.504594802856445,31.738588714599608,31.393217658996583,30.74646520614624,30.18020606994629,32.03847160339355,34.701293296813965
2018-07-25,60.12033466396934,C,31.542036056518555,31.738588714599608,31.498045349121092,30.84052982330322,30.237861557006838,31.988865451812742,34.683322763442995
2018-07-26,60.295366115622215,C,32.60903549194336,31.860263061523437,31.687110328674315,30.983264350891112,30.318541755676268,31.951894817352294,34.67213795661926
2018-07-27,60.23002002551647,C,31.776025772094727,31.89208641052246,31.732972717285158,31.07920045852661,30.383497734069824,31.89863838195801,34.65627330780029
2018-07-30,59.41153321477649,C,31.382923126220703,31.76292304992676,31.750755882263185,31.162501525878906,30.435163078308104,31.844352378845215,34.63975351333618
2018-07-31,59.30576792927786,C,31.373558044433597,31.736715698242186,31.737652206420897,31.244866275787352,30.498247108459474,31.789130401611327,34.62299974441528
2018-08-01,58.8401901434978,C,31.092775344848636,31.646863555908205,31.692726135253906,31.313191890716553,30.562828826904298,31.734750843048097,34.60746273994446
2018-08-02,56.981409423708556,B,31.092775344848636,31.34361152648926,31.601937294006348,31.364202117919923,30.62179470062256,31.680184135437013,34.589305057525635
2018-08-03,56.37109422005168,B,31.298681259155277,31.248142623901366,31.570114517211913,31.406788539886474,30.67196231842041,31.622996654510498,34.573861589431765
2018-08-06,55.873787786675656,B,30.98045539855957,31.16764907836914,31.46528606414795,31.407256507873534,30.71576541900635,31.565434799194335,34.55785655975342
2018-08-07,56.362069690145404,B,32.169132232666016,31.326763916015626,31.531739807128908,31.462478733062746,30.786711540222168,31.518355674743653,34.542319526672365
2018-08-08,56.73153683863442,B,31.776025772094727,31.463414001464844,31.555138778686523,31.52659206390381,30.83800247192383,31.466409587860106,34.526080503463746
2018-08-09,57.45964686998753,C,31.79474639892578,31.603808212280274,31.473709869384766,31.580410099029542,30.8791849899292,31.429532489776612,34.50843754768371
2018-08-10,57.727566961461655,C,31.58883476257324,31.661838912963866,31.454990768432616,31.593981742858887,30.913254165649413,31.397522506713866,34.4899054145813
2018-08-13,57.85596177712183,C,31.055328369140625,31.676813507080077,31.42223129272461,31.586493587493898,30.926170387268066,31.35371929168701,34.469080181121825
2018-08-14,56.81260318842585,C,31.298681259155277,31.50272331237793,31.414743614196777,31.57619791030884,30.943953666687012,31.31487668991089,34.452560377120975
2018-08-15,55.957242081629296,B,31.04597282409668,31.35671272277832,31.410063362121583,31.551394748687745,30.953500442504883,31.274349403381347,34.43505779266357
2018-08-16,55.17822365698413,B,31.07405662536621,31.212574768066407,31.40819149017334,31.505064392089842,30.96529369354248,31.229891109466553,34.4176020526886
2018-08-17,54.52731636164426,B,31.03661727905273,31.102131271362303,31.381985092163085,31.4760498046875,30.975963706970216,31.185058422088623,34.39888276100159
2018-08-20,54.59062490332018,B,31.102128982543945,31.111491394042968,31.394152450561524,31.429719257354737,30.985697708129884,31.14836856842041,34.38021020889282
2018-08-21,54.56269004008072,B,31.27996635437012,31.107748413085936,31.305235862731934,31.41848783493042,30.99842685699463,31.107466831207276,34.36130370140076
2018-08-22,54.31362582242438,B,30.83070373535156,31.064694595336913,31.210703659057618,31.38292121887207,31.00086025238037,31.05795431137085,34.34160164833069
2018-08-23,54.074867146705934,B,31.07405662536621,31.064694595336913,31.13863468170166,31.30617227554321,31.001796264648437,31.0061954498291,34.32068284988404
2018-08-24,54.371501016971706,B,31.45779800415039,31.148930740356445,31.125531005859376,31.290260887145998,31.004791297912597,30.96342182159424,34.30130836486816
2018-08-27,54.978157005083915,B,31.8696231842041,31.302429580688475,31.206960487365723,31.314595890045165,31.023510665893554,30.92542158126831,34.283805780410766
2018-08-28,55.723804342862024,B,31.935136795043945,31.433463668823244,31.27060604095459,31.342674827575685,31.047658462524414,30.88788932800293,34.26681798934936
2018-08-29,57.473038654664514,C,32.468631744384766,31.761049270629883,31.4128719329834,31.41146764755249,31.08378650665283,30.856440773010252,34.250672550201415
2018-08-30,58.94374475983276,C,32.13169479370117,31.972576904296876,31.518635749816895,31.463413619995116,31.123471488952635,30.819376602172852,34.232842426300046
2018-08-31,59.84728553563446,C,32.30952453613281,32.14292221069336,31.645926475524902,31.513955783843993,31.154358367919922,30.785026664733888,34.216322612762454
2018-09-03,60.074427095441536,C,32.30952453613281,32.2309024810791,31.76666603088379,31.580409240722656,31.194604873657227,30.74665210723877,34.19825845718384
2018-09-04,59.802445686570856,C,32.075538635253906,32.2589828491211,31.846223258972167,31.57572956085205,31.235225868225097,30.702006530761718,34.176497287750244
2018-09-05,58.58229693967718,C,31.832185745239254,32.13169364929199,31.946371459960936,31.57853755950928,31.278654708862305,30.653149166107177,34.15080504417419
2018-09-06,57.54681324422347,C,31.5513916015625,32.015633010864256,31.994104957580568,31.566369819641114,31.314595642089845,30.60709970474243,34.12408322334289
2018-09-07,56.08927482898778,C,31.14892578125,31.783513259887695,31.963217735290527,31.54437437057495,31.340428085327147,30.560582180023193,34.09581707954407
2018-09-10,54.672400704679625,B,31.08341407775879,31.53829116821289,31.884596824645996,31.545778656005858,31.367758331298827,30.512567138671876,34.06741054534912
2018-09-11,53.89976101749814,B,31.120853424072266,31.347354125976562,31.803168487548827,31.53688726425171,31.39565013885498,30.47278865814209,34.03937839508057
2018-09-12,53.05901925049084,B,30.802623748779297,31.14144172668457,31.636567687988283,31.52471981048584,31.417177352905274,30.428985481262206,34.00938074111939
2018-09-13,53.243970313910346,B,30.886857986450195,31.00853500366211,31.512084007263184,31.51535987854004,31.433463096618652,30.4531333732605,33.97779191017151
2018-09-14,53.54719732059164,B,30.68094062805176,30.91493797302246,31.34922561645508,31.49757604598999,31.4381428527832,30.463709716796874,33.94297397613526
2018-09-17,53.25296500658084,B,29.98833274841309,30.69592170715332,31.117106437683105,31.441886234283448,31.418487586975097,30.473256549835206,33.90413140296936
2018-09-18,53.095049106628636,P,30.222322463989254,30.516215515136718,30.93178482055664,31.389004039764405,31.401640281677246,30.49216302871704,33.86528881072998
