Date,GRADE,GPS,PAYX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.0990584045648574,,,,,,
1983-11-22,,,0.0970774218440055,,,,,,
1983-11-23,,,0.0970774218440055,,,,,,
1983-11-24,,,0.0970774218440055,,,,,,
1983-11-25,,,0.0931150391697883,0.09668114185333244,,,,,
1983-11-28,,,0.0911339670419693,0.09509625434875482,,,,,
1983-11-29,,,0.0931150391697883,0.09430377781391139,,,,,
1983-11-30,,,0.0931150391697883,0.09351130127906794,,,,,
1983-12-01,,,0.0950959548354148,0.0931150078773498,,,,,
1983-12-02,,,0.0931150391697883,0.0931150078773498,0.09489807486534112,,,,
1983-12-05,,,0.0950959548354148,0.0939074054360389,0.09450182989239686,,,,
1983-12-06,,,0.0931150391697883,0.0939074054360389,0.09410559162497514,,,,
1983-12-07,,,0.0931150391697883,0.0939074054360389,0.09370935335755341,,,,
1983-12-08,,,0.0931150391697883,0.09351122230291362,0.09331311509013171,,,,
1983-12-09,,,0.0931150391697883,0.09351122230291362,0.09331311509013171,,,,
1983-12-12,,,0.0931150391697883,0.0931150391697883,0.09351122230291362,,,,
1983-12-13,,,0.0911339670419693,0.0927188247442245,0.09331311509013171,,,,
1983-12-14,,,0.0911339670419693,0.09232261031866071,0.0931150078773498,,,,
1983-12-15,,,0.0911339670419693,0.0919263958930969,0.09271880909800526,,,,
1983-12-16,,,0.0911339670419693,0.0915301814675331,0.09252070188522335,0.09370938837528224,,,
1983-12-19,,,0.0891525298357009,0.09073767960071562,0.09192635938525197,0.09321409463882441,,,
1983-12-20,,,0.0891525298357009,0.09034139215946194,0.09153010845184321,0.09281785003840919,,,
1983-12-21,,,0.0911339670419693,0.09034139215946194,0.09133200123906131,0.09252067729830737,,,
1983-12-22,,,0.0970774218440055,0.09153008311986918,0.09172823950648304,0.09252067729830736,,,
1983-12-23,,,0.0970774218440055,0.09271877408027643,0.09212447777390477,0.09271879643201823,,,
1983-12-26,,,0.0970774218440055,0.09430375248193734,0.09252071604132647,0.09301596917212004,,,
1983-12-27,,,0.0970774218440055,0.09588873088359826,0.09311506152153011,0.0932140883058309,,,
1983-12-28,,,0.0970774218440055,0.0970774218440055,0.09370940700173372,0.09341220743954176,,,
1983-12-29,,,0.0970774218440055,0.0970774218440055,0.09430375248193734,0.09351128078997131,,,
1983-12-30,,,0.0950959548354148,0.09668112844228735,0.09469995126128189,0.09361032657325262,,,
1984-01-02,,,0.0950959548354148,0.09628483504056923,0.09529429376125328,0.09361032657325262,,,
1984-01-03,,,0.0931150391697883,0.09549235850572578,0.09569054469466201,0.09361032657325263,,,
1984-01-04,,,0.0931150391697883,0.09469988197088233,0.09588865190744393,0.09361032657325262,,,
1984-01-05,,,0.0931150391697883,0.0939074054360389,0.0954924136400222,0.09361032657325262,,,
1984-01-06,,,0.0970774218440055,0.09430369883775705,0.0954924136400222,0.09380844570696348,,,
1984-01-09,,,0.0950959548354148,0.09430369883775705,0.09529426693916314,0.09390749149024481,,,
1984-01-10,,,0.0950959548354148,0.09469988197088235,0.09509612023830406,0.09410559087991707,,,
1984-01-11,,,0.0931150391697883,0.09469988197088235,0.09469988197088233,0.09420464448630803,,,
1984-01-12,,,0.0911339670419693,0.09430366754531853,0.09410553649067872,0.09420464448630803,,,
1984-01-13,,,0.0911339670419693,0.0931149765849113,0.09370933771133418,0.09420464448630803,,,
1984-01-16,,,0.0911339670419693,0.0923225790262222,0.09331313893198963,0.09430371634662146,,,
1984-01-17,,,0.0931150391697883,0.0919263958930969,0.09331313893198963,0.09450184181332581,,,
1984-01-18,,,0.0931150391697883,0.0919263958930969,0.09331313893198961,0.09460089541971677,,,
1984-01-19,,,0.0911339670419693,0.0919263958930969,0.09311503171920772,0.09430372267961497,,,
1984-01-20,,,0.0911339670419693,0.0919263958930969,0.0925206862390041,0.09400654993951316,,,
1984-01-23,,,0.0911339670419693,0.0919263958930969,0.09212448745965955,0.09370937719941133,,,
1984-01-24,,,0.0911339670419693,0.09153018146753311,0.09172828868031499,0.09341220445930953,,,
1984-01-25,,,0.0911339670419693,0.0911339670419693,0.0915301814675331,0.09311503171920772,,,
1984-01-26,,,0.0891525298357009,0.09073767960071562,0.09133203774690626,0.09271878711879249,,,
1984-01-27,,,0.0851900652050972,0.0895488992333412,0.09073764756321905,0.09222349263727661,0.09331314265727991,,
1984-01-30,,,0.0851900652050972,0.08836011886596677,0.09014325737953184,0.09172819815576073,0.09303577587008471,,
1984-01-31,,,0.0851900652050972,0.08717133849859235,0.08935075998306272,0.09133194945752618,0.09279802873730654,,
1984-02-01,,,0.0851900652050972,0.08598255813121794,0.08855826258659363,0.09093570075929162,0.09256028160452838,,
1984-02-02,,,0.0851900652050972,0.0851900652050972,0.08796387240290642,0.09053945206105707,0.0923225344717502,,
1984-02-03,,,0.0812281146645546,0.08439767509698867,0.08697328716516495,0.08974698670208452,0.09208479598164553,,
1984-02-06,,,0.0792466849088668,0.08320899903774259,0.08578455895185469,0.08895452320575711,0.09184705033898348,,
1984-02-07,,,0.0792466849088668,0.08202032297849651,0.08459583073854444,0.08816205970942972,0.09156968325376508,,
1984-02-08,,,0.0713222399353981,0.0792467579245567,0.08261465802788732,0.08707241974771021,0.09113382726907726,,
1984-02-09,,,0.0673597604036331,0.07568069696426388,0.08043538108468054,0.0858837094157934,0.09057910338044163,,
1984-02-10,,,0.0713222399353981,0.07369952201843258,0.07904859855771063,0.08489312306046484,0.09014324739575383,,
