Date,GRADE,GPS,PH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.8698925971984863,,,,,,
1983-11-22,,,3.006555318832397,,,,,,
1983-11-23,,,3.0976641178131104,,,,,,
1983-11-24,,,3.0976641178131104,,,,,,
1983-11-25,,,3.2001607418060303,3.0543873786926268,,,,,
1983-11-28,,,3.279879093170166,3.136384677886963,,,,,
1983-11-29,,,3.2001607418060303,3.1751057624816896,,,,,
1983-11-30,,,3.2571024894714355,3.2069934368133546,,,,,
1983-12-01,,,3.2571024894714355,3.2388811111450195,,,,,
1983-12-02,,,3.268493175506592,3.252547597885132,3.1534674882888796,,,,
1983-12-05,,,3.2115488052368164,3.238881540298462,3.1876331090927126,,,,
1983-12-06,,,3.2229368686676025,3.2434367656707765,3.209271264076233,,,,
1983-12-07,,,3.2571024894714355,3.2434367656707765,3.2252151012420653,,,,
1983-12-08,,,3.2229368686676025,3.2366036415100097,3.237742376327515,,,,
1983-12-09,,,3.2115488052368164,3.2252147674560545,3.2388811826705934,,,,
1983-12-12,,,3.2343249320983887,3.229769992828369,3.2343257665634155,,,,
1983-12-13,,,3.188772439956665,3.2229371070861816,3.233186936378479,,,,
1983-12-14,,,3.154608249664306,3.2024382591247558,3.222937512397766,,,,
1983-12-15,,,3.0976641178131104,3.1773837089538572,3.2069936752319337,,,,
1983-12-16,,,3.040721893310547,3.1432183265686033,3.184216547012329,3.1688420176506042,,,
1983-12-19,,,3.0748860836029053,3.1113305568695067,3.170550274848938,3.179091691970825,,,
1983-12-20,,,3.0521111488342285,3.0839982986450196,3.1534677028656004,3.1813694834709167,,,
1983-12-21,,,3.006555318832397,3.054387712478637,3.1284129858016967,3.176814043521881,,,
1983-12-22,,,3.0976641178131104,3.0543877124786376,3.1158857107162476,3.176814043521881,,,
1983-12-23,,,3.0748860836029053,3.0612205505371093,3.1022194385528565,3.1705503106117248,,,
1983-12-26,,,3.0748860836029053,3.0612205505371093,3.086275553703308,3.1603006601333616,,,
1983-12-27,,,3.0748860836029053,3.0657755374908446,3.074886918067932,3.1540369272232054,,,
1983-12-28,,,3.1432180404663086,3.093108081817627,3.0737478971481322,3.1483427047729493,,,
1983-12-29,,,3.177382707595825,3.10905179977417,3.081719756126404,3.1443567156791685,,,
1983-12-30,,,3.245713472366333,3.1432172775268556,3.1022189140319822,3.1432177305221556,,,
1984-01-02,,,3.245713472366333,3.177382755279541,3.1193016529083253,3.1449259638786318,,,
1984-01-03,,,3.1659951210021973,3.1956045627593994,3.1306900501251222,3.1420788764953613,,,
1984-01-04,,,3.2571024894714355,3.2183814525604246,3.155744767189026,3.1420788764953613,,,
1984-01-05,,,3.291266679763794,3.2411582469940186,3.175105023384094,3.145495367050171,,,
1984-01-06,,,3.336822271347046,3.259380006790161,3.201298642158508,3.1517590403556826,,,
1984-01-09,,,3.325434684753418,3.275324249267578,3.2263535022735597,3.156314527988434,,,
1984-01-10,,,3.336822271347046,3.309489679336548,3.2525471210479737,3.1637170195579527,,,
