Date,GRADE,GPS,ABNB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-12-10,,,144.7100067138672,,,,,,
2020-12-11,,,139.25,,,,,,
2020-12-14,,,130.0,,,,,,
2020-12-15,,,124.8000030517578,,,,,,
2020-12-16,,,137.99000549316406,135.35000305175782,,,,,
2020-12-17,,,147.0500030517578,135.81800231933593,,,,,
2020-12-18,,,157.3000030517578,139.4280029296875,,,,,
2020-12-21,,,163.02000427246094,146.0320037841797,,,,,
2020-12-22,,,163.19000244140625,153.7100036621094,,,,,
2020-12-23,,,158.00999450683594,157.71400146484376,146.5320022583008,,,,
2020-12-24,,,154.83999633789062,159.27200012207032,147.5450012207031,,,,
2020-12-25,,,154.83999633789062,158.77999877929688,149.1040008544922,,,,
2020-12-28,,,149.0,155.9759979248047,151.00400085449218,,,,
2020-12-29,,,150.0,153.33799743652344,153.5240005493164,,,,
2020-12-30,,,148.42999267578125,151.4219970703125,154.56799926757813,,,,
2020-12-31,,,146.8000030517578,149.81399841308593,154.54299926757812,,,,
2021-01-01,,,146.8000030517578,148.20599975585938,153.4929992675781,,,,
2021-01-04,,,139.14999389648438,146.23599853515626,151.10599822998046,,,,
2021-01-05,,,148.3000030517578,145.8959991455078,149.61699829101562,,,,
2021-01-06,,,142.77000427246094,144.76400146484374,148.09299926757814,147.31250076293946,,,
2021-01-07,,,151.27000427246094,145.6580017089844,147.73600006103516,147.64050064086913,,,
2021-01-08,,,149.77000427246094,146.252001953125,147.2290008544922,148.1665008544922,,,
2021-01-11,,,148.1300048828125,148.04800415039062,147.14200134277343,149.0730010986328,,,
2021-01-12,,,160.8000030517578,150.54800415039062,148.2220016479492,150.8730010986328,,,
2021-01-13,,,169.99000549316406,155.99200439453125,150.3780029296875,152.4730010986328,,,
2021-01-14,,,180.5,161.83800354003907,153.7480026245117,154.14550094604493,,,
2021-01-15,,,169.27000427246094,165.73800354003907,155.99500274658203,154.74400100708007,,,
2021-01-18,,,169.27000427246094,169.96600341796875,159.0070037841797,155.05650100708007,,,
2021-01-19,,,173.69000244140625,172.54400329589845,161.54600372314454,155.58150100708008,,,
2021-01-20,,,161.8300018310547,170.91200256347656,163.4520034790039,155.77250137329102,,,
2021-01-21,,,180.3999938964844,170.89200134277343,166.36500244140626,157.0505012512207,,,
2021-01-22,,,181.8699951171875,173.41199951171876,169.57500152587892,158.40200119018556,,,
2021-01-25,,,177.52999877929688,175.06399841308593,172.51500091552734,159.8285011291504,,,
2021-01-26,,,192.7400054931641,178.8739990234375,175.70900115966796,161.9655014038086,,,
2021-01-27,,,201.25,186.75799865722655,178.83500061035156,164.60650177001952,,,
2021-01-28,,,187.3699951171875,188.1519989013672,179.52200012207032,166.635001373291,,,
2021-01-29,,,183.6300048828125,188.50400085449218,180.95800018310547,168.47650146484375,,,
2021-02-01,,,180.44000244140625,189.08600158691405,182.075,170.54100189208984,,,
2021-02-02,,,179.1699981689453,186.37200012207032,182.6229995727539,172.08450164794922,,,
2021-02-03,,,185.72000122070312,183.26600036621093,185.01199951171876,174.23200149536132,,,
2021-02-04,,,195.8000030517578,184.952001953125,186.5520004272461,176.45850143432617,,,
2021-02-05,,,195.30999755859372,187.28800048828126,187.89600067138673,178.73550109863282,,,
2021-02-08,,,200.42999267578125,191.28599853515624,190.18600006103514,181.35050048828126,,,
2021-02-09,,,199.8800048828125,195.4279998779297,190.9,183.30450057983398,,,
2021-02-10,,,211.66000366210935,200.61600036621093,191.94100036621094,185.38800048828125,,,
2021-02-11,,,216.83999633789065,204.8239990234375,194.88800048828125,187.2050003051758,,,
2021-02-12,,,212.67999267578125,208.297998046875,197.79299926757812,189.3754997253418,,,
2021-02-15,,,212.67999267578125,210.747998046875,201.01699829101562,191.5459991455078,,,
2021-02-16,,,209.8600006103516,212.7439971923828,204.08599853515625,193.35449905395507,,,
2021-02-17,,,201.9600067138672,210.8039978027344,205.70999908447266,195.3609992980957,169.75980072021486,,
2021-02-18,,,198.0399932861328,207.04399719238282,205.93399810791016,196.2429992675781,170.82640045166016,,
2021-02-19,,,201.07000732421875,204.7220001220703,206.50999908447267,197.2029998779297,172.06280059814452,,
2021-02-22,,,195.33999633789065,201.2540008544922,206.0009994506836,198.09349975585937,173.36960052490235,,
