Date,GRADE,GPS,VRSK,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2009-10-07,,,26.22837257385254,,,,,,
2009-10-08,,,25.63095474243164,,,,,,
2009-10-09,,,25.43824577331543,,,,,,
2009-10-12,,,25.293710708618164,,,,,,
2009-10-13,,,26.199464797973636,25.758149719238283,,,,,
2009-10-14,,,26.97032165527344,25.906539535522462,,,,,
2009-10-15,,,27.27865982055664,26.23608055114746,,,,,
2009-10-16,,,27.52918815612793,26.65426902770996,,,,,
2009-10-19,,,26.49817657470703,26.895162200927736,,,,,
2009-10-20,,,27.037769317626957,27.0628231048584,26.41048641204834,,,,
2009-10-21,,,26.979957580566406,27.064750289916994,26.485644912719728,,,,
2009-10-22,,,26.87396240234375,26.983810806274413,26.609945678710936,,,,
2009-10-23,,,27.336475372314453,26.94526824951172,26.79976863861084,,,,
2009-10-26,,,27.41356468200684,27.12834587097168,27.011754035949707,,,,
2009-10-27,,,27.519556045532227,27.224703216552733,27.143763160705568,,,,
2009-10-28,,,26.681249618530277,27.16496162414551,27.11485595703125,,,,
2009-10-29,,,26.87396240234375,27.16496162414551,27.074386215209962,,,,
2009-10-30,,,26.43071937561035,26.983810424804688,26.964539337158204,,,,
2009-11-02,,,26.372907638549805,26.77567901611328,26.95201244354248,,,,
2009-11-03,,,26.36327171325684,26.544422149658203,26.884562683105468,26.647524547576904,,,
2009-11-04,,,25.97784423828125,26.403741073608398,26.784351348876953,26.63499813079834,,,
2009-11-05,,,26.305450439453125,26.290038681030275,26.72750015258789,26.668722915649415,,,
2009-11-06,,,26.11274528503418,26.22644386291504,26.605127143859864,26.70244789123535,,,
2009-11-09,,,26.57526016235352,26.26691436767578,26.52129669189453,26.76652536392212,,,
2009-11-10,,,26.6619815826416,26.326656341552734,26.43553924560547,26.78965120315552,,,
2009-11-11,,,27.92425537109375,26.715938568115234,26.559839820861818,26.837347888946532,,,
2009-11-12,,,27.847166061401367,27.024281692504882,26.657160186767577,26.86577320098877,,,
