Date,GRADE,GPS,NEE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.4399068653583526,,,,,,
1983-11-22,,,0.4412280321121216,,,,,,
1983-11-23,,,0.4399068653583526,,,,,,
1983-11-24,,,0.4399068653583526,,,,,,
1983-11-25,,,0.438585877418518,0.4399069011211395,,,,,
1983-11-28,,,0.438585877418518,0.43964270353317253,,,,,
1983-11-29,,,0.4372646808624267,0.4388500332832336,,,,,
1983-11-30,,,0.4359438419342041,0.43805742859840385,,,,,
1983-12-01,,,0.4372646808624267,0.43752899169921877,,,,,
1983-12-02,,,0.4333015978336334,0.4364721357822418,0.4381895184516907,,,,
1983-12-05,,,0.4280174076557159,0.4343584418296814,0.437000572681427,,,,
1983-12-06,,,0.4266965687274933,0.4322448194026947,0.4355474263429642,,,,
1983-12-07,,,0.4266965687274933,0.43039536476135254,0.4342263966798782,,,,
1983-12-08,,,0.4266965687274933,0.42828174233436583,0.4329053670167923,,,,
1983-12-09,,,0.4280174076557159,0.42722490429878235,0.431848520040512,,,,
1983-12-12,,,0.4266965687274933,0.4269607365131378,0.4306595891714096,,,,
1983-12-13,,,0.4253754615783691,0.42669651508331297,0.42947066724300387,,,,
1983-12-14,,,0.424054354429245,0.4261680722236633,0.42828171849250796,,,,
1983-12-15,,,0.4253754615783691,0.4259038507938385,0.42709279656410215,,,,
1983-12-16,,,0.4253754615783691,0.42537546157836914,0.42630018293857574,0.4322448506951332,,,
1983-12-19,,,0.424054354429245,0.4248470187187195,0.4259038776159286,0.4314522251486778,,,
1983-12-20,,,0.4266965687274933,0.4251112401485443,0.4259038776159286,0.4307256519794464,,,
1983-12-21,,,0.4253754615783691,0.42537546157836903,0.42577176690101626,0.4299990817904472,,,
1983-12-22,,,0.424054354429245,0.4251112401485443,0.4255075454711914,0.42920645624399184,,,
1983-12-23,,,0.4187701046466827,0.42379016876220704,0.42458281517028806,0.4282156676054001,,,
1983-12-26,,,0.4187701046466827,0.4227333188056946,0.42379016876220704,0.42722487896680833,,,
1983-12-27,,,0.4253754615783691,0.42246909737586974,0.42379016876220704,0.4266304180026054,,,
1983-12-28,,,0.424054354429245,0.42220487594604494,0.42379016876220704,0.42603594362735747,,,
1983-12-29,,,0.4253754615783691,0.4224690973758697,0.42379016876220693,0.4254414826631545,,,
1983-12-30,,,0.4253754615783691,0.42379016876220693,0.42379016876220693,0.4250451758503913,,,
1984-01-02,,,0.4253754615783691,0.4251112401485443,0.42392227947711936,0.42491307854652394,,,
1984-01-03,,,0.4253754615783691,0.4251112401485443,0.42379016876220693,0.42484702318906775,,,
1984-01-04,,,0.4253754615783691,0.4253754615783691,0.42379016876220704,0.42478096783161157,,,
1984-01-05,,,0.424054354429245,0.42511124014854423,0.42379016876220704,0.42464885711669914,,,
1984-01-06,,,0.4266965687274933,0.42537546157836903,0.42458281517028806,0.424582815170288,,,
1984-01-09,,,0.424054354429245,0.4251112401485443,0.4251112401485443,0.4244507044553756,,,
1984-01-10,,,0.4266965687274933,0.42537546157836914,0.4252433508634567,0.42451675981283177,,,
1984-01-11,,,0.4266965687274933,0.425639683008194,0.42550757229328157,0.4246488705277442,,,
1984-01-12,,,0.4266965687274933,0.42616812586784364,0.425639683008194,0.42471492588520043,,,
1984-01-13,,,0.4266965687274933,0.42616812586784364,0.42577179372310636,0.4247809812426566,,,
1984-01-16,,,0.4280174076557159,0.4269607365131378,0.42603598833084105,0.4249791339039802,,,
1984-01-17,,,0.4266965687274933,0.4269607365131378,0.4261680990457535,0.4249791339039802,,,
1984-01-18,,,0.4253754615783691,0.42669651508331297,0.4261680990457535,0.4249791339039802,,,
1984-01-19,,,0.424054354429245,0.4261680722236633,0.4261680990457535,0.4249791339039802,,,
1984-01-20,,,0.424054354429245,0.42563962936401367,0.4259038776159286,0.4252433463931083,,,
1984-01-23,,,0.4161282479763031,0.4232617974281311,0.42511126697063445,0.4251112535595893,,,
1984-01-24,,,0.4174491763114929,0.42141231894493103,0.4241865277290344,0.4247149392962456,,,
1984-01-25,,,0.4148074090480804,0.4192987084388733,0.42299761176109313,0.42425259202718735,,,
1984-01-26,,,0.4161282479763031,0.41771348714828493,0.4219407796859741,0.42379023134708405,,,
1984-01-27,,,0.4227334260940552,0.4174493014812469,0.4215444654226303,0.42365812957286836,0.427119225859642,,
1984-01-30,,,0.4227334260940552,0.4187703371047974,0.42101606726646423,0.42352602779865267,0.42677575707435605,,
1984-01-31,,,0.421412318944931,0.419562965631485,0.420487642288208,0.42332787066698074,0.42637944281101225,,
1984-02-01,,,0.4200913310050964,0.4206197500228882,0.41995922923088075,0.4230636641383171,0.4259831321239471,,
1984-02-02,,,0.4227334260940552,0.4219407856464386,0.41982713639736174,0.42299761772155764,0.4256396633386612,,
1984-02-03,,,0.4227334260940552,0.4219407856464386,0.4196950435638428,0.4227994605898857,0.42532261431217194,,
1984-02-06,,,0.4227334260940552,0.4219407856464386,0.42035556137561797,0.4227334141731262,0.4250055652856827,,
1984-02-07,,,0.424054354429245,0.4224691927433014,0.4210160791873932,0.4226013034582138,0.424741358757019,,
1984-02-08,,,0.4227334260940552,0.42299761176109313,0.42180868089199064,0.4224031463265419,0.42447715044021606,,
1984-02-09,,,0.41348597407341,0.4211481213569641,0.42154445350170133,0.4217426165938377,0.42400157630443575,,
1984-02-10,,,0.4121649265289306,0.4190344214439392,0.4204876035451889,0.4210160344839096,0.4235788428783417,,
1984-02-13,,,0.4068809449672699,0.4158639252185822,0.41890235543251036,0.4199592113494873,0.4231561136245727,,
