Date,GRADE,GPS,MGM,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1988-05-02,,,2.5827713012695312,,,,,,
1988-05-03,,,2.5827713012695312,,,,,,
1988-05-04,,,2.5827713012695312,,,,,,
1988-05-05,,,2.5827713012695312,,,,,,
1988-05-06,,,2.5827713012695312,2.5827713012695312,,,,,
1988-05-09,,,2.5827713012695312,2.5827713012695312,,,,,
1988-05-10,,,2.5827713012695312,2.5827713012695312,,,,,
1988-05-11,,,2.5827713012695312,2.5827713012695312,,,,,
1988-05-12,,,2.5827713012695312,2.5827713012695312,,,,,
1988-05-13,,,2.5827713012695312,2.5827713012695312,2.5827713012695312,,,,
1988-05-16,,,2.5827713012695312,2.5827713012695312,2.5827713012695312,,,,
1988-05-17,,,2.5827713012695312,2.5827713012695312,2.5827713012695312,,,,
1988-05-18,,,2.5827713012695312,2.5827713012695312,2.5827713012695312,,,,
1988-05-19,,,2.465373039245605,2.559291648864746,2.5710314750671386,,,,
1988-05-20,,,2.465373039245605,2.535811996459961,2.559291648864746,,,,
1988-05-23,,,2.465373039245605,2.5123323440551752,2.5475518226623537,,,,
1988-05-24,,,2.465373039245605,2.4888526916503904,2.535811996459961,,,,
1988-05-25,,,2.5240721702575684,2.4771128654479977,2.5299420833587645,,,,
1988-05-26,,,2.5240721702575684,2.4888526916503904,2.5240721702575684,,,,
1988-05-27,,,2.5827713012695312,2.5123323440551757,2.5240721702575684,2.55342173576355,,,
1988-05-30,,,2.5827713012695312,2.535811996459961,2.5240721702575684,2.55342173576355,,,
1988-05-31,,,2.5827713012695312,2.559291648864746,2.5240721702575684,2.55342173576355,,,
1988-06-01,,,2.5827713012695312,2.5710314750671386,2.5240721702575684,2.55342173576355,,,
1988-06-02,,,2.5827713012695312,2.5827713012695312,2.535811996459961,2.55342173576355,,,
1988-06-03,,,2.7001707553863525,2.6062511920928957,2.5592917680740355,2.5592917084693907,,,
1988-06-06,,,2.7001707553863525,2.6297310829162597,2.5827715396881104,2.565161681175232,,,
1988-06-07,,,2.7001707553863525,2.653210973739624,2.6062513113021852,2.571031653881073,,,
