Date,GRADE,GPS,RMD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1995-06-02,,,0.5645320415496826,,,,,,
1995-06-05,,,0.5382745862007141,,,,,,
1995-06-06,,,0.5382745862007141,,,,,,
1995-06-07,,,0.5382745862007141,,,,,,
1995-06-08,,,0.5907891988754272,0.5540289998054504,,,,,
1995-06-09,,,0.5907891988754272,0.5592804312705993,,,,,
1995-06-12,,,0.6039177179336548,0.5724090576171875,,,,,
1995-06-13,,,0.577660322189331,0.5802862048149109,,,,,
1995-06-14,,,0.577660322189331,0.5881633520126343,,,,,
1995-06-15,,,0.5809425115585327,0.5861940145492553,0.5701115071773529,,,,
1995-06-16,,,0.577660322189331,0.5835682392120362,0.5714243352413177,,,,
1995-06-19,,,0.5809425115585327,0.5789731979370117,0.5756911277770996,,,,
1995-06-20,,,0.577660322189331,0.5789731979370117,0.5796297013759613,,,,
1995-06-21,,,0.5907891988754272,0.5815989732742309,0.5848811626434326,,,,
1995-06-22,,,0.5907891988754272,0.5835683107376098,0.5848811626434326,,,,
1995-06-23,,,0.6301751732826233,0.5940712809562683,0.5888197600841523,,,,
1995-06-26,,,0.6039177179336548,0.5986663222312927,0.5888197600841523,,,,
1995-06-27,,,0.6301751732826233,0.6091692924499512,0.5940712451934814,,,,
1995-06-28,,,0.6301751732826233,0.6170464873313903,0.5993227303028107,,,,
1995-06-29,,,0.6301751732826233,0.6249236822128296,0.6042459964752197,0.5871787518262863,,,
1995-06-30,,,0.6301751732826233,0.6249236822128296,0.609497481584549,0.5904609084129333,,,
1995-07-03,,,0.6301751732826233,0.6301751732826233,0.614420747756958,0.5950559377670288,,,
1995-07-04,,,0.6301751732826233,0.6301751732826233,0.6196722328662873,0.5996509671211243,,,
1995-07-05,,,0.6564326286315918,0.635426664352417,0.6262365758419037,0.6055588692426681,,,
1995-07-06,,,0.6958185434341431,0.648555338382721,0.6367395102977753,0.6108103364706039,,,
1995-07-07,,,0.7220757007598877,0.6669354438781738,0.6459295630455018,0.617374661564827,,,
1995-07-10,,,0.73520427942276,0.6879412651062011,0.6590582191944122,0.6239389896392822,,,
1995-07-11,,,0.6826894879341125,0.698444128036499,0.6643096506595612,0.6291904479265213,,,
1995-07-12,,,0.73520427942276,0.7141984581947327,0.6748125612735748,0.6370676457881927,,,
1995-07-13,,,0.73520427942276,0.7220756053924561,0.6853154718875885,0.6447807341814041,,,
1995-07-14,,,0.7483330368995667,0.7273270726203919,0.6971312582492828,0.6533143699169159,,,
1995-07-17,,,0.7483330368995667,0.7299528241157531,0.7089470446109771,0.6616838961839676,,,
1995-07-18,,,0.73520427942276,0.7404557824134826,0.7194499552249909,0.669561094045639,,,
1995-07-19,,,0.6958185434341431,0.7325786352157593,0.723388546705246,0.6748125612735748,,,
1995-07-20,,,0.6958185434341431,0.7247014880180359,0.723388546705246,0.6800640285015106,,,
1995-07-21,,,0.6728430390357971,0.709603488445282,0.7184652805328369,0.6821974217891693,,,
1995-07-24,,,0.6958185434341431,0.6991005897521972,0.7145267069339752,0.6867924630641937,,,
1995-07-25,,,0.669560968875885,0.6859719276428222,0.7132138550281525,0.6887617528438568,,,
1995-07-26,,,0.7089470028877258,0.6885976195335388,0.710588127374649,0.692700344324112,,,
1995-07-27,,,0.7483330368995667,0.6991005182266236,0.7119010031223297,0.6986082375049592,,,
1995-07-28,,,0.7614614963531494,0.716824209690094,0.713213849067688,0.7051725536584854,,,
1995-07-31,,,0.7220757007598877,0.7220756411552429,0.7105881154537201,0.7097675800323486,,,
1995-08-01,,,0.7614614963531494,0.7404557466506958,0.713213837146759,0.7163318961858749,,,
1995-08-02,,,0.7220757007598877,0.7430814862251282,0.7158395528793335,0.7196140497922897,,,
1995-08-03,,,0.7614614963531494,0.7457071781158447,0.7224038481712342,0.7228961974382401,,,
1995-08-04,,,0.7220757007598877,0.7378300189971924,0.7273271143436432,0.7228961974382401,,,
1995-08-07,,,0.7220757007598877,0.7378300189971924,0.7299528300762177,0.7222397685050964,,,
1995-08-08,,,0.7483330368995667,0.7352043271064759,0.7378300368785858,0.7255219459533692,,,
1995-08-09,,,0.7220757007598877,0.7352043271064759,0.739142906665802,0.7248655170202255,,,
1995-08-10,,,0.7483330368995667,0.7325786352157593,0.739142906665802,0.7255219548940659,0.6621433770656586,,
1995-08-11,,,0.7483330368995667,0.7378301024436951,0.7378300607204438,0.7255219548940659,0.6658193969726562,,
1995-08-14,,,0.7384864091873169,0.7411122441291809,0.7394711315631867,0.7250296235084533,0.6698236334323883,,
1995-08-15,,,0.7483330368995667,0.7411122441291809,0.7381582856178284,0.7256860613822937,0.6740248024463653,,
1995-08-16,,,0.7483330368995667,0.7463637113571167,0.7407840192317963,0.7283117860555649,0.6782259714603424,,
1995-08-17,,,0.7483330368995667,0.7463637113571167,0.739471173286438,0.7309375107288361,0.6813768482208252,,
1995-08-18,,,0.7220757007598877,0.7411122441291809,0.739471173286438,0.7333991438150406,0.6840025782585144,,
1995-08-21,,,0.73520427942276,0.7404558181762695,0.7407840311527252,0.7353684306144714,0.6866283094882966,,
1995-08-22,,,0.7877189517021179,0.7483330011367798,0.7447226226329804,0.7412763297557831,0.6908294820785522,,
1995-08-23,,,0.7877189517021179,0.75621018409729,0.7512869477272034,0.7452149271965027,0.695030654668808,,
1995-08-24,,,0.7483330368995667,0.75621018409729,0.7512869477272034,0.7452149271965027,0.6983784651756286,,
1995-08-25,,,0.7877189517021179,0.7693388342857361,0.7552255392074585,0.7465277999639511,0.7025796377658844,,
