Date,GRADE,GPS,HCA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2011-03-10,,,23.33170890808105,,,,,,
2011-03-11,,,23.40692901611328,,,,,,
2011-03-14,,,23.248971939086918,,,,,,
2011-03-15,,,23.57240295410156,,,,,,
2011-03-16,,,23.50470733642578,23.412944030761718,,,,,
2011-03-17,,,24.001127243041992,23.546827697753905,,,,,
2011-03-18,,,24.86610412597656,23.838662719726564,,,,,
2011-03-21,,,24.25685691833496,24.04023971557617,,,,,
2011-03-22,,,23.97103881835937,24.119966888427733,,,,,
2011-03-23,,,24.58028221130371,24.335081863403317,23.87401294708252,,,,
2011-03-24,,,24.587799072265625,24.452416229248044,23.999621963500978,,,,
2011-03-25,,,24.783367156982425,24.43586883544922,24.137265777587892,,,,
2011-03-28,,,24.851049423217773,24.554707336425782,24.297473526000978,,,,
2011-03-29,,,25.490373611450195,24.858574295043944,24.48927059173584,,,,
2011-03-30,,,25.753633499145508,25.093244552612305,24.71416320800781,,,,
2011-03-31,,,25.475339889526367,25.270752716064454,24.86158447265625,,,,
2011-04-01,,,25.377559661865234,25.389591217041016,24.912730026245118,,,,
2011-04-04,,,25.32491111755371,25.484363555908203,25.01953544616699,,,,
2011-04-05,,,25.588165283203125,25.503921890258788,25.181248092651366,,,,
2011-04-06,,,25.046606063842773,25.362516403198242,25.227880477905273,24.550946712493896,,,
2011-04-07,,,25.317392349243164,25.3309268951416,25.300839805603026,24.650230884552002,,,
2011-04-08,,,24.948829650878903,25.245180892944337,25.317386054992674,24.727325916290283,,,
2011-04-11,,,24.159076690673828,25.01201400756836,25.248188781738282,24.772831153869628,,,
2011-04-12,,,23.715303421020508,24.637441635131836,25.070681762695312,24.779976177215577,,,
2011-04-13,,,24.11394500732422,24.450909423828126,24.906712913513182,24.810438060760497,,,
2011-04-14,,,24.174118041992188,24.22225456237793,24.776590728759764,24.81908760070801,,,
2011-04-15,,,24.05377769470215,24.04324417114258,24.644212532043458,24.778471279144288,,,
2011-04-18,,,24.12899208068848,24.03722724914551,24.524620628356935,24.772078037261963,,,
2011-04-19,,,23.87325668334961,24.06881790161133,24.35312976837158,24.767188930511473,,,
2011-04-20,,,23.805566787719727,24.00714225769043,24.229025840759277,24.728453159332275,,,
2011-04-21,,,23.617528915405277,23.89582443237305,24.059039497375487,24.679939651489256,,,
2011-04-22,,,23.617528915405277,23.808574676513675,23.925909423828124,24.6216477394104,,,
2011-04-25,,,23.617528915405277,23.70628204345703,23.87175464630127,24.559971714019774,,,
2011-04-26,,,24.068819046020508,23.74539451599121,23.90710620880127,24.48889398574829,,,
2011-04-27,,,24.55771827697754,23.895824813842772,23.951483535766602,24.429098224639894,,,
2011-04-28,,,24.497547149658203,24.07182846069336,23.983826446533204,24.380208587646486,,,
2011-04-29,,,24.6705379486084,24.282430267333986,24.04550247192383,24.344857501983643,,,
2011-05-02,,,25.15192413330078,24.589309310913087,24.14779567718506,24.336208152770997,,,
2011-05-03,,,24.527624130249023,24.68107032775879,24.213232421875,24.28318109512329,,,
2011-05-04,,,25.23464775085449,24.81645622253418,24.356140518188475,24.292583179473876,,,
2011-05-05,,,25.8288516998291,25.08271713256836,24.577272796630858,24.318156147003172,,,
2011-05-06,,,25.761154174804688,25.300840377807617,24.7916353225708,24.358772373199464,,,
2011-05-09,,,25.94167709350586,25.458790969848632,25.024050140380858,24.447902393341064,,,
2011-05-10,,,26.016881942749023,25.756642532348632,25.218856430053712,24.56298131942749,,,
2011-05-11,,,25.97929000854492,25.90557098388672,25.36101360321045,24.656248569488525,,,
2011-05-12,,,25.95672035217285,25.93114471435547,25.506930923461915,24.745378684997558,,,
2011-05-13,,,26.024412155151367,25.983796310424804,25.642318344116212,24.84391040802002,,,
2011-05-16,,,25.761154174804688,25.94769172668457,25.7032413482666,24.92551851272583,,,
2011-05-17,,,25.97929000854492,25.94017333984375,25.84840793609619,25.030820178985596,,,
2011-05-18,,,26.377912521362305,26.019897842407225,25.962734413146972,25.159437465667725,24.729958839416504,,
2011-05-19,,,26.36287498474121,26.101128768920898,26.016136741638185,25.29670476913452,24.790582160949707,,
2011-05-20,,,26.04697608947754,26.105641555786132,26.044718933105468,25.418177127838135,24.843383102416993,,
2011-05-23,,,25.881500244140625,26.12971076965332,26.038701248168945,25.531375694274903,24.896033668518065,,
2011-05-24,,,25.94167709350586,26.12218818664551,26.031180763244627,25.62501859664917,24.943419151306152,,
2011-05-25,,,26.084583282470703,26.063522338867188,26.041710090637206,25.701361846923827,24.995016670227052,,
2011-05-26,,,26.197410583496094,26.030429458618165,26.06577911376953,25.786355018615723,25.038942337036133,,
2011-05-27,,,26.129711151123047,26.046976470947264,26.0763090133667,25.859313678741454,25.064214477539064,,
2011-05-30,,,26.129711151123047,26.09661865234375,26.113164710998536,25.908203029632567,25.101671562194824,,
2011-05-31,,,26.24253463745117,26.15679016113281,26.13948917388916,25.993948554992677,25.14710147857666,,
2011-06-01,,,26.152271270751957,26.170327758789064,26.116925048828126,26.03982973098755,25.178541259765623,,
2011-06-02,,,25.843894958496094,26.099624633789062,26.065027046203614,26.040581893920898,25.203663177490235,,
2011-06-03,,,25.678422927856445,26.009366989135742,26.028171730041503,26.036445331573486,25.221564292907715,,
2011-06-06,,,25.377559661865234,25.85893669128418,25.977777671813964,26.008239459991454,25.232094497680663,,
2011-06-07,,,25.96423721313477,25.803277206420898,25.980033683776856,26.005607223510744,25.241571769714355,,
2011-06-08,,,26.144750595092773,25.801773071289062,25.986050415039063,26.013880252838135,25.2493941116333,,
