Date,GRADE,GPS,ALLE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-11-18,,,43.4118537902832,,,,,,
2013-11-19,,,41.01201629638672,,,,,,
2013-11-20,,,39.98223876953125,,,,,,
2013-11-21,,,39.2121467590332,,,,,,
2013-11-22,,,39.391239166259766,40.601898956298825,,,,,
2013-11-25,,,39.56138229370117,39.83180465698242,,,,,
2013-11-26,,,38.683815002441406,39.36616439819336,,,,,
2013-11-27,,,38.719635009765625,39.113643646240234,,,,,
2013-11-28,,,38.719635009765625,39.015141296386716,,,,,
2013-11-29,,,38.719635009765625,38.88082046508789,39.74135971069336,,,,
2013-12-02,,,38.63009643554688,38.69456329345703,39.263183975219725,,,,
2013-12-03,,,38.4151725769043,38.64083480834961,39.003499603271486,,,,
2013-12-04,,,37.45705032348633,38.38831787109375,38.75098075866699,,,,
2013-12-05,,,36.758583068847656,37.996107482910155,38.50562438964844,,,,
2013-12-06,,,36.44518280029297,37.54121704101563,38.21101875305176,,,,
2013-12-09,,,36.874996185302734,37.1901969909668,37.94238014221192,,,,
2013-12-10,,,38.11073684692383,37.129309844970706,37.88507232666016,,,,
2013-12-11,,,38.02119445800781,37.242138671875,37.81522827148437,,,,
2013-12-12,,,38.47787857055664,37.5859977722168,37.791052627563474,,,,
2013-12-13,,,38.72859191894531,38.04267959594726,37.791948318481445,38.7666540145874,,,
2013-12-16,,,39.122589111328125,38.49219818115235,37.84119758605957,38.55219078063965,,,
2013-12-17,,,39.17632293701172,38.70531539916992,37.91731262207031,38.460406112670896,,,
2013-12-18,,,39.6419792175293,39.02947235107422,38.13580551147461,38.4433931350708,,,
2013-12-19,,,39.80315017700195,39.29452667236328,38.44026222229004,38.47294330596924,,,
2013-12-20,,,39.63302230834961,39.47541275024414,38.759046173095705,38.48503246307373,,,
2013-12-23,,,39.98223876953125,39.647342681884766,39.069770431518556,38.50607528686523,,,
2013-12-24,,,39.91954803466797,39.79598770141602,39.25065155029297,38.56786193847656,,,
2013-12-25,,,39.91954803466797,39.85150146484375,39.440486907958984,38.62785758972168,,,
2013-12-26,,,40.02701568603516,39.89627456665039,39.59540061950683,38.69322662353515,,,
2013-12-27,,,39.97329711914063,39.9643295288086,39.71987113952637,38.7559097290039,,,
2013-12-30,,,39.50765609741211,39.869412994384774,39.75837783813476,38.79978771209717,,,
2013-12-31,,,39.57033157348633,39.799569702148446,39.79777870178223,38.85754566192627,,,
2014-01-01,,,39.57033157348633,39.72972640991212,39.79061393737793,38.96320972442627,,,
2014-01-02,,,39.08677673339844,39.54167861938477,39.71897659301758,39.07961940765381,,,
2014-01-03,,,39.36437225341797,39.41989364624023,39.692111587524415,39.22557888031006,,,
2014-01-06,,,39.113651275634766,39.34109268188477,39.60525283813477,39.33751163482666,,,
2014-01-07,,,39.28378677368164,39.283783721923825,39.541676712036136,39.396164131164554,,,
2014-01-08,,,39.29274368286133,39.22826614379883,39.47899627685547,39.45974159240723,,,
2014-01-09,,,39.516597747802734,39.314230346679686,39.427954483032224,39.51167755126953,,,
2014-01-10,,,40.949337005615234,39.63122329711914,39.52555847167969,39.622714805603025,,,
2014-01-13,,,42.12238693237305,40.2329704284668,39.78703155517578,39.772704696655275,,,
2014-01-14,,,42.80292892456055,40.936798858642575,40.1102912902832,39.95403499603272,,,
2014-01-15,,,42.53429412841797,41.58510894775391,40.406687545776364,40.098650741577146,,,
2014-01-16,,,42.44474029541016,42.17073745727539,40.742483901977536,40.23073024749756,,,
2014-01-17,,,42.982025146484375,42.577275085449216,41.10424919128418,40.398180389404295,,,
2014-01-20,,,42.982025146484375,42.749202728271484,41.49108657836914,40.548169708251955,,,
2014-01-21,,,43.13425827026367,42.81546859741211,41.87613372802734,40.70890522003174,,,
2014-01-22,,,43.4387092590332,42.996351623535155,42.29073028564453,40.88486328125,,,
2014-01-23,,,42.73131561279297,43.05366668701172,42.61220207214355,41.02007827758789,,,
2014-01-24,,,41.94330596923828,42.8459228515625,42.71159896850586,41.11857872009277,39.89806732177735,,
2014-01-27,,,41.72837829589844,42.595193481445314,42.672198104858396,41.22961483001709,39.864397811889646,,
2014-01-28,,,42.74024963378906,42.51639175415039,42.66593017578125,41.38811073303223,39.89896247863769,,
2014-01-29,,,42.78501892089844,42.38565368652344,42.691002655029294,41.54884510040283,39.95501808166504,,
2014-01-30,,,44.25357437133789,42.69010543823242,42.87188606262207,41.8071849822998,40.05584663391113,,
2014-01-31,,,44.190895080566406,43.13962326049805,42.99277305603027,42.04851112365723,40.15183975219727,,
2014-02-03,,,42.480567932128906,43.29006118774414,42.942627334594725,42.216856956481934,40.21022346496582,,
2014-02-04,,,43.02679443359375,43.34737014770508,42.931880950927734,42.40400733947754,40.297083053588864,,
2014-02-05,,,42.62385177612305,43.31513671875,42.85039520263672,42.570562744140624,40.37516738891602,,
2014-02-06,,,44.092403411865234,43.282902526855466,42.986503982543944,42.79935302734375,40.48262275695801,,
2014-02-07,,,44.71921920776367,43.38856735229492,43.264095306396484,42.98784713745117,40.60261444091797,,
2014-02-10,,,44.629661560058594,43.81838607788086,43.5542236328125,43.11321086883545,40.7226057434082,,
2014-02-11,,,44.6744499206543,44.14791717529297,43.747643661499026,43.206786918640134,40.847791290283205,,
2014-02-12,,,44.77294921875,44.57773666381836,43.94643669128418,43.318719673156735,40.994109268188474,,
2014-02-13,,,44.88041687011719,44.73533935546875,44.00912094116211,43.44050350189209,41.15654594421387,,
2014-02-14,,,44.44162368774414,44.67982025146485,44.03419380187988,43.51348342895508,41.316474761962894,,
