Date,GRADE,GPS,JCI,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1987-09-28,,,3.145933151245117,,,,,,
1987-09-29,,,3.1754751205444336,,,,,,
1987-09-30,,,3.145933151245117,,,,,,
1987-10-01,,,3.1902427673339844,,,,,,
1987-10-02,,,3.219782590866089,3.175473356246948,,,,,
1987-10-05,,,3.2345516681671143,3.1931970596313475,,,,,
1987-10-06,,,3.1311652660369877,3.1843350887298585,,,,,
1987-10-07,,,3.013008117675781,3.1577500820159914,,,,,
1987-10-08,,,3.101625442504883,3.1400266170501707,,,,,
1987-10-09,,,3.1754751205444336,3.13116512298584,3.153319239616394,,,,
1987-10-12,,,3.0425472259521484,3.0927642345428468,3.1429806470870973,,,,
1987-10-13,,,3.0425472259521484,3.0750406265258787,3.129687857627869,,,,
1987-10-14,,,2.9391589164733887,3.0602707862854004,3.109010434150696,,,,
1987-10-15,,,2.806232690811157,3.001192235946655,3.070609426498413,,,,
1987-10-16,,,2.5994575023651123,2.885988712310791,3.0085769176483153,,,,
1987-10-19,,,2.0382115840911865,2.6851215839385985,2.888942909240723,,,,
1987-10-20,,,2.274524688720703,2.5315170764923094,2.803278851509094,,,,
1987-10-21,,,2.451761245727539,2.4340375423431397,2.74715416431427,,,,
1987-10-22,,,2.259756088256836,2.3247422218322753,2.6629672288894652,,,,
1987-10-23,,,2.097289562225342,2.224308633804321,2.5551486730575563,2.854233956336975,,,
1987-10-26,,,1.934824585914612,2.2036312341690065,2.4443764090538025,2.79367852807045,,,
1987-10-27,,,2.0382115840911865,2.156368613243103,2.343942844867706,2.7368153512477873,,,
1987-10-28,,,2.052980661392212,2.0766124963760375,2.2553250193595886,2.682167726755142,,,
1987-10-29,,,2.259756088256836,2.0766124963760375,2.2006773591041564,2.635643392801285,,,
1987-10-30,,,2.451761245727539,2.147506833076477,2.1859077334403993,2.5972423255443573,,,
1987-11-02,,,2.451761245727539,2.2508941650390626,2.2272626996040343,2.5581028044223784,,,
1987-11-03,,,2.451761245727539,2.333604097366333,2.244986355304718,2.524132603406906,,,
1987-11-04,,,2.422222852706909,2.4074525356292726,2.242032516002655,2.4945933401584623,,,
1987-11-05,,,2.4960696697235107,2.4547152519226074,2.2656638741493227,2.4643155515193937,,,
1987-11-06,,,2.451761245727539,2.4547152519226074,2.3011110424995422,2.4281298577785493,,,
1987-11-09,,,2.304065704345703,2.4251761436462402,2.338035154342651,2.391205781698227,,,
