Date,GRADE,GPS,BKNG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1999-03-31,,,493.6968078613281,,,,,,
1999-04-01,,,479.5486145019531,,,,,,
1999-04-02,,,479.5486145019531,,,,,,
1999-04-05,,,447.5290832519531,,,,,,
1999-04-06,,,470.6129455566406,474.1872131347656,,,,,
1999-04-07,,,443.805908203125,464.209033203125,,,,,
1999-04-08,,,431.8916320800781,454.67763671875,,,,,
1999-04-09,,,440.8273010253906,446.9333740234375,,,,,
1999-04-12,,,456.0924377441406,448.646044921875,,,,,
1999-04-13,,,485.5057678222656,451.624609375,462.9059112548828,,,,
1999-04-14,,,554.7573852539062,473.8149047851563,469.0119689941406,,,,
1999-04-15,,,475.825439453125,482.60166625976564,468.6396514892578,,,,
1999-04-16,,,484.7611083984375,491.388427734375,469.16090087890626,,,,
1999-04-19,,,356.68292236328125,471.50652465820315,460.07628479003904,,,,
1999-04-20,,,402.85064697265625,454.9755004882812,453.3000549316406,,,,
1999-04-21,,,443.805908203125,432.785205078125,453.3000549316406,,,,
1999-04-22,,,454.9754943847656,428.61521606445314,455.6084411621094,,,,
1999-04-23,,,524.2271118164062,436.5084167480469,463.94842224121095,,,,
1999-04-26,,,719.3229370117188,509.0364196777344,490.27147216796874,,,,
1999-04-27,,,772.5647583007812,582.9792419433594,518.9773712158203,490.94164123535154,,,
1999-04-28,,,720.812255859375,638.3805114746094,535.5828582763672,502.2974136352539,,,
1999-04-29,,,820.9663696289062,711.5786865234375,570.0969512939453,519.3683013916016,,,
1999-04-30,,,967.288330078125,800.1909301757812,618.3496734619141,543.7552871704102,,,
1999-05-03,,,829.52978515625,822.2322998046875,665.6343597412109,562.855322265625,,,
1999-05-04,,,798.2548828125,827.3703247070313,705.1747833251953,579.237419128418,,,
1999-05-05,,,900.6430053710938,863.336474609375,750.8584930419922,602.0792739868164,,,
1999-05-06,,,830.6466674804688,865.2725341796875,788.4256103515625,622.0170257568359,,,
1999-05-07,,,778.3357543945312,827.4820190429688,813.836474609375,638.892448425293,,,
1999-05-10,,,762.5120849609375,814.0784790039063,818.1553894042969,654.2134307861328,,,
1999-05-11,,,732.7264404296875,800.9727905273437,814.1715576171875,666.5744644165039,,,
1999-05-12,,,750.5978393554688,770.9637573242187,817.1501159667969,676.366487121582,,,
1999-05-13,,,723.790771484375,749.592578125,807.4325561523438,688.7647537231445,,,
1999-05-14,,,791.1807861328125,752.1615844726563,789.8218017578125,704.0857376098633,,,
1999-05-17,,,784.851318359375,756.6294311523437,785.353955078125,725.494157409668,,,
1999-05-18,,,810.9137573242188,772.26689453125,786.6198425292969,745.897312927246,,,
1999-05-19,,,848.8904418945312,791.9254150390625,781.4445861816406,766.1515396118164,,,
1999-05-20,,,800.48876953125,807.2650146484375,778.4287963867188,783.4272033691407,,,
1999-05-21,,,827.668212890625,814.5625,783.3620422363281,798.5992584228516,,,
1999-05-24,,,746.6884765625,806.929931640625,781.7796813964844,799.9675354003906,,,
1999-05-25,,,619.5410766601562,768.6553955078125,770.4611450195313,792.3163513183594,,,
1999-05-26,,,677.8092651367188,734.43916015625,763.1822875976562,790.1662017822266,,,
1999-05-27,,,660.1240234375,706.3662109375,756.8156127929688,782.1240844726562,,,
1999-05-28,,,667.38427734375,674.309423828125,744.4359619140625,767.1288818359375,,,
1999-05-31,,,667.38427734375,658.448583984375,732.6892578125,759.0216064453125,,,
1999-06-01,,,592.3616943359375,653.0127075195312,710.8340515136719,748.7269470214844,,,
