Date,GRADE,GPS,TDG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-03-15,,,9.355854034423828,,,,,,
2006-03-16,,,9.42185115814209,,,,,,
2006-03-17,,,9.709126472473145,,,,,,
2006-03-20,,,9.666421890258787,,,,,,
2006-03-21,,,9.394675254821776,9.509585762023926,,,,,
2006-03-22,,,9.37914752960205,9.51424446105957,,,,,
2006-03-23,,,9.355854034423828,9.501045036315919,,,,,
2006-03-24,,,9.511137962341309,9.46144733428955,,,,,
2006-03-27,,,9.608192443847656,9.449801445007324,,,,,
2006-03-28,,,9.588783264160156,9.488623046875,9.499104404449463,,,,
2006-03-29,,,9.666421890258787,9.546077919006347,9.53016119003296,,,,
2006-03-30,,,9.879939079284668,9.650894927978516,9.575969982147218,,,,
2006-03-31,,,9.9964017868042,9.747947692871094,9.604697513580323,,,,
2006-04-03,,,9.666421890258787,9.75959358215332,9.604697513580323,,,,
2006-04-04,,,9.627601623535156,9.76735725402832,9.62799015045166,,,,
2006-04-05,,,9.581015586853027,9.750275993347168,9.648176956176759,,,,
2006-04-06,,,9.41408634185791,9.657105445861816,9.654000186920166,,,,
2006-04-07,,,9.359736442565918,9.52977237701416,9.638860034942628,,,,
2006-04-10,,,9.4373779296875,9.483963584899902,9.621778583526611,,,,
2006-04-11,,,9.355854034423828,9.429614067077637,9.598485660552978,9.548795032501221,,,
2006-04-12,,,9.355854034423828,9.384581756591796,9.567428874969483,9.548795032501221,,,
2006-04-13,,,9.464553833007812,9.394675254821777,9.525890350341797,9.550930166244507,,,
2006-04-14,,,9.464553833007812,9.415638732910157,9.472705554962157,9.53870153427124,,,
2006-04-17,,,9.54996109008789,9.438155364990234,9.461059474945069,9.532878494262695,,,
2006-04-18,,,9.41408634185791,9.449801826477051,9.439707946777343,9.533849048614503,,,
2006-04-19,,,9.608192443847656,9.500269508361816,9.442425632476807,9.545301294326782,,,
2006-04-20,,,9.9381685256958,9.594992446899415,9.494833850860596,9.574417018890381,,,
2006-04-21,,,9.879939079284668,9.678069496154786,9.54685411453247,9.592857074737548,,,
2006-04-24,,,9.90322971343994,9.748723220825195,9.593439292907714,9.607608938217163,,,
2006-04-25,,,10.015810012817385,9.86906795501709,9.65943489074707,9.628960275650025,,,
2006-04-26,,,9.9964017868042,9.946709823608398,9.723489665985108,9.645459270477295,,,
2006-04-27,,,9.856645584106444,9.930405235290527,9.76269884109497,9.644294595718383,,,
2006-04-28,,,9.60042667388916,9.874502754211425,9.776286125183105,9.624495840072631,,,
2006-05-01,,,9.759593963623049,9.845775604248047,9.79724941253662,9.629154443740845,,,
2006-05-02,,,9.608192443847656,9.764252090454102,9.816660022735595,9.62818398475647,,,
2006-05-03,,,9.557724952697754,9.676516723632812,9.811613273620605,9.627019453048707,,,
2006-05-04,,,9.542195320129396,9.613626670837402,9.772015953063967,9.63342490196228,,,
2006-05-05,,,9.530548095703123,9.599650955200195,9.73707685470581,9.64196548461914,,,
2006-05-08,,,9.65089511871338,9.577911186218262,9.711843395233156,9.652641344070435,,,
2006-05-09,,,9.674186706542969,9.591110038757325,9.677681064605713,9.668557977676391,,,
2006-05-10,,,9.70136260986328,9.61983757019043,9.648177146911621,9.685833406448364,,,
2006-05-11,,,10.015810012817385,9.714560508728027,9.664093589782716,9.713396215438843,,,
2006-05-12,,,9.887701988220217,9.785991287231445,9.692821121215822,9.734553623199464,,,
2006-05-15,,,9.813941955566406,9.81860065460205,9.698255920410157,9.747752666473389,,,
2006-05-16,,,9.914877891540527,9.866738891601562,9.728924465179443,9.77279224395752,,,
2006-05-17,,,9.860527992248535,9.898571968078613,9.759204769134522,9.785409021377564,,,
2006-05-18,,,9.864410400390623,9.868292045593261,9.791426277160644,9.781721115112305,,,
2006-05-19,,,9.860527992248535,9.862857246398926,9.824424266815186,9.780750560760499,,,
2006-05-22,,,9.90322971343994,9.880714797973633,9.849657726287841,9.780750560760499,,,
2006-05-23,,,9.80229663848877,9.858198547363282,9.862468719482422,9.770074892044068,9.65943494796753,,
2006-05-24,,,9.821707725524902,9.850434494018554,9.874503231048584,9.761340188980103,9.668752021789551,,
2006-05-25,,,9.736299514770508,9.824812316894532,9.846552181243897,9.755322885513305,9.675040988922119,,
2006-05-26,,,9.705242156982422,9.793755149841308,9.828306198120117,9.76056365966797,9.674963302612305,,
2006-05-29,,,9.705242156982422,9.754157638549804,9.817436218261719,9.757846069335937,9.675739707946777,,
2006-05-30,,,9.697479248046877,9.733194160461426,9.795696353912353,9.762310409545899,9.681795787811279,,
2006-05-31,,,9.779003143310549,9.724653244018555,9.787543869018554,9.773374319076538,9.689792900085449,,
2006-06-01,,,10.093454360961914,9.796084213256837,9.810448265075683,9.800937271118164,9.704544906616212,,
2006-06-02,,,10.287557601928713,9.912547302246095,9.853151226043702,9.838787746429443,9.720073299407959,,
