Date,GRADE,GPS,TTWO,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-04-15,,,3.916425228118897,,,,,,
1997-04-16,,,3.708104133605957,,,,,,
1997-04-17,,,3.833096265792847,,,,,,
1997-04-18,,,3.999752998352051,,,,,,
1997-04-21,,,3.999752998352051,3.8914263248443604,,,,,
1997-04-22,,,3.916425228118897,3.8914263248443604,,,,,
1997-04-23,,,4.499722003936768,4.049749898910522,,,,,
1997-04-24,,,4.833034515380859,4.249737548828125,,,,,
1997-04-25,,,4.499722003936768,4.349731349945069,,,,,
1997-04-28,,,4.333065509796143,4.416393852233886,4.153910088539123,,,,
1997-04-29,,,4.91636323928833,4.616381454467773,4.253903889656067,,,,
1997-04-30,,,5.041355609893799,4.724708175659179,4.387229037284851,,,,
1997-05-01,,,5.124683380126953,4.783037948608398,4.5163877487182615,,,,
1997-05-02,,,4.999691009521484,4.883031749725342,4.616381549835205,,,,
1997-05-05,,,4.833034515380859,4.983025550842285,4.699709701538086,,,,
1997-05-06,,,4.833034515380859,4.966359806060791,4.791370630264282,,,,
1997-05-07,,,4.91636323928833,4.941361331939698,4.8330347537994385,,,,
1997-05-08,,,4.749706745147705,4.866366004943847,4.824701976776123,,,,
1997-05-09,,,4.833034515380859,4.833034706115723,4.858033227920532,,,,
1997-05-12,,,5.416332721710205,4.949694347381592,4.966359949111938,4.560135018825531,,,
1997-05-13,,,5.666316986083984,5.116350841522217,5.041355323791504,4.647629606723785,,,
1997-05-14,,,5.499660491943359,5.233010292053223,5.08718581199646,4.737207424640656,,,
1997-05-15,,,5.333003520965576,5.349669647216797,5.108017826080323,4.812202787399292,,,
1997-05-16,,,5.499660491943359,5.482994842529297,5.15801477432251,4.887198162078858,,,
1997-05-19,,,5.416332721710205,5.482994842529297,5.216344594955444,4.9580271482467655,,,
1997-05-20,,,5.249675750732422,5.399666595458984,5.258008718490601,5.024689674377441,,,
1997-05-21,,,5.166347980499268,5.333004093170166,5.283007192611694,5.058020973205567,,,
1997-05-22,,,5.166347980499268,5.299672985076905,5.32467131614685,5.074686646461487,,,
1997-05-23,,,5.124683380126953,5.224677562713623,5.35383620262146,5.105934715270996,,,
1997-05-26,,,5.124683380126953,5.166347694396973,5.324671268463135,5.145515608787536,,,
1997-05-27,,,5.333003520965576,5.183013248443603,5.291339921951294,5.166347622871399,,,
1997-05-28,,,5.333003520965576,5.216344356536865,5.2746742248535154,5.180930018424988,,,
1997-05-29,,,5.333003520965576,5.249675464630127,5.2746742248535154,5.191346025466919,,,
1997-05-30,,,5.249675750732422,5.274673938751221,5.249675750732422,5.203845262527466,,,
1997-06-02,,,5.249675750732422,5.299672412872314,5.2330100536346436,5.224677324295044,,,
1997-06-03,,,5.499660491943359,5.333003807067871,5.258008527755737,5.258008623123169,,,
1997-06-04,,,5.333003520965576,5.333003807067871,5.2746740818023685,5.278840637207031,,,
1997-06-05,,,5.457995891571045,5.3580022811889645,5.303838872909546,5.314255094528198,,,
1997-06-06,,,5.333003520965576,5.374667835235596,5.324670886993408,5.339253544807434,,,
1997-06-09,,,5.333003520965576,5.391333389282226,5.34550290107727,5.335087084770203,,,
1997-06-10,,,5.333003520965576,5.35800199508667,5.34550290107727,5.318421411514282,,,
1997-06-11,,,5.416332721710205,5.374667835235596,5.353835821151733,5.314255023002625,,,
1997-06-12,,,5.749644756317139,5.432997608184815,5.39549994468689,5.335087084770203,,,
1997-06-13,,,5.749644756317139,5.516325855255127,5.445496845245361,5.347586297988892,,,
1997-06-16,,,5.749644756317139,5.59965410232544,5.495493745803833,5.364251899719238,,,
1997-06-17,,,5.666316986083984,5.666316795349121,5.512159395217895,5.385083961486816,,,
1997-06-18,,,5.582988262176514,5.699647903442383,5.537157869338989,5.405915975570679,,,
1997-06-19,,,5.499660491943359,5.649651050567627,5.541324329376221,5.422581601142883,,,
1997-06-20,,,5.499660491943359,5.599654197692871,5.557990026473999,5.441330456733704,,,
1997-06-23,,,5.416332721710205,5.532991790771485,5.566322946548462,5.455912923812866,5.071353430747986,,
1997-06-24,,,5.582988262176514,5.51632604598999,5.591321420669556,5.468412160873413,5.104684691429139,,
1997-06-25,,,5.333003520965576,5.466329097747803,5.582988500595093,5.468412160873413,5.13718267917633,,
1997-06-26,,,5.791309356689453,5.524658870697022,5.587154960632324,5.491327452659607,5.176346940994263,,
1997-06-27,,,5.707980632781982,5.566322898864746,5.582988548278808,5.514242696762085,5.210511493682861,,
1997-06-30,,,5.582988262176514,5.599654006958008,5.566322898864746,5.530908322334289,5.242176198959351,,
1997-07-01,,,5.582988262176514,5.599654006958008,5.557990026473999,5.535074710845947,5.275507459640503,,
1997-07-02,,,5.499660491943359,5.632985401153564,5.549657249450684,5.543407559394836,5.295506229400635,,
1997-07-03,,,5.333003520965576,5.541324234008789,5.532991552352906,5.537157940864563,5.305505609512329,,
1997-07-04,,,5.333003520965576,5.466328811645508,5.516325855255127,5.537157940864563,5.3221712398529055,,
