Date,GRADE,GPS,STE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-06-01,,,1.5156705379486084,,,,,,
1992-06-02,,,1.538635015487671,,,,,,
1992-06-03,,,1.791246771812439,,,,,,
1992-06-04,,,1.791246771812439,,,,,,
1992-06-05,,,1.6993879079818726,1.667237401008606,,,,,
1992-06-08,,,1.6993879079818726,1.7039808750152587,,,,,
1992-06-09,,,1.4697411060333252,1.6902020931243897,,,,,
1992-06-10,,,1.6075286865234375,1.6534584760665894,,,,,
1992-06-11,,,1.6075286865234375,1.616714859008789,,,,,
1992-06-12,,,1.6993879079818726,1.616714859008789,1.6419761300086975,,,,
1992-06-15,,,1.745317816734314,1.6259008407592774,1.664940857887268,,,,
1992-06-16,,,1.6993879079818726,1.6718302011489867,1.6810161471366882,,,,
1992-06-17,,,1.4697411060333252,1.6442726850509644,1.6488655805587769,,,,
1992-06-18,,,1.446776270866394,1.6121222019195556,1.6144185304641723,,,,
1992-06-19,,,1.5615992546081543,1.584564471244812,1.6006396651268004,,,,
1992-06-22,,,1.4697411060333252,1.5294491291046142,1.5776749849319458,,,,
1992-06-23,,,1.5615992546081543,1.5018913984298705,1.5868607997894286,,,,
1992-06-24,,,1.4697411060333252,1.5018913984298705,1.5730820417404174,,,,
1992-06-25,,,1.5615992546081543,1.5248559951782226,1.568489098548889,,,,
1992-06-26,,,1.6075286865234375,1.5340418815612793,1.5593031764030456,1.6006396532058715,,,
1992-06-29,,,1.6993879079818726,1.5799712419509888,1.5547101855278016,1.6098255217075348,,,
1992-06-30,,,1.6993879079818726,1.6075289726257325,1.5547101855278016,1.617863166332245,,,
1992-07-01,,,1.6993879079818726,1.653458333015442,1.5776748657226562,1.6132702231407166,,,
1992-07-02,,,1.5156705379486084,1.6442725896835326,1.5845642924308776,1.599491411447525,,,
1992-07-03,,,1.5156705379486084,1.625900959968567,1.5799714207649231,1.590305542945862,,,
1992-07-06,,,1.5615992546081543,1.5983432292938233,1.589157235622406,1.583416110277176,,,
1992-07-07,,,1.4238111972808838,1.5432278871536256,1.575378429889679,1.5811196148395539,,,
1992-07-08,,,1.4697411060333252,1.497298526763916,1.575378429889679,1.5742302358150482,,,
1992-07-09,,,1.5156705379486084,1.497298526763916,1.5707855582237245,1.5696373283863068,,,
1992-07-10,,,1.6075286865234375,1.515670156478882,1.5707855582237245,1.565044367313385,,,
1992-07-13,,,1.6075286865234375,1.5248560428619384,1.5615996360778808,1.5581549108028412,,,
1992-07-14,,,1.6075286865234375,1.5615995407104493,1.5524137139320373,1.5535619497299193,,,
1992-07-15,,,1.6075286865234375,1.5891570568084716,1.5432277917861938,1.560451328754425,,,
1992-07-16,,,1.6075286865234375,1.6075286865234375,1.5524136066436767,1.5684889495372771,,,
1992-07-17,,,1.6993879079818726,1.6259005308151244,1.5707853436470032,1.575378382205963,,,
1992-07-20,,,1.6993879079818726,1.6442723751068116,1.584564208984375,1.5868607223033906,,,
1992-07-21,,,1.791246771812439,1.6810159921646117,1.6213077664375306,1.5983430981636046,,,
1992-07-22,,,1.653459072113037,1.6902020692825317,1.6396795630455017,1.6075289964675903,,,
1992-07-23,,,1.630494236946106,1.6947951793670655,1.6511619329452514,1.610973745584488,,,
1992-07-24,,,1.653459072113037,1.6856094121932983,1.6557549715042115,1.6132702648639679,,,
1992-07-27,,,1.6075286865234375,1.6672375679016114,1.6557549715042115,1.6086773037910462,,,
