Date,GRADE,GPS,WST,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.060043334960937,,,,,,
1983-11-22,,,2.0254220962524414,,,,,,
1983-11-23,,,1.9907995462417605,,,,,,
1983-11-24,,,1.9907995462417605,,,,,,
1983-11-25,,,1.973488450050354,2.008110594749451,,,,,
1983-11-28,,,1.9561764001846316,1.9873372077941895,,,,,
1983-11-29,,,1.9388649463653564,1.9700257778167725,,,,,
1983-11-30,,,1.9475200176239011,1.9613698720932007,,,,,
1983-12-01,,,1.9215552806854248,1.9475210189819336,,,,,
1983-12-02,,,1.904241919517517,1.9336717128753662,1.9708911538124085,,,,
1983-12-05,,,1.860964298248291,1.914629292488098,1.9509832501411437,,,,
1983-12-06,,,1.8263424634933472,1.8921247959136962,1.9310752868652343,,,,
1983-12-07,,,1.8696197271347048,1.8765447378158568,1.9189573049545288,,,,
1983-12-08,,,1.8436522483825684,1.8609641313552856,1.9042425751686096,,,,
1983-12-09,,,1.8869314193725584,1.857502031326294,1.89558687210083,,,,
1983-12-12,,,1.8696197271347048,1.8592331171035767,1.8869312047958373,,,,
1983-12-13,,,1.8523094654083248,1.8644265174865722,1.8782756567001342,,,,
1983-12-14,,,1.860964298248291,1.8626954317092896,1.8696200847625732,,,,
1983-12-15,,,1.8176852464675903,1.857502031326294,1.8592330813407898,,,,
1983-12-16,,,1.7830641269683838,1.836728572845459,1.8471153020858764,1.9090032279491425,,,
1983-12-19,,,1.774409294128418,1.8176864862442017,1.8384598016738891,1.8947215259075165,,,
1983-12-20,,,1.774409294128418,1.8021064519882202,1.8332664847373963,1.8821708858013153,,,
1983-12-21,,,1.7830641269683838,1.7865264177322389,1.8246109247207642,1.8717841148376464,,,
1983-12-22,,,1.8263424634933472,1.78825786113739,1.8228799462318421,1.8635612607002259,,,
1983-12-23,,,1.8176852464675903,1.7951820850372315,1.8159553289413453,1.8557711005210877,,,
1983-12-26,,,1.8176852464675903,1.803837275505066,1.8107618808746337,1.8488465428352356,,,
1983-12-27,,,1.8090299367904663,1.8107614040374755,1.8064339280128479,1.8423547923564911,,,
1983-12-28,,,1.8003753423690796,1.8142236471176147,1.8003750324249268,1.83499755859375,,,
1983-12-29,,,1.8003753423690796,1.8090302228927613,1.7986440420150758,1.8289385616779328,,,
1983-12-30,,,1.8003753423690796,1.805568242073059,1.8003751635551453,1.8237452328205108,,,
1984-01-02,,,1.8003753423690796,1.802106261253357,1.8029717683792115,1.8207157850265503,,,
1984-01-03,,,1.791719675064087,1.798644208908081,1.8047028064727784,1.8189846456050873,,,
1984-01-04,,,1.8176852464675903,1.8021061897277832,1.8081649184226989,1.8163879215717316,,,
1984-01-05,,,1.8523094654083248,1.8124930143356324,1.8107616186141968,1.8168207824230194,,,
1984-01-06,,,1.9475200176239011,1.8419219493865966,1.8237450957298278,1.8198502123355866,,,
1984-01-09,,,1.9388649463653564,1.869619870185852,1.8358630657196044,1.823312473297119,,,
1984-01-10,,,1.9215552806854248,1.8955869913101195,1.8471156001091003,1.8267747640609742,,,
1984-01-11,,,1.904241919517517,1.912898325920105,1.8575022578239442,1.8289386451244354,,,
1984-01-12,,,1.878275752067566,1.9180915832519532,1.8652922987937928,1.8319681704044342,,,
1984-01-13,,,1.860964298248291,1.900780439376831,1.8713511943817138,1.8358631789684297,,,
1984-01-16,,,1.8696197271347048,1.8869313955307008,1.8782756328582764,1.8406237006187438,,,
1984-01-17,,,1.9302096366882324,1.8886622667312623,1.892124629020691,1.8484137177467346,,,
1984-01-18,,,1.9128984212875368,1.890393567085266,1.9016459465026856,1.8549054324626923,,,
1984-01-19,,,1.878275752067566,1.890393567085266,1.9042425751686096,1.857502096891403,,,
1984-01-20,,,1.895586848258972,1.8973180770874023,1.8990492582321168,1.8613971769809723,,,
1984-01-23,,,1.8869314193725584,1.9007804155349732,1.893855905532837,1.8648594856262206,,,
1984-01-24,,,1.860964298248291,1.886931347846985,1.8877968072891236,1.867456203699112,,,
1984-01-25,,,1.8436522483825684,1.8730821132659912,1.8817378401756286,1.8696200489997863,,,
1984-01-26,,,1.8523094654083248,1.867888855934143,1.8791412115097046,1.8722167551517486,,,
1984-01-27,,,1.8349970579147337,1.8557708978652954,1.8765444874763488,1.8739478409290313,1.8732554602622986,,
1984-01-30,,,1.8349970579147337,1.8453840255737304,1.8730822205543518,1.875678926706314,1.8687545347213745,,
1984-01-31,,,1.8436522483825684,1.841921615600586,1.8644264817237854,1.8782755553722381,1.865119137763977,,
1984-02-01,,,1.860964298248291,1.8453840255737304,1.8592330694198609,1.8804395079612732,1.8625224328041077,,
1984-02-02,,,1.8263424634933472,1.840190625190735,1.854039740562439,1.8791411578655244,1.8592332911491394,,
1984-02-03,,,1.8263424634933472,1.8384597063064576,1.8471153020858764,1.8730822801589966,1.8562903714179992,,
1984-02-06,,,1.791719675064087,1.8298042297363282,1.8375941276550294,1.8657250165939332,1.8530012369155884,,
1984-02-07,,,1.7830641269683838,1.8176866054534913,1.8298041105270386,1.858800458908081,1.849885220527649,,
1984-02-08,,,1.7570973634719849,1.79691321849823,1.8211486220359803,1.8514432311058044,1.8460767674446106,,
1984-02-09,,,1.6965078115463257,1.7709462881088256,1.8055684566497803,1.8423548340797424,1.8415758180618287,,
1984-02-10,,,1.66188383102417,1.7380545616149903,1.7882571339607238,1.8324008107185363,1.8367286562919616,,
1984-02-13,,,1.6186063289642334,1.7034318923950196,1.7666180610656739,1.8198501408100127,1.8318814969062804,,
1984-02-14,,,1.66188383102417,1.6791958332061767,1.748441219329834,1.8064338505268096,1.8285923242568969,,
1984-02-15,,,1.5753284692764282,1.6428420543670654,1.7198776364326478,1.7895553529262542,1.8227064990997315,,
1984-02-16,,,1.5926390886306765,1.6220683097839355,1.6965072989463805,1.7752735197544098,1.8176862359046937,,
1984-02-17,,,1.6359175443649292,1.6168750524520874,1.6774648070335387,1.7622900545597076,1.812665958404541,,
1984-02-20,,,1.6359175443649292,1.6203372955322266,1.661884593963623,1.7497393608093261,1.8079919147491454,,
1984-02-21,,,1.66188383102417,1.6203372955322266,1.6497665643692017,1.73978533744812,1.8041834020614624,,
1984-02-22,,,1.64457368850708,1.634186339378357,1.6385141968727113,1.7298314094543457,1.7998555898666382,,
1984-02-23,,,1.6532284021377563,1.646304202079773,1.6341862559318543,1.7198773562908172,1.7965664529800416,,
1984-02-24,,,1.670540452003479,1.6532287836074828,1.6350519180297851,1.7116545259952545,1.7943159794807435,,
1984-02-27,,,1.7138190269470217,1.6688090801239013,1.644573187828064,1.7055956244468689,1.7931041741371154,,
1984-02-28,,,1.791719675064087,1.6947762489318847,1.6575567722320557,1.7029989957809448,1.793450381755829,,
1984-02-29,,,1.7657519578933716,1.719011902809143,1.67659912109375,1.698238378763199,1.7931041383743287,,
