Date,GRADE,GPS,ETN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.0507892370224,,,,,,
1983-11-22,,,1.071700096130371,,,,,,
1983-11-23,,,1.087383508682251,,,,,,
1983-11-24,,,1.087383508682251,,,,,,
1983-11-25,,,1.121364712715149,1.0837242126464843,,,,,
1983-11-28,,,1.1056809425354004,1.0947025537490844,,,,,
1983-11-29,,,1.1265918016433716,1.1056808948516845,,,,,
1983-11-30,,,1.1056809425354004,1.1093403816223144,,,,,
1983-12-01,,,1.1056809425354004,1.1129998683929443,,,,,
1983-12-02,,,1.1161365509033203,1.1119542360305785,1.0978392243385315,,,,
1983-12-05,,,1.121364712715149,1.1150909900665282,1.1048967719078064,,,,
1983-12-06,,,1.1265918016433716,1.1150909900665282,1.1103859424591065,,,,
1983-12-07,,,1.1422762870788574,1.1224100589752197,1.1158752202987672,,,,
1983-12-08,,,1.1475040912628174,1.130774688720703,1.1218872785568237,,,,
1983-12-09,,,1.139662265777588,1.1354798316955566,1.1237170338630675,,,,
1983-12-12,,,1.1265918016433716,1.1365252494812013,1.1258081197738647,,,,
1983-12-13,,,1.1187504529953003,1.1349569797515868,1.1250239849090575,,,,
1983-12-14,,,1.1030668020248413,1.1271150827407836,1.1247625708580018,,,,
1983-12-15,,,1.0821560621261597,1.1140454769134522,1.1224100828170775,,,,
1983-12-16,,,1.11352276802063,1.1088175773620605,1.1221487045288085,1.10999396443367,,,
1983-12-19,,,1.121364712715149,1.107772159576416,1.1221487045288085,1.1135227382183075,,,
1983-12-20,,,1.1187504529953003,1.107772159576416,1.1213645696640016,1.115875256061554,,,
1983-12-21,,,1.1265918016433716,1.1124771595001222,1.1197961211204528,1.11783567070961,,,
1983-12-22,,,1.139662265777588,1.1239784002304076,1.11901193857193,1.120449608564377,,,
1983-12-23,,,1.139662265777588,1.1292062997817993,1.11901193857193,1.1213644862174987,,,
1983-12-26,,,1.139662265777588,1.132865810394287,1.1203189849853517,1.1230635523796082,,,
1983-12-27,,,1.1501175165176392,1.139139223098755,1.1234556913375855,1.1242398381233216,,,
1983-12-28,,,1.1501175165176392,1.1438443660736084,1.1281607627868653,1.1264616668224334,,,
1983-12-29,,,1.1527318954467771,1.1464582920074462,1.135218346118927,1.1288142144680022,,,
1983-12-30,,,1.1605736017227173,1.1506405591964721,1.1399234294891358,1.131036067008972,,,
1984-01-02,,,1.1605736017227173,1.154822826385498,1.1438443183898925,1.1329965114593505,,,
1984-01-03,,,1.1527318954467771,1.1553457021713256,1.1472424626350404,1.134303516149521,,,
1984-01-04,,,1.1658002138137815,1.1584822416305542,1.1511633038520812,1.135479712486267,,,
1984-01-05,,,1.1710290908813477,1.1621416807174683,1.1542999863624572,1.1366559624671937,,,
1984-01-06,,,1.1658002138137815,1.163187003135681,1.1569137811660766,1.1379628598690033,,,
1984-01-09,,,1.1658002138137815,1.1642323255538938,1.1595275759696961,1.139923280477524,,,
1984-01-10,,,1.176256775856018,1.168937301635742,1.162141501903534,1.1427985966205596,,,
1984-01-11,,,1.1710290908813477,1.1699830770492554,1.1642326593399048,1.146196711063385,,,
1984-01-12,,,1.1605736017227173,1.1678919792175293,1.1650168299674988,1.1501175880432128,,,
1984-01-13,,,1.139662265777588,1.1626643896102906,1.162925696372986,1.1514245629310609,,,
1984-01-16,,,1.1265918016433716,1.1548227071762085,1.1595275163650514,1.1516859173774718,,,
1984-01-17,,,1.1265918016433716,1.1448897123336792,1.1569135069847107,1.1520779848098754,,,
1984-01-18,,,1.121364712715149,1.1349568367004395,1.1524699568748473,1.1518166303634643,,,
1984-01-19,,,1.11352276802063,1.125546669960022,1.1467193245887757,1.1505096554756165,,,
1984-01-20,,,1.1030668020248413,1.1182275772094727,1.1404459834098817,1.1486798822879791,,,
1984-01-23,,,1.0769281387329102,1.1082948446273804,1.1315587759017944,1.1455431759357453,,,
1984-01-24,,,1.071700096130371,1.0973165035247803,1.1211031079292297,1.1416223049163818,,,
1984-01-25,,,1.0795416831970217,1.0889518976211547,1.1119543671607972,1.138093513250351,,,
1984-01-26,,,1.0743143558502195,1.0811102151870728,1.1033284425735475,1.1341726362705231,,,
1984-01-27,,,1.097839593887329,1.0800647735595703,1.0991461753845215,1.1310359358787536,1.1243966460227965,,
1984-01-30,,,1.0926109552383425,1.0832013368606568,1.0957480907440185,1.127637803554535,1.1252330803871156,,
1984-01-31,,,1.0968097448349,1.0882232666015625,1.0927698850631713,1.1248416960239411,1.125735273361206,,
1984-02-01,,,1.1178014278411863,1.0958752155303955,1.092413556575775,1.1224417567253113,1.1263436317443847,,
1984-02-02,,,1.1178014278411863,1.104572629928589,1.092841422557831,1.1197803735733032,1.1269519901275635,,
1984-02-03,,,1.0915621519088743,1.103317141532898,1.091690957546234,1.116068470478058,1.126355938911438,,
1984-02-06,,,1.062698483467102,1.0973346471786498,1.0902679920196532,1.110913383960724,1.125496289730072,,
1984-02-07,,,1.0312118530273438,1.0842150688171386,1.0862191677093505,1.1036611378192902,1.1235886907577515,,
1984-02-08,,,1.020715594291687,1.0647979021072387,1.080336558818817,1.096145462989807,1.1218893837928772,,
1984-02-09,,,1.007595777511597,1.042756772041321,1.073664700984955,1.0884965717792512,1.1199276804924012,,
1984-02-10,,,1.007595777511597,1.0259634971618652,1.0646403193473817,1.0818932473659515,1.1177568650245666,,
1984-02-13,,,0.994476079940796,1.012319016456604,1.054826831817627,1.0752874612808228,1.1152190923690797,,
