Date,GRADE,GPS,DAL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-05-03,,,18.11959648132324,,,,,,
2007-05-04,,,18.346967697143555,,,,,,
2007-05-07,,,17.804779052734375,,,,,,
2007-05-08,,,17.166399002075195,,,,,,
2007-05-09,,,17.306318283081055,17.748812103271483,,,,,
2007-05-10,,,17.227611541748047,17.570415115356447,,,,,
2007-05-11,,,16.877809524536133,17.27658348083496,,,,,
2007-05-14,,,16.519271850585938,17.019482040405272,,,,,
2007-05-15,,,15.915865898132324,16.7693754196167,,,,,
2007-05-16,,,16.038293838500977,16.515770530700685,17.132291316986084,,,,
2007-05-17,,,16.63296127319336,16.396840476989745,16.983627796173096,,,,
2007-05-18,,,16.88656234741211,16.39859104156494,16.83758726119995,,,,
2007-05-21,,,16.615459442138672,16.41782855987549,16.71865530014038,,,,
2007-05-22,,,17.03522300720215,16.641699981689452,16.705537700653075,,,,
2007-05-23,,,16.799102783203125,16.79386177062988,16.654816150665283,,,,
2007-05-24,,,16.63296127319336,16.79386177062988,16.595351123809813,,,,
2007-05-25,,,16.405588150024414,16.697666931152344,16.54812898635864,,,,
2007-05-28,,,16.405588150024414,16.655692672729494,16.53676061630249,,,,
2007-05-29,,,16.694171905517578,16.587482452392578,16.614591217041017,,,,
2007-05-30,,,16.597972869873047,16.547256469726562,16.670559120178222,16.901425218582155,,,
2007-05-31,,,16.65918731689453,16.552501678466797,16.67318172454834,16.82840476036072,,,
2007-06-01,,,17.0964412689209,16.690672302246092,16.69416961669922,16.765878438949585,,,
2007-06-04,,,16.475543975830078,16.704663467407226,16.680178070068358,16.69941668510437,,,
2007-06-05,,,16.57174301147461,16.680177688598633,16.633830070495605,16.66968388557434,,,
2007-06-06,,,16.554248809814453,16.671432876586913,16.609344673156738,16.632080411911012,,,
2007-06-07,,,16.160724639892578,16.571740341186523,16.56212100982666,16.578736066818237,,,
2007-06-08,,,16.46680450439453,16.44581298828125,16.568242645263673,16.558185815811157,,,
2007-06-11,,,16.073272705078125,16.365358734130858,16.535011100769044,16.535885858535767,,,
2007-06-12,,,16.090763092041016,16.269162750244142,16.474670219421387,16.5446307182312,,,
2007-06-13,,,16.300647735595703,16.218442535400392,16.444937705993652,16.55774841308594,,,
