Date,GRADE,GPS,PLTR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-09-30,,,9.5,,,,,,
2020-10-01,,,9.460000038146973,,,,,,
2020-10-02,,,9.199999809265137,,,,,,
2020-10-05,,,9.029999732971191,,,,,,
2020-10-06,,,9.899999618530272,9.417999839782714,,,,,
2020-10-07,,,10.0,9.517999839782714,,,,,
2020-10-08,,,10.0,9.62599983215332,,,,,
2020-10-09,,,9.949999809265137,9.775999832153321,,,,,
2020-10-12,,,9.890000343322754,9.947999954223633,,,,,
2020-10-13,,,9.470000267028809,9.86200008392334,9.639999961853027,,,,
2020-10-14,,,9.34000015258789,9.730000114440918,9.623999977111817,,,,
2020-10-15,,,9.90999984741211,9.71200008392334,9.66899995803833,,,,
2020-10-16,,,9.710000038146973,9.664000129699707,9.719999980926513,,,,
2020-10-19,,,9.56999969482422,9.6,9.773999977111817,,,,
2020-10-20,,,9.270000457763672,9.560000038146972,9.711000061035156,,,,
2020-10-21,,,9.199999809265137,9.531999969482422,9.63100004196167,,,,
2020-10-22,,,9.68000030517578,9.486000061035156,9.599000072479248,,,,
2020-10-23,,,9.489999771118164,9.442000007629394,9.55300006866455,,,,
2020-10-26,,,9.949999809265137,9.518000030517578,9.559000015258789,,,,
2020-10-27,,,10.949999809265137,9.853999900817872,9.706999969482421,9.673499965667725,,,
2020-10-28,,,10.850000381469728,10.184000015258789,9.857999992370605,9.740999984741212,,,
2020-10-29,,,10.75,10.397999954223632,9.942000007629394,9.805499982833862,,,
2020-10-30,,,10.130000114440918,10.526000022888184,9.98400001525879,9.851999998092651,,,
2020-11-02,,,10.539999961853027,10.644000053405762,10.08100004196167,9.927500009536743,,,
2020-11-03,,,10.5,10.554000091552734,10.203999996185303,9.95750002861023,,,
2020-11-04,,,10.720000267028809,10.52800006866455,10.35600004196167,9.99350004196167,,,
2020-11-05,,,11.880000114440918,10.754000091552735,10.576000022888184,10.087500047683715,,,
2020-11-06,,,13.829999923706056,11.494000053405761,11.010000038146973,10.281500053405761,,,
2020-11-09,,,14.670000076293944,12.320000076293946,11.482000064849853,10.520500040054321,,,
2020-11-10,,,14.0,13.020000076293945,11.78700008392334,10.747000026702882,,,
2020-11-11,,,15.960000038146973,14.068000030517577,12.298000049591064,11.078000020980834,,,
2020-11-12,,,14.579999923706056,14.607999992370605,12.68100004196167,11.311500024795532,,,
2020-11-13,,,15.800000190734863,15.002000045776366,13.248000049591065,11.616000032424926,,,
2020-11-16,,,15.93000030517578,15.254000091552735,13.78700008392334,11.934000062942506,,,
2020-11-17,,,17.850000381469727,16.02400016784668,14.522000122070313,12.363000059127808,,,
2020-11-18,,,17.899999618530273,16.41200008392334,15.24000005722046,12.798000049591064,,,
2020-11-19,,,18.979999542236328,17.292000007629394,15.95,13.263000011444092,,,
2020-11-20,,,18.149999618530277,17.761999893188477,16.381999969482422,13.696000003814698,,,
2020-11-23,,,21.040000915527344,18.78400001525879,17.01900005340576,14.250500059127807,,,
2020-11-24,,,23.81999969482422,19.977999877929687,18.001000022888185,14.894000053405762,,,
2020-11-25,,,29.049999237060547,22.207999801635744,19.30999994277954,15.803999996185302,,,
2020-11-26,,,29.049999237060547,24.221999740600587,20.75699987411499,16.71899995803833,,,
2020-11-27,,,27.65999984741211,26.123999786376952,21.942999839782715,17.59549994468689,,,
2020-11-30,,,27.11000061035156,27.337999725341795,23.060999870300293,18.423999977111816,,,
2020-12-01,,,25.670000076293945,27.707999801635744,23.842999839782713,19.182499980926515,,,
2020-12-02,,,22.51000022888184,26.4,24.30399990081787,19.771999979019164,,,
2020-12-03,,,24.030000686645508,25.39600028991699,24.80900001525879,20.379500007629396,,,
2020-12-04,,,23.850000381469727,24.634000396728517,25.379000091552733,20.880500030517577,,,
2020-12-07,,,28.940000534057617,25.000000381469725,26.16900005340576,21.59400005340576,,,
2020-12-08,,,28.59000015258789,25.584000396728516,26.646000099182128,22.323500061035155,15.15620002746582,,
2020-12-09,,,26.6299991607666,26.408000183105468,26.404000091552735,22.857000017166136,15.498800010681153,,
2020-12-10,,,27.040000915527344,27.010000228881836,26.203000259399413,23.480000066757203,15.85040002822876,,
2020-12-11,,,27.200000762939453,27.68000030517578,26.15700035095215,24.05000009536743,16.210400047302247,,
2020-12-14,,,27.239999771118164,27.34000015258789,26.170000267028808,24.615500068664552,16.574600048065186,,
2020-12-15,,,26.43000030517578,26.908000183105468,26.246000289916992,25.044500064849853,16.905200061798094,,
2020-12-16,,,25.920000076293945,26.76600036621094,26.5870002746582,25.445500087738036,17.223600063323975,,
2020-12-17,,,27.229999542236328,26.804000091552734,26.907000160217287,25.858000087738038,17.568200054168702,,
2020-12-18,,,25.96999931335449,26.55799980163574,27.119000053405763,26.249000072479248,17.888600044250488,,
2020-12-21,,,28.51000022888184,26.811999893188478,27.076000022888184,26.622500038146974,18.26100004196167,,
2020-12-22,,,28.040000915527344,27.13400001525879,27.021000099182128,26.833500099182128,18.63240005493164,,
2020-12-23,,,28.690000534057617,27.688000106811522,27.22700023651123,26.81550016403198,19.019400062561036,,
2020-12-24,,,27.75,27.792000198364256,27.298000144958497,26.750500202178955,19.376200065612792,,
2020-12-25,,,27.75,28.14800033569336,27.35300006866455,26.75500020980835,19.737000064849852,,
2020-12-28,,,25.6299991607666,27.572000122070314,27.192000007629396,26.6810001373291,20.0582000541687,,
2020-12-29,,,24.65999984741211,26.895999908447266,27.01499996185303,26.63050012588501,20.36600004196167,,
