Date,GRADE,GPS,AME,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1984-07-19,,,0.9354077577590942,,,,,,
1984-07-20,,,0.925764501094818,,,,,,
1984-07-23,,,0.9016560912132264,,,,,,
1984-07-24,,,0.9016560912132264,,,,,,
1984-07-25,,,0.9016560912132264,0.9132281064987182,,,,,
1984-07-26,,,0.911299765110016,0.9084065079689025,,,,,
1984-07-27,,,0.911299765110016,0.9055135607719421,,,,,
1984-07-30,,,0.9064784049987792,0.9064780235290527,,,,,
1984-07-31,,,0.925764501094818,0.9112997055053711,,,,,
1984-08-01,,,0.9836251139640808,0.927693510055542,0.9204608082771302,,,,
1984-08-02,,,0.9739812612533568,0.9402298092842102,0.9243181586265564,,,,
1984-08-03,,,1.0173770189285278,0.9614452600479126,0.9334794104099273,,,,
1984-08-06,,,1.0173770189285278,0.9836249828338623,0.9450515031814575,,,,
1984-08-07,,,1.065593957901001,1.011590874195099,0.961445289850235,,,,
1984-08-08,,,1.070415735244751,1.028948998451233,0.9783212542533875,,,,
1984-08-09,,,1.0945241451263428,1.05305757522583,0.9966436922550201,,,,
1984-08-10,,,1.070415735244751,1.0636653184890748,1.0125552892684937,,,,
1984-08-13,,,1.0511285066604614,1.0704156160354614,1.0270202994346618,,,,
1984-08-14,,,1.0125550031661987,1.059807825088501,1.0356993496417999,,,,
1984-08-15,,,1.0125550031661987,1.0482356786727904,1.0385923385620117,0.979526573419571,,,
1984-08-16,,,1.0173770189285278,1.0328062534332276,1.0429319143295288,0.9836250364780426,,,
1984-08-17,,,1.0125550031661987,1.021234107017517,1.042449712753296,0.9879645615816116,,,
1984-08-20,,,1.0125550031661987,1.0135194063186646,1.041967511177063,0.9935095071792602,,,
1984-08-21,,,0.9836251139640808,1.0077334284782409,1.033770626783371,0.9976079583168029,,,
1984-08-22,,,0.993268609046936,1.0038761496543884,1.0260559141635894,1.0021885842084886,,,
1984-08-23,,,1.007733702659607,1.0019474864006042,1.017376869916916,1.007010281085968,,,
1984-08-24,,,1.0318419933319092,1.0058048844337464,1.0135194957256317,1.0130373924970626,,,
1984-08-27,,,1.0173770189285278,1.0067692875862122,1.0101443469524383,1.01858232319355,,,
1984-08-28,,,1.0221986770629885,1.0144840002059936,1.0111087143421174,1.0234040319919586,,,
