Date,GRADE,GPS,INTC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.4849671721458435,,,,,,
1983-11-22,,,0.4965830743312835,,,,,,
1983-11-23,,,0.4878711104393005,,,,,,
1983-11-24,,,0.4878711104393005,,,,,,
1983-11-25,,,0.4965830743312835,0.49077510833740234,,,,,
1983-11-28,,,0.4994870126247406,0.49367907643318176,,,,,
1983-11-29,,,0.493679404258728,0.4930983424186707,,,,,
1983-11-30,,,0.4849671721458435,0.49251755475997927,,,,,
1983-12-01,,,0.4878711104393005,0.49251755475997927,,,,,
1983-12-02,,,0.479159265756607,0.48903279304504393,0.48990395069122317,,,,
1983-12-05,,,0.47625532746315,0.48438645601272584,0.4890327662229538,,,,
1983-12-06,,,0.4675433933734894,0.4791592538356781,0.48612879812717436,,,,
1983-12-07,,,0.4806108176708221,0.4782879829406738,0.4854027688503265,,,,
1983-12-08,,,0.4820628464221954,0.4771263301372528,0.48482194244861604,,,,
1983-12-09,,,0.4849671721458435,0.4782879114151001,0.48366035223007203,,,,
1983-12-12,,,0.4994870126247406,0.4829342484474182,0.48366035223007203,,,,
1983-12-13,,,0.4907750189304352,0.48758057355880735,0.48336991369724275,,,,
1983-12-14,,,0.4675433933734894,0.4849670886993408,0.48162753582000734,,,,
1983-12-15,,,0.4617351293563843,0.48090154528617857,0.4790139377117157,,,,
1983-12-16,,,0.4733510911464691,0.4785783290863037,0.4784331202507019,0.4841685354709625,,,
1983-12-19,,,0.4878711104393005,0.4762551486492157,0.4795946985483169,0.48431373238563535,,,
1983-12-20,,,0.479159265756607,0.4739319980144501,0.48075628578662866,0.48344254195690156,,,
1983-12-21,,,0.4878711104393005,0.4779975414276123,0.4814823150634765,0.48344254195690156,,,
1983-12-22,,,0.479159265756607,0.48148236870765687,0.48119195699691775,0.48300694972276687,,,
1983-12-23,,,0.4733510911464691,0.48148236870765687,0.48003034889698026,0.4818453505635262,,,
1983-12-26,,,0.4733510911464691,0.47857836484909055,0.4774167567491531,0.4805385544896126,,,
1983-12-27,,,0.4820628464221954,0.47915908098220816,0.4765455394983292,0.47995772659778596,,,
1983-12-28,,,0.4820628464221954,0.4779974281787872,0.47799748480319976,0.47981251031160355,,,
1983-12-29,,,0.479159265756607,0.4779974281787872,0.47973989844322207,0.47937691807746885,,,
1983-12-30,,,0.4878711104393005,0.4809014320373535,0.4811919003725052,0.47981251031160355,,,
1984-01-02,,,0.4878711104393005,0.48380543589591973,0.4811919003725052,0.480393299460411,,,
1984-01-03,,,0.4733510911464691,0.4820630848407744,0.4806110829114914,0.48068368434905995,,,
1984-01-04,,,0.4777072370052337,0.4811919629573821,0.4795946955680847,0.4805385053157806,,,
1984-01-05,,,0.4994870126247406,0.4852575123310089,0.48162747025489805,0.4814097136259078,,,
1984-01-06,,,0.4965830743312835,0.4869999051094055,0.48395066857337954,0.4819905087351798,,,
1984-01-09,,,0.4965830743312835,0.4887422978878021,0.486273866891861,0.48184531182050694,,,
1984-01-10,,,0.4907750189304352,0.4922270834445953,0.4871450841426849,0.48184531182050694,,,
1984-01-11,,,0.4820628464221954,0.4930982053279876,0.4871450841426849,0.4825712844729423,,,
1984-01-12,,,0.479159265756607,0.48903265595436085,0.4871450841426849,0.4834424912929534,,,
1984-01-13,,,0.493679404258728,0.4884519219398499,0.4877259135246277,0.48445890694856636,,,
1984-01-16,,,0.471899151802063,0.48351513743400576,0.48612871766090393,0.4836603090167045,,,
1984-01-17,,,0.479159265756607,0.48119198679924013,0.4867095351219177,0.4836603090167045,,,
1984-01-18,,,0.4559268951416015,0.47596479654312135,0.4845315009355545,0.48206309825181953,,,
1984-01-19,,,0.4617351293563843,0.4724799692630768,0.48075631260871887,0.4811918914318084,,,
1984-01-20,,,0.4385029375553131,0.4614446759223938,0.47494829893112184,0.4794494837522506,,,
1984-01-23,,,0.4385029375553131,0.45476543307304385,0.4691402852535248,0.4777070760726928,,,
1984-01-24,,,0.4414074420928955,0.4472150683403015,0.4642035275697708,0.4756743058562278,,,
1984-01-25,,,0.4297909140586853,0.44198787212371826,0.4589763343334198,0.47306070923805227,,,
1984-01-26,,,0.4239833652973175,0.4344375193119049,0.45345874428749083,0.4703019142150878,,,
1984-01-27,,,0.4094634056091308,0.42862961292266843,0.44503714442253106,0.46638152897357943,0.4764584058523178,,
1984-01-30,,,0.4152714908123016,0.42398332357406615,0.43937437832355497,0.46275154799222945,0.47506449222564695,,
1984-01-31,,,0.4268873035907745,0.42107929587364196,0.43414718210697173,0.46042835861444475,0.4736705768108368,,
1984-02-01,,,0.4123669266700744,0.4175944983959198,0.429791185259819,0.45716134309768675,0.4721604931354523,,
1984-02-02,,,0.4210791289806366,0.4170136511325836,0.42572558522224424,0.45324094891548156,0.470824653506279,,
1984-02-03,,,0.4007512331008911,0.4152712166309357,0.42195041477680206,0.4484493568539619,0.46890801668167115,,
1984-02-06,,,0.3862312436103821,0.40946316719055176,0.416723245382309,0.4429317653179169,0.46664290130138397,,
1984-02-07,,,0.3978473246097564,0.40365517139434814,0.4123672336339951,0.43828538060188293,0.46472625970840453,,
1984-02-08,,,0.3659033179283142,0.3943624496459961,0.40597847402095794,0.4324774041771889,0.46234498262405394,,
1984-02-09,,,0.3760671317577362,0.385360050201416,0.40118685066699983,0.42732279747724533,0.4601089030504227,,
1984-02-10,,,0.3891355395317077,0.38303691148757935,0.39915406405925746,0.4220956042408943,0.4583084285259247,,
1984-02-13,,,0.3862312436103821,0.38303691148757935,0.3962500393390655,0.41781220883131026,0.4565079468488693,,
