Date,GRADE,GPS,RSG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-07-01,,,10.838096618652344,,,,,,
1998-07-02,,,10.917784690856934,,,,,,
1998-07-03,,,10.917784690856934,,,,,,
1998-07-06,,,10.997478485107422,,,,,,
1998-07-07,,,10.838096618652344,10.901848220825196,,,,,
1998-07-08,,,10.917784690856934,10.917785835266113,,,,,
1998-07-09,,,10.997478485107422,10.93372459411621,,,,,
1998-07-10,,,10.970911979675291,10.944350051879884,,,,,
1998-07-13,,,10.944351196289062,10.93372459411621,,,,,
1998-07-14,,,10.86466121673584,10.93903751373291,10.920442867279053,,,,
1998-07-15,,,11.050607681274414,10.965602111816406,10.941693973541259,,,,
1998-07-16,,,10.917784690856934,10.949663352966308,10.941693973541259,,,,
1998-07-17,,,11.050607681274414,10.965602493286132,10.954976272583007,,,,
1998-07-20,,,11.63501262664795,11.10373477935791,11.01872968673706,,,,
1998-07-21,,,11.289678573608398,11.188738250732422,11.063887882232667,,,,
1998-07-22,,,10.891223907470703,11.156861495971679,11.061231803894042,,,,
1998-07-23,,,10.838096618652344,11.140923881530762,11.045293617248536,,,,
1998-07-24,,,11.050607681274414,11.140923881530762,11.053263187408447,,,,
1998-07-27,,,10.997478485107422,11.013417053222657,11.058575916290284,,,,
1998-07-28,,,10.625580787658691,10.880597496032715,11.034667873382569,10.97755537033081,,,
1998-07-29,,,10.466206550598145,10.795594024658204,10.976227760314941,10.9589608669281,,,
1998-07-30,,,10.625580787658691,10.753090858459473,10.947007369995116,10.944350671768188,,,
1998-07-31,,,10.625580787658691,10.668085479736328,10.904504680633545,10.929740476608277,,,
1998-08-03,,,10.359946250915527,10.540579032897949,10.776998043060303,10.897863864898682,,,
1998-08-04,,,9.775538444519045,10.37057056427002,10.625584030151368,10.844735956192016,,,
1998-08-05,,,9.323949813842772,10.142119216918946,10.468856620788575,10.765044212341309,,,
1998-08-06,,,9.29738426208496,9.8764799118042,10.314785385131836,10.680039501190185,,,
