Date,GRADE,GPS,PTC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1989-12-08,,,1.8229169845581052,,,,,,
1989-12-11,,,1.7708330154418943,,,,,,
1989-12-12,,,1.7708330154418943,,,,,,
1989-12-13,,,1.71875,,,,,,
1989-12-14,,,1.8229169845581052,1.78125,,,,,
1989-12-15,,,1.8229169845581052,1.7812499999999996,,,,,
1989-12-18,,,1.7447919845581057,1.7760417938232422,,,,,
1989-12-19,,,1.7578129768371582,1.773437786102295,,,,,
1989-12-20,,,1.7578129768371582,1.7812503814697265,,,,,
1989-12-21,,,1.8489580154418943,1.7864585876464845,1.7838542938232422,,,,
1989-12-22,,,1.875,1.7968751907348632,1.7890625953674317,,,,
1989-12-25,,,1.875,1.8229167938232422,1.7994792938232422,,,,
1989-12-26,,,2.03125,1.8776041984558105,1.8255209922790527,,,,
1989-12-27,,,2.0833330154418945,1.9427082061767578,1.8619792938232422,,,,
1989-12-28,,,2.0052080154418945,1.9739582061767578,1.880208396911621,,,,
1989-12-29,,,2.1875,2.036458206176758,1.9166666984558105,,,,
1990-01-01,,,2.1875,2.098958206176758,1.9609375,,,,
1990-01-02,,,2.1875,2.130208206176758,2.0039062023162844,,,,
1990-01-03,,,2.265625,2.166666603088379,2.0546874046325683,,,,
1990-01-04,,,2.2395830154418945,2.213541603088379,2.0937499046325683,1.9388020992279054,,,
1990-01-05,,,2.265625,2.229166603088379,2.1328124046325683,1.9609375,,,
1990-01-08,,,2.3177080154418945,2.255208206176758,2.177083206176758,1.98828125,,,
1990-01-09,,,2.291666984558105,2.276041603088379,2.2031249046325683,2.0143229484558107,,,
1990-01-10,,,2.265625,2.276041603088379,2.221354103088379,2.0416666984558107,,,
1990-01-11,,,2.213541984558105,2.270833396911621,2.2421875,2.0611979484558107,,,
1990-01-12,,,2.135416984558105,2.244791793823242,2.2369791984558103,2.0768229484558107,,,
1990-01-15,,,2.057291984558105,2.192708587646484,2.2239583969116206,2.0924479484558107,,,
1990-01-16,,,2.057291984558105,2.145833587646484,2.2109375953674313,2.107421898841858,,,
1990-01-17,,,2.109375,2.114583587646484,2.1953125953674313,2.125,,,
1990-01-18,,,2.3177080154418945,2.135416793823242,2.2031250953674313,2.1484375,,,
1990-01-19,,,2.578125,2.223958396911621,2.2343750953674313,2.18359375,,,
1990-01-22,,,2.421875,2.296875,2.244791793823242,2.2109375,,,
1990-01-23,,,2.5520830154418945,2.395833206176758,2.2708333969116206,2.2369791507720946,,,
1990-01-24,,,2.7864580154418945,2.5312498092651365,2.3229166984558103,2.2721354007720946,,,
1990-01-25,,,2.6432290077209477,2.5963540077209473,2.3658854007720946,2.3040364503860475,,,
1990-01-26,,,2.6432290077209477,2.6093748092651365,2.416666603088379,2.3268229007720946,,,
1990-01-29,,,2.526041984558105,2.630208206176758,2.463541603088379,2.34375,,,
1990-01-30,,,2.3958330154418945,2.598958206176758,2.497395706176758,2.3541666507720946,,,
1990-01-31,,,2.447916984558105,2.53125,2.5312499046325683,2.36328125,,,
1990-02-01,,,2.526041984558105,2.5078125953674317,2.5520833015441893,2.3776041984558107,,,
1990-02-02,,,2.604166984558105,2.500000190734863,2.5546875,2.3945312976837156,,,
1990-02-05,,,2.5911459922790527,2.5130209922790523,2.5716145992279054,2.4082031965255735,,,
1990-02-06,,,2.4739580154418945,2.5286459922790523,2.5638020992279054,2.4173177480697627,,,
1990-02-07,,,2.5,2.5390625953674313,2.5351562976837156,2.4290364980697627,,,
1990-02-08,,,2.460937976837158,2.526041793823242,2.516927194595337,2.4414062976837156,,,
1990-02-09,,,2.447916984558105,2.494791793823242,2.4973959922790527,2.4570312976837156,,,
1990-02-12,,,2.369791984558105,2.4505209922790527,2.4817709922790527,2.4726562976837156,,,
1990-02-13,,,2.3177080154418945,2.4192709922790527,2.4739584922790527,2.485677099227905,,,
1990-02-14,,,2.265625,2.3723959922790527,2.455729293823242,2.493489599227905,,,
1990-02-15,,,2.369791984558105,2.354166793823242,2.440104293823242,2.4960937976837156,2.2145833778381347,,
1990-02-16,,,2.421875,2.348958396911621,2.4218750953674317,2.4882812976837156,2.2265625381469727,,
1990-02-19,,,2.421875,2.359375,2.4049479961395264,2.4882812976837156,2.2395833778381347,,
1990-02-20,,,2.304687976837158,2.3567709922790527,2.3880209922790527,2.475911545753479,2.25026047706604,,
1990-02-21,,,2.3177080154418945,2.3671875953674317,2.369791793823242,2.452474045753479,2.262239637374878,,
1990-02-22,,,2.3958330154418945,2.3723958015441893,2.3632812976837156,2.440104246139526,2.2736979579925536,,
1990-02-23,,,2.3177080154418945,2.3515624046325683,2.3502604007720946,2.4238281965255735,2.2835937786102294,,
1990-02-26,,,2.34375,2.3359374046325683,2.3476562023162844,2.414713597297668,2.2955729389190673,,
1990-02-27,,,2.369791984558105,2.3489582061767575,2.352864599227905,2.413411545753479,2.307812519073486,,
1990-02-28,,,2.2786459922790527,2.3411458015441893,2.3541666984558103,2.404947996139526,2.318229179382324,,
1990-03-01,,,2.3958330154418945,2.3411458015441893,2.3567708015441893,2.3984375476837156,2.329166679382324,,
