Date,GRADE,GPS,IDXX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1991-06-21,,,0.9453129768371582,,,,,,
1991-06-24,,,0.90625,,,,,,
1991-06-25,,,0.90625,,,,,,
1991-06-26,,,0.90625,,,,,,
1991-06-27,,,0.90625,0.9140625953674316,,,,,
1991-06-28,,,0.90625,0.90625,,,,,
1991-07-01,,,0.9296879768371582,0.9109375953674317,,,,,
1991-07-02,,,0.90625,0.9109375953674317,,,,,
1991-07-03,,,0.875,0.9046875953674316,,,,,
1991-07-04,,,0.875,0.8984375953674316,0.9062500953674316,,,,
1991-07-05,,,0.875,0.8921875953674316,0.8992187976837158,,,,
1991-07-08,,,0.859375,0.878125,0.8945312976837159,,,,
1991-07-09,,,0.875,0.871875,0.8914062976837158,,,,
1991-07-10,,,0.8828129768371582,0.8734375953674316,0.8890625953674316,,,,
1991-07-11,,,0.875,0.8734375953674316,0.8859375953674317,,,,
1991-07-12,,,0.859375,0.8703125953674317,0.8812500953674316,,,,
1991-07-15,,,0.859375,0.8703125953674317,0.8742187976837158,,,,
1991-07-16,,,0.8828129768371582,0.8718751907348633,0.8718750953674317,,,,
1991-07-17,,,0.859375,0.8671875953674316,0.8703125953674317,,,,
1991-07-18,,,0.8671879768371582,0.8656251907348633,0.8695313930511475,0.8878907442092896,,,
1991-07-19,,,0.890625,0.8718751907348633,0.8710938930511475,0.8851563453674316,,,
1991-07-22,,,0.875,0.8750001907348632,0.8726563930511475,0.8835938453674317,,,
1991-07-23,,,0.875,0.8734375953674316,0.8726563930511475,0.8820313453674317,,,
1991-07-24,,,0.8984379768371582,0.8812501907348633,0.8742188930511474,0.8816407442092895,,,
1991-07-25,,,0.8828129768371582,0.8843751907348633,0.8750001907348632,0.8804688930511475,,,
1991-07-26,,,0.9375,0.8937501907348633,0.8828126907348632,0.8820313930511474,,,
1991-07-29,,,0.9453129768371582,0.9078127861022949,0.8914064884185791,0.8828126430511475,,,
1991-07-30,,,0.9296879768371582,0.9187503814697265,0.8960939884185791,0.8839845418930053,,,
1991-07-31,,,0.90625,0.9203127861022949,0.9007814884185791,0.8855470418930054,,,
1991-08-01,,,0.9375,0.9312501907348633,0.9078126907348633,0.8886720418930054,,,
1991-08-02,,,0.921875,0.9281251907348633,0.9109376907348633,0.8910157918930054,,,
1991-08-05,,,0.921875,0.9234375953674316,0.9156251907348633,0.8941407918930053,,,
1991-08-06,,,0.921875,0.921875,0.9203126907348633,0.8964845418930054,,,
1991-08-07,,,0.9296879768371582,0.9265625953674317,0.9234376907348633,0.8988282918930054,,,
1991-08-08,,,0.9375,0.9265625953674317,0.9289063930511474,0.9019532918930053,,,
1991-08-09,,,0.921875,0.9265625953674317,0.9273438930511475,0.9050782918930054,,,
1991-08-12,,,0.9375,0.9296875953674316,0.9265625953674317,0.9089845418930054,,,
1991-08-13,,,0.921875,0.9296875953674316,0.9257812976837159,0.9109376430511474,,,
1991-08-14,,,0.9296879768371582,0.9296875953674316,0.9281250953674316,0.9144532918930054,,,
1991-08-15,,,0.9296879768371582,0.9281251907348633,0.9273438930511475,0.9175782918930053,,,
1991-08-16,,,0.9296879768371582,0.929687786102295,0.9281251907348633,0.9195314407348633,,,
1991-08-19,,,0.84375,0.9109377861022949,0.9203126907348633,0.9179689407348632,,,
1991-08-20,,,0.8828129768371582,0.9031253814697265,0.9164064884185791,0.9183595895767211,,,
1991-08-21,,,0.8984379768371582,0.8968753814697266,0.9132814884185791,0.9183595895767211,,,
1991-08-22,,,0.9140629768371582,0.8937503814697265,0.9109377861022949,0.9199220895767212,,,
1991-08-23,,,0.921875,0.8921877861022949,0.9109377861022949,0.9191408395767212,,,
1991-08-26,,,0.921875,0.9078127861022949,0.9093752861022949,0.9179689407348632,,,
1991-08-27,,,0.8984379768371582,0.9109377861022949,0.9070315837860108,0.9164064407348633,,,
1991-08-28,,,0.9296879768371582,0.9171877861022949,0.9070315837860108,0.9175783395767212,,,
1991-08-29,,,1.03125,0.9406251907348633,0.9171877861022949,0.9222658395767211,0.9056251716613769,,
1991-08-30,,,1.03125,0.9625001907348633,0.9273439884185791,0.9277345895767212,0.9073439121246338,,
1991-09-02,,,1.03125,0.9843751907348632,0.9460939884185791,0.9332033395767212,0.9098439121246338,,
1991-09-03,,,0.9921879768371582,1.0031251907348633,0.9570314884185791,0.9367189884185791,0.9115626716613769,,
1991-09-04,,,0.984375,1.0140625953674316,0.9656251907348633,0.9394533395767212,0.913125171661377,,
1991-09-05,,,0.984375,1.0046875953674317,0.9726563930511475,0.9417970895767211,0.914687671661377,,
1991-09-06,,,0.9609379768371582,0.9906251907348633,0.9765626907348632,0.9437502384185791,0.9157814311981202,,
1991-09-09,,,0.9921879768371582,0.9828127861022949,0.9835939884185791,0.946484637260437,0.9170314311981201,,
1991-09-10,,,0.9921879768371582,0.9828127861022949,0.9929689884185791,0.9500002861022949,0.9187501907348633,,
1991-09-11,,,0.9921879768371582,0.9843753814697266,0.9992189884185791,0.953125286102295,0.9210939502716065,,
1991-09-12,,,0.9609379768371582,0.9796879768371582,0.992187786102295,0.9546877861022949,0.9228127098083496,,
1991-09-13,,,0.9921879768371582,0.9859379768371582,0.9882815837860107,0.9578127861022949,0.9251564693450928,,
1991-09-16,,,0.96875,0.9812503814697265,0.9820315837860107,0.9640627861022949,0.9273439693450928,,
1991-09-17,,,1.0,0.9828127861022949,0.9828127861022949,0.969922137260437,0.9298439693450927,,
1991-09-18,,,1.03125,0.9906251907348633,0.9875002861022949,0.9765627384185791,0.9328127098083496,,
