Date,GRADE,GPS,UBER,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2019-05-10,,,41.56999969482422,,,,,,
2019-05-13,,,37.09999847412109,,,,,,
2019-05-14,,,39.959999084472656,,,,,,
2019-05-15,,,41.290000915527344,,,,,,
2019-05-16,,,43.0,40.58399963378906,,,,,
2019-05-17,,,41.90999984741211,40.65199966430664,,,,,
2019-05-20,,,41.59000015258789,41.55,,,,,
2019-05-21,,,41.5,41.85800018310547,,,,,
2019-05-22,,,41.25,41.85,,,,,
2019-05-23,,,40.470001220703125,41.344000244140624,40.96399993896485,,,,
2019-05-24,,,41.5099983215332,41.263999938964844,40.957999801635744,,,,
2019-05-27,,,41.5099983215332,41.247999572753905,41.398999786376955,,,,
2019-05-28,,,40.95000076293945,41.1379997253418,41.49799995422363,,,,
2019-05-29,,,39.93999862670898,40.875999450683594,41.362999725341794,,,,
2019-05-30,,,39.79999923706055,40.74199905395508,41.04299964904785,,,,
2019-05-31,,,40.40999984741211,40.52199935913086,40.89299964904785,,,,
2019-06-03,,,41.25,40.46999969482422,40.85899963378906,,,,
2019-06-04,,,42.75,40.82999954223633,40.98399963378906,,,,
2019-06-05,,,45.0,41.84199981689453,41.35899963378906,,,,
2019-06-06,,,44.91999816894531,42.86599960327148,41.80399932861328,41.38399963378906,,,
2019-06-07,,,44.15999984741211,43.61599960327148,42.068999481201175,41.513499641418456,,,
2019-06-10,,,42.61000061035156,43.8879997253418,42.178999710083005,41.78899974822998,,,
2019-06-11,,,42.45000076293945,43.827999877929685,42.32899971008301,41.91349983215332,,,
2019-06-12,,,42.16999816894531,43.26199951171875,42.55199966430664,41.95749969482422,,,
2019-06-13,,,44.310001373291016,43.14000015258789,43.00299987792969,42.02299976348877,,,
2019-06-14,,,43.22999954223633,42.954000091552736,43.28499984741211,42.08899974822998,,,
2019-06-17,,,43.77999877929688,43.1879997253418,43.5379997253418,42.19849967956543,,,
2019-06-18,,,43.86000061035156,43.46999969482422,43.648999786376955,42.31649971008301,,,
2019-06-19,,,44.86000061035156,44.008000183105466,43.63499984741211,42.496999740600586,,,
2019-06-20,,,43.86000061035156,43.918000030517575,43.52900009155273,42.66649971008301,,,
2019-06-21,,,44.0,44.072000122070314,43.513000106811525,42.790999794006346,,,
2019-06-24,,,43.09000015258789,43.934000396728514,43.56100006103516,42.86999988555908,,,
2019-06-25,,,43.09000015258789,43.78000030517578,43.625,42.976999855041505,,,
2019-06-26,,,42.5,43.30800018310547,43.65800018310547,43.10499992370605,,,
2019-06-27,,,45.130001068115234,43.5620002746582,43.74000015258789,43.37150001525879,,,
2019-06-28,,,46.380001068115234,44.03800048828125,44.05500030517578,43.670000076293945,,,
2019-07-01,,,44.27000045776367,44.274000549316405,44.10400047302246,43.82100009918213,,,
2019-07-02,,,44.0,44.45600051879883,44.1180004119873,43.88350009918213,,,
2019-07-03,,,44.22999954223633,44.80200042724609,44.05500030517578,43.84500007629394,,,
2019-07-04,,,44.22999954223633,44.62200012207031,44.09200019836426,43.810500144958496,,,
2019-07-05,,,43.52999877929688,44.05199966430664,44.045000076293945,43.77900009155273,,,
2019-07-08,,,42.95000076293945,43.7879997253418,44.0310001373291,43.79600009918213,,,
2019-07-09,,,44.20000076293945,43.827999877929685,44.14200019836426,43.88350009918213,,,
2019-07-10,,,43.70000076293945,43.72200012207031,44.262000274658206,43.96000022888184,,,
2019-07-11,,,43.9900016784668,43.6740005493164,44.14800033569336,43.944000244140625,,,
2019-07-12,,,43.9900016784668,43.76600112915039,43.909000396728516,43.98200035095215,,,
2019-07-15,,,44.52999877929688,44.082000732421875,43.93500022888183,44.01950035095215,,,
2019-07-16,,,44.130001068115234,44.06800079345703,43.94800033569336,44.03300037384033,,,
2019-07-17,,,43.619998931884766,44.05200042724609,43.887000274658206,43.971000289916994,,,
2019-07-18,,,43.709999084472656,43.99599990844727,43.83500022888184,43.96350021362305,42.84479995727539,,
2019-07-19,,,43.18000030517578,43.83399963378906,43.80000038146973,43.92250022888184,42.87699996948242,,
2019-07-22,,,43.68999862670898,43.66599960327149,43.87400016784668,43.95250015258789,43.00879997253418,,
