Date,GRADE,GPS,BKR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1987-04-06,,,6.38176965713501,,,,,,
1987-04-07,,,6.167615413665772,,,,,,
1987-04-08,,,6.424597263336182,,,,,,
1987-04-09,,,6.124782085418701,,,,,,
1987-04-10,,,6.210447311401367,6.261842346191406,,,,,
1987-04-13,,,6.039121627807617,6.193312740325927,,,,,
1987-04-14,,,5.525155067443848,6.064820671081543,,,,,
1987-04-15,,,5.9962921142578125,5.979159641265869,,,,,
1987-04-16,,,6.167615413665772,5.987726306915283,,,,,
1987-04-17,,,6.167615413665772,5.979159927368165,6.120501136779785,,,,
1987-04-20,,,6.08195161819458,5.987725925445558,6.0905193328857425,,,,
1987-04-21,,,6.039121627807617,6.090519237518311,6.077669954299926,,,,
1987-04-22,,,5.910630702972412,6.073386955261231,6.02627329826355,,,,
1987-04-23,,,5.953460693359375,6.030556011199951,6.009141159057617,,,,
1987-04-24,,,5.782136917114258,5.953460311889648,5.966310119628906,,,,
1987-04-27,,,5.653646945953369,5.867799377441406,5.927762651443482,,,,
1987-04-28,,,5.9089837074279785,5.841771793365479,5.9661455154418945,,,,
1987-04-29,,,5.952115535736084,5.850068759918213,5.961727857589722,,,,
1987-04-30,,,6.210904121398926,5.901557445526123,5.9660567283630375,,,,
1987-05-01,,,6.210904121398926,5.987310886383057,5.970385599136352,6.045443367958069,,,
1987-05-04,,,6.383423328399658,6.133266162872315,6.000532770156861,6.045526051521302,,,
1987-05-05,,,6.685345649719238,6.288538551330566,6.065155172348023,6.071412563323975,,,
1987-05-06,,,7.159786224365234,6.5300726890563965,6.190070724487304,6.108172011375427,,,
1987-05-07,,,7.677366733551025,6.823365211486816,6.36246132850647,6.185801243782043,,,
1987-05-08,,,7.547972202301025,7.090778827667236,6.5390448570251465,6.252677488327026,,,
1987-05-11,,,7.763625144958496,7.366819190979004,6.750042676925659,6.3389026641845705,,,
1987-05-12,,,7.763625144958496,7.582475090026856,6.935506820678711,6.450826168060303,,,
1987-05-13,,,7.547972202301025,7.660112285614014,7.095092487335205,6.528410172462463,,,
1987-05-14,,,7.504840850830078,7.625607109069824,7.22448616027832,6.595271444320678,,,
1987-05-15,,,7.37545108795166,7.591102886199951,7.340940856933594,6.655663228034973,,,
1987-05-18,,,7.246052742004394,7.487588405609131,7.427203798294068,6.713868284225464,,,
1987-05-19,,,7.159786224365234,7.366820621490478,7.474647855758667,6.769901514053345,,,
1987-05-20,,,6.94412899017334,7.246051979064942,7.453082132339477,6.821576428413391,,,
1987-05-21,,,7.030397415161133,7.1511632919311525,7.388385200500489,6.875423264503479,,,
1987-05-22,,,7.159786224365234,7.108030319213867,7.3495666027069095,6.944305729866028,,,
1987-05-25,,,7.159786224365234,7.090777015686035,7.289182710647583,7.0196126937866214,,,
1987-05-26,,,7.504840850830078,7.159787940979004,7.263304281234741,7.099405550956726,,,
1987-05-27,,,7.461709022521973,7.263303947448731,7.254677963256836,7.174885225296021,,,
1987-05-28,,,7.418574810028076,7.3409394264221195,7.246051359176636,7.235268759727478,,,
1987-05-29,,,7.547972202301025,7.418576622009278,7.263303470611572,7.302122163772583,,,
1987-06-01,,,7.547972202301025,7.496213817596436,7.293495416641235,7.3603496074676515,,,
1987-06-02,,,7.461709022521973,7.4875874519348145,7.3236876964569095,7.399167776107788,,,
1987-06-03,,,7.504840850830078,7.496213817596436,7.379758882522583,7.41642050743103,,,
1987-06-04,,,7.591100215911865,7.530718898773193,7.435829162597656,7.412107181549072,,,
1987-06-05,,,7.547972202301025,7.530718898773193,7.474647760391235,7.412107181549072,,,
1987-06-08,,,7.677366733551025,7.556597805023193,7.5264058113098145,7.407794260978699,,,
1987-06-09,,,7.591100215911865,7.582476043701172,7.535031747817993,7.399168014526367,,,
1987-06-10,,,7.591100215911865,7.599727916717529,7.547970867156982,7.4013244152069095,,,
1987-06-11,,,7.504840850830078,7.582476043701172,7.556597471237183,7.4013244152069095,,,
1987-06-12,,,7.33231782913208,7.539345169067383,7.535032033920288,7.39916775226593,6.846032619476318,,
1987-06-15,,,7.504840850830078,7.504839992523193,7.530718898773193,7.412107157707214,6.8684940433502195,,
1987-06-16,,,7.547972202301025,7.496214389801025,7.539345216751099,7.431516456604004,6.896101179122925,,
1987-06-17,,,7.504840850830078,7.478962516784668,7.539345216751099,7.459552049636841,6.917706050872803,,
1987-06-18,,,7.37545108795166,7.453084564208984,7.517780303955078,7.476804733276367,6.942719430923462,,
1987-06-19,,,7.547972202301025,7.496215438842773,7.517780303955078,7.496214032173157,6.969469928741455,,
1987-06-22,,,7.591100215911865,7.513467311859131,7.509153652191162,7.517779731750489,7.00050950050354,,
1987-06-23,,,7.591100215911865,7.5220929145812985,7.509153652191162,7.522092700004578,7.0418284034729,,
1987-06-24,,,7.504840850830078,7.5220929145812985,7.500527715682983,7.5242492914199826,7.071999378204346,,
1987-06-25,,,7.547972202301025,7.556597137451172,7.504840850830078,7.53071916103363,7.099606513977051,,
