Date,GRADE,GPS,CNP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-06-21,71.63560278523782,P,15.143410682678224,15.376282501220704,15.462779235839843,15.453131198883057,15.75369607925415,15.18825855255127,14.211429944038391
2013-06-24,70.84520968161758,P,15.05025863647461,15.253857803344726,15.415538787841797,15.421859502792358,15.744542064666748,15.204670343399048,14.219444923400879
2013-06-25,70.27067758953727,P,15.349666595458984,15.174014663696289,15.412211513519287,15.409883117675781,15.736890811920166,15.223161754608155,14.228924627304076
2013-06-26,70.56262069157587,P,15.502697944641112,15.201959419250489,15.4275146484375,15.418532562255859,15.735994167327881,15.242465057373046,14.23946041584015
2013-06-27,71.86087950189516,P,15.62911605834961,15.335029983520508,15.418864822387695,15.428180170059203,15.735382957458496,15.262444667816162,14.250143423080445
2013-06-28,72.74034428784479,P,15.62911605834961,15.432171058654784,15.404226779937744,15.43849310874939,15.729494800567627,15.282163076400757,14.260018301010131
2013-07-01,73.46171400389353,A,15.482732772827148,15.518665885925293,15.38626184463501,15.440821552276612,15.722262153625488,15.30035234451294,14.268611736297608
2013-07-02,73.78242245867447,A,15.60250186920166,15.569232940673828,15.37162380218506,15.452132415771484,15.715182037353516,15.318890218734742,14.277383790016174
2013-07-03,73.63354207256462,A,15.542621612548828,15.57721767425537,15.389588546752929,15.469098901748657,15.706904315948487,15.33724482536316,14.2857594537735
2013-07-04,73.37011081608888,A,15.542621612548828,15.559918785095215,15.447474384307862,15.476085138320922,15.696911602020263,15.357908153533936,14.294619989395141
2013-07-05,73.17899389822117,A,15.529314994812012,15.539958572387695,15.48606481552124,15.474422025680543,15.687444343566895,15.378570384979248,14.303413991928101
2013-07-08,73.5265792576168,A,15.755532264709473,15.59451847076416,15.556592178344726,15.486065483093261,15.679071254730225,15.401494789123536,14.31382396697998
2013-07-09,73.91591018803804,A,15.875295639038086,15.649077224731446,15.609155082702637,15.510683298110962,15.670982723236085,15.424957180023194,14.324671111106873
2013-07-10,74.45161592325971,A,15.995062828063965,15.739565467834472,15.658391571044922,15.54295310974121,15.669775009155273,15.448363895416259,14.335082688331603
2013-07-11,75.10251671119478,A,16.17470359802246,15.8659818649292,15.712950325012207,15.56590757369995,15.67479860305786,15.47376488685608,14.346424789428712
2013-07-12,75.88552289380088,A,16.23458480834961,16.00703582763672,15.773497200012207,15.588861989974976,15.678381328582764,15.498247604370118,14.358389582633972
2013-07-15,76.53376286143694,A,16.39427375793457,16.134784126281737,15.864651298522949,15.62545657157898,15.687268619537354,15.526833772659302,14.371152820587158
2013-07-16,76.88722459237881,A,16.30777359008789,16.2212797164917,15.935178470611572,15.653401136398315,15.691787357330321,15.553367595672608,14.383645153045654
2013-07-17,77.06702973672259,A,16.274507522583008,16.277168655395506,16.00836706161499,15.69897780418396,15.697751598358154,15.576072702407837,14.39619746208191
2013-07-18,77.36336906364448,A,16.46080780029297,16.33438949584961,16.100185680389405,15.773830032348632,15.709156970977784,15.599321603775024,14.410036835670471
2013-07-19,77.44734012384374,A,16.39427375793457,16.3663272857666,16.18668155670166,15.83637318611145,15.717648544311523,15.62124550819397,14.423705158233643
