Date,GRADE,GPS,SNA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,3.9413230419158936,,,,,,
1983-11-22,,,3.956251382827759,,,,,,
1983-11-23,,,3.9114632606506343,,,,,,
1983-11-24,,,3.9114632606506343,,,,,,
1983-11-25,,,3.8965349197387695,3.9234071731567384,,,,,
1983-11-28,,,3.806960105895996,3.8965345859527587,,,,,
1983-11-29,,,3.971181869506836,3.899520683288574,,,,,
1983-11-30,,,3.9413230419158936,3.905492639541626,,,,,
1983-12-01,,,3.926393508911133,3.9084786891937258,,,,,
1983-12-02,,,3.926393508911133,3.9144504070281982,3.918928790092468,,,,
1983-12-05,,,3.8816089630126953,3.929380178451538,3.9129573822021486,,,,
1983-12-06,,,3.866678714752197,3.9084795475006104,3.9040001153945925,,,,
1983-12-07,,,3.8816089630126953,3.8965367317199706,3.9010146856307983,,,,
1983-12-08,,,3.8368194103240967,3.8786219120025636,3.8935503005981444,,,,
1983-12-09,,,3.8218915462493896,3.857721519470215,3.8860859632492066,,,,
1983-12-12,,,3.7323157787323,3.8278628826141357,3.878621530532837,,,,
1983-12-13,,,3.7173855304718018,3.7980042457580567,3.8532418966293336,,,,
1983-12-14,,,3.7323157787323,3.7681456089019774,3.832341170310974,,,,
1983-12-15,,,3.612881660461426,3.7233580589294433,3.8009899854660034,,,,
1983-12-16,,,3.70245623588562,3.6994709968566895,3.7785962581634522,3.8487625241279604,,,
1983-12-19,,,3.7920310497283936,3.7114140510559084,3.769638466835022,3.841297924518585,,,
1983-12-20,,,3.8368194103240967,3.735300827026367,3.766652536392212,3.8353263258934023,,,
1983-12-21,,,3.612881660461426,3.7114140033721923,3.739779806137085,3.8203972458839415,,,
1983-12-22,,,3.70245623588562,3.729328918457031,3.7263434886932374,3.809946894645691,,,
1983-12-23,,,3.62781023979187,3.714399719238281,3.7069353580474855,3.796510660648346,,,
1983-12-26,,,3.62781023979187,3.6815555572509764,3.6964848041534424,3.7875531673431397,,,
1983-12-27,,,3.70245623588562,3.654682922363281,3.694991874694824,3.774116885662079,,,
1983-12-28,,,3.672598838806152,3.6666263580322265,3.6890201807022094,3.760680675506592,,,
1983-12-29,,,3.6875269412994394,3.6636404991149902,3.6964847087860107,3.7487373471260073,,,
1983-12-30,,,3.672598838806152,3.6725982189178468,3.693498969078064,3.736047613620758,,,
1984-01-02,,,3.672598838806152,3.6815559387207033,3.68155574798584,3.725597107410431,,,
1984-01-03,,,3.642739534378052,3.6696125984191896,3.6621477603912354,3.7144001483917237,,,
1984-01-04,,,3.762173652648926,3.687527561187744,3.6770769596099853,3.708428382873535,,,
1984-01-05,,,3.866678714752197,3.723357915878296,3.693499207496643,3.70992134809494,,,
1984-01-06,,,3.8218915462493896,3.7532164573669435,3.712907338142395,3.70992134809494,,,
1984-01-09,,,3.7920310497283936,3.777102899551392,3.7293294191360475,3.712907111644745,,,
1984-01-10,,,3.77710223197937,3.8039754390716554,3.7367940187454223,3.7158929467201234,,,
1984-01-11,,,3.8368194103240967,3.8189045906066896,3.7532160758972166,3.7211181282997132,,,
1984-01-12,,,3.926393508911133,3.8308475494384764,3.777102732658386,3.7367937207221984,,,
1984-01-13,,,3.866678714752197,3.839804983139038,3.7965107202529906,3.7450048446655275,,,
1984-01-16,,,3.9114632606506343,3.8636914253234864,3.820397162437439,3.7509764552116396,,,
1984-01-17,,,3.8816089630126953,3.8845927715301514,3.844284105300903,3.7532159328460692,,,
1984-01-18,,,3.8965349197387695,3.896535873413086,3.857720232009888,3.7673985958099365,,,
1984-01-19,,,3.9114632606506343,3.8935498237609862,3.8621986865997315,3.777848947048187,,,
1984-01-20,,,3.9114632606506343,3.9025067329406737,3.871155858039856,3.7920315980911257,,,
1984-01-23,,,3.8816089630126953,3.896535873413086,3.880113649368286,3.8047215342521667,,,
1984-01-24,,,3.9114632606506343,3.9025067329406733,3.893549752235412,3.8151718854904173,,,
1984-01-25,,,3.8368194103240967,3.8905636310577387,3.893549752235412,3.8233829140663147,,,
1984-01-26,,,3.7323157787323,3.8547341346740724,3.8741419792175287,3.825622355937958,,,
1984-01-27,,,3.5680925846099854,3.7860599994659423,3.8442833662033076,3.8203970432281493,3.8063636207580567,,
1984-01-30,,,3.4635860919952397,3.702455425262451,3.7994956493377687,3.8099464058876036,3.7968088817596435,,
1984-01-31,,,3.538235664367676,3.6278099060058593,3.7651583194732665,3.804721212387085,3.788448567390442,,
1984-02-01,,,3.612881660461426,3.583022356033325,3.7367929935455324,3.79725661277771,3.782476935386658,,
1984-02-02,,,3.553163766860962,3.5471919536590577,3.700963044166565,3.781580865383148,3.7753109455108644,,
1984-02-03,,,3.403871774673462,3.514347791671753,3.650203895568848,3.760679876804352,3.7654576826095583,,
1984-02-06,,,3.314295530319214,3.484489679336548,3.5934725522994997,3.736793100833893,3.7556043910980224,,
1984-02-07,,,3.403871774673462,3.457616901397705,3.5427134037017822,3.7181315779685975,3.744258189201355,,
1984-02-08,,,3.314295530319214,3.3978996753692625,3.490461015701294,3.692005383968353,3.7317176389694215,,
1984-02-09,,,3.3740122318267822,3.3620693683624268,3.454630661010742,3.6643863201141356,3.720670013427734,,
1984-02-10,,,3.523306369781494,3.385956287384033,3.450152039527893,3.6472177028656008,3.7126082706451418,,
1984-02-13,,,3.4635860919952397,3.4158143997192383,3.450152039527893,3.624823844432831,3.7042478132247925,,
1984-02-14,,,3.49344539642334,3.433729124069214,3.4456730127334594,3.605415666103363,3.6967831468582153,,
