Date,GRADE,GPS,TSN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.1590235233306885,,,,,,
1983-11-22,,,2.1590235233306885,,,,,,
1983-11-23,,,2.1590235233306885,,,,,,
1983-11-24,,,2.1590235233306885,,,,,,
1983-11-25,,,2.232210874557495,2.17366099357605,,,,,
1983-11-28,,,2.2688024044036865,2.1956167697906492,,,,,
1983-11-29,,,2.305396795272827,2.224891424179077,,,,,
1983-11-30,,,2.4151782989501958,2.2761223793029783,,,,,
1983-12-01,,,2.305396795272827,2.3053970336914062,,,,,
1983-12-02,,,2.341992139816284,2.327353286743164,2.250507140159607,,,,
1983-12-05,,,2.341992139816284,2.3419912338256834,2.2688040018081663,,,,
1983-12-06,,,2.341992139816284,2.349310302734375,2.2871008634567263,,,,
1983-12-07,,,2.341992139816284,2.3346730709075927,2.3053977251052857,,,,
1983-12-08,,,2.341992139816284,2.341992139816284,2.323694586753845,,,,
1983-12-09,,,2.378584623336792,2.3493106365203857,2.338331961631775,,,,
1983-12-12,,,2.5249578952789307,2.385903787612915,2.3639475107192993,,,,
1983-12-13,,,2.451772451400757,2.4078598499298094,2.3785850763320924,,,,
1983-12-14,,,2.4151782989501958,2.4224970817565916,2.3785850763320924,,,,
1983-12-15,,,2.4151782989501958,2.4371343135833743,2.389563226699829,,,,
1983-12-16,,,2.451772451400757,2.4517718791961673,2.4005412578582765,2.3255241990089415,,,
1983-12-19,,,2.451772451400757,2.4371347904205325,2.4115192890167236,2.340161645412445,,,
1983-12-20,,,2.451772451400757,2.4371347904205325,2.4224973201751707,2.3547990918159485,,,
1983-12-21,,,2.451772451400757,2.4444536209106444,2.4334753513336183,2.369436538219452,,,
1983-12-22,,,2.451772451400757,2.451772451400757,2.4444533824920653,2.3840739846229555,,,
1983-12-23,,,2.451772451400757,2.451772451400757,2.451772165298462,2.3950520634651182,,,
1983-12-26,,,2.451772451400757,2.451772451400757,2.4444536209106444,2.404200565814972,,,
1983-12-27,,,2.4151782989501958,2.4444536209106444,2.4407942056655885,2.4096896409988404,,,
1983-12-28,,,2.4151782989501958,2.437134790420532,2.440794205665589,2.4096896409988404,,,
1983-12-29,,,2.4151782989501958,2.42981595993042,2.440794205665589,2.4151787161827087,,,
1983-12-30,,,2.4151782989501958,2.422497129440308,2.4371347904205325,2.4188380241394043,,,
1984-01-02,,,2.4151782989501958,2.4151782989501958,2.4334753751754765,2.4224973320961,,,
1984-01-03,,,2.341992139816284,2.4005410671234135,2.422497344017029,2.4224973320961,,,
1984-01-04,,,2.341992139816284,2.3859038352966313,2.411519312858582,2.4224973320961,,,
1984-01-05,,,2.305396795272827,2.363947534561157,2.396881747245789,2.420667564868927,,,
1984-01-06,,,2.305396795272827,2.3419912338256834,2.382244181632996,2.417008173465729,,,
1984-01-09,,,2.305396795272827,2.32003493309021,2.367606616020203,2.4060301184654236,,,
1984-01-10,,,2.305396795272827,2.3127158641815186,2.3566284656524656,2.3987113356590273,,,
1984-01-11,,,2.305396795272827,2.305396795272827,2.345650315284729,2.3932222604751585,,,
1984-01-12,,,2.634738683700561,2.371265172958374,2.367606353759766,2.404200279712677,,,
1984-01-13,,,2.561551570892334,2.422496128082275,2.3822436809539793,2.4096892356872557,,,
1984-01-16,,,2.5249578952789307,2.466408348083496,2.393221640586853,2.4133485078811647,,,
1984-01-17,,,2.5249578952789307,2.5103205680847167,2.4115182161331177,2.4170077800750733,,,
1984-01-18,,,2.5249578952789307,2.5542327880859377,2.4298147916793824,2.420667052268982,,,
1984-01-19,,,2.451772451400757,2.5176395416259765,2.4444523572921755,2.420667052268982,,,
1984-01-20,,,2.451772451400757,2.495683717727661,2.459089922904968,2.420667052268982,,,
1984-01-23,,,2.4151782989501958,2.473727798461914,2.470068073272705,2.418837344646454,,,
1984-01-24,,,2.378584623336792,2.4444531440734862,2.4773868560791015,2.417007660865784,,,
1984-01-25,,,2.378584623336792,2.4151784896850588,2.4847056388854982,2.4151779770851136,,,
1984-01-26,,,2.341992139816284,2.393222427368164,2.4554309844970703,2.411518669128418,,,
1984-01-27,,,2.341992139816284,2.3712663650512695,2.4334750413894652,2.4078593611717225,2.380780382156372,,
1984-01-30,,,2.341992139816284,2.3566291332244873,2.4151784658432005,2.404200053215027,2.384439754486084,,
1984-01-31,,,2.305396795272827,2.3419915676116942,2.3932223558425902,2.402370285987854,2.387367219924927,,
1984-02-01,,,2.305396795272827,2.327354001998901,2.37126624584198,2.400540518760681,2.3902946853637697,,
1984-02-02,,,2.2688024044036865,2.3127160549163817,2.352969241142273,2.3987107992172243,2.3924902629852296,,
1984-02-03,,,2.1956162452697754,2.28344087600708,2.3273536205291747,2.3932217717170716,2.391758370399475,,
1984-02-06,,,2.232210874557495,2.2614846229553223,2.309056878089905,2.3895624756813048,2.391026539802551,,
1984-02-07,,,2.232210874557495,2.2468474388122557,2.294419503211975,2.3859031796455383,2.3895628213882447,,
1984-02-08,,,2.232210874557495,2.2322102546691895,2.2797821283340456,2.382243883609772,2.3859034729003907,,
1984-02-09,,,2.232210874557495,2.224891948699951,2.2688040018081663,2.3621174931526183,2.384439754486084,,
1984-02-10,,,2.1956162452697754,2.224891948699951,2.2541664123535154,2.3438207268714906,2.381512236595154,,
1984-02-13,,,2.1956162452697754,2.2175730228424073,2.2395288228988646,2.3273536443710325,2.3785847187042237,,
1984-02-14,,,2.1590235233306885,2.202935552597046,2.224891495704651,2.3090569257736204,2.374925346374512,,
