Date,GRADE,GPS,ITW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.9027694463729858,,,,,,
1983-11-22,,,0.904745876789093,,,,,,
1983-11-23,,,0.9067211747169496,,,,,,
1983-11-24,,,0.9067211747169496,,,,,,
1983-11-25,,,0.9067211747169496,0.9055357694625854,,,,,
1983-11-28,,,0.904745876789093,0.9059310555458069,,,,,
1983-11-29,,,0.9007949829101562,0.9051408767700195,,,,,
1983-11-30,,,0.9007949829101562,0.9039556384086609,,,,,
1983-12-01,,,0.9086965322494508,0.9043507099151611,,,,,
1983-12-02,,,0.91659814119339,0.9063261032104493,0.9059309363365173,,,,
1983-12-05,,,0.9086965322494508,0.9071162343025208,0.9065236449241638,,,,
1983-12-06,,,0.904745876789093,0.9079064130783081,0.9065236449241638,,,,
1983-12-07,,,0.904745876789093,0.9086965918540955,0.9063261151313782,,,,
1983-12-08,,,0.9086965322494508,0.9086965918540955,0.9065236508846283,,,,
1983-12-09,,,0.9007949829101562,0.9055359601974488,0.905931031703949,,,,
1983-12-12,,,0.9007949829101562,0.9039556503295898,0.9055359423160553,,,,
1983-12-13,,,0.8889419436454773,0.9007948637008667,0.9043506383895874,,,,
1983-12-14,,,0.884990930557251,0.8968438744544983,0.9027702331542968,,,,
1983-12-15,,,0.8770896196365356,0.8905224919319152,0.8996095418930053,,,,
1983-12-16,,,0.8731396198272705,0.8849914193153381,0.8952636897563935,0.9005973130464554,,,
1983-12-19,,,0.8454830646514893,0.8739290356636047,0.8889423429965972,0.8977329939603805,,,
1983-12-20,,,0.8573356866836548,0.8676077842712402,0.8842013239860534,0.8953624844551087,,,
1983-12-21,,,0.8652374148368835,0.8636570811271668,0.8802504777908325,0.8932882964611053,,,
1983-12-22,,,0.8652374148368835,0.8612866401672363,0.8759045660495758,0.891214108467102,,,
1983-12-23,,,0.8573356866836548,0.8581258535385132,0.8715586364269257,0.8887448340654374,,,
1983-12-26,,,0.8573356866836548,0.8604963779449463,0.8672127068042755,0.8863743245601654,,,
1983-12-27,,,0.8593113422393799,0.8608915090560914,0.8642496466636658,0.8843001425266266,,,
1983-12-28,,,0.8435073494911194,0.8565454959869385,0.8601012885570526,0.8814357608556748,,,
1983-12-29,,,0.8514094352722168,0.8537799000740052,0.8575332701206207,0.878571406006813,,,
1983-12-30,,,0.8632616996765137,0.8549651026725769,0.856545478105545,0.8759045839309693,,,
1984-01-02,,,0.8632616996765137,0.8561503052711487,0.8583233416080475,0.8736328423023224,,,
1984-01-03,,,0.8810405731201172,0.8604961514472962,0.8606938302516938,0.8724475771188736,,,
1984-01-04,,,0.8731396198272705,0.8664226055145263,0.8614840507507324,0.8708672642707824,,,
