Date,GRADE,GPS,CI,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.960082411766052,,,,,,
1983-11-22,,,2.0056655406951904,,,,,,
1983-11-23,,,2.022758722305298,,,,,,
1983-11-24,,,2.022758722305298,,,,,,
1983-11-25,,,2.0398523807525635,2.01022355556488,,,,,
1983-11-28,,,2.034153938293457,2.0250378608703614,,,,,
1983-11-29,,,2.04555082321167,2.033014917373657,,,,,
1983-11-30,,,2.051248788833618,2.0387129306793215,,,,,
1983-12-01,,,2.1025304794311523,2.054667282104492,,,,,
1983-12-02,,,2.0854363441467285,2.0637840747833254,2.037003815174103,,,,
1983-12-05,,,2.108309507369995,2.078615188598633,2.051826524734497,,,,
1983-12-06,,,2.102534770965576,2.090011978149414,2.0615134477615356,,,,
1983-12-07,,,2.108309507369995,2.1014241218566894,2.070068526268005,,,,
1983-12-08,,,2.090981721878052,2.0991143703460695,2.0768908262252808,,,,
1983-12-09,,,2.108309507369995,2.1036890029907225,2.083736538887024,,,,
1983-12-12,,,2.114086866378784,2.1048444747924804,2.091729831695557,,,,
1983-12-13,,,2.0967578887939453,2.103689098358154,2.096850538253784,,,,
1983-12-14,,,2.073652029037476,2.0967576026916506,2.0990908622741697,,,,
1983-12-15,,,2.05054783821106,2.0886708259582525,2.0938925981521606,,,,
1983-12-16,,,2.0101146697998047,2.0690318584442142,2.0863604307174684,2.0616821229457853,,,
1983-12-19,,,2.015889406204224,2.049392366409302,2.077118420600891,2.064472472667694,,,
1983-12-20,,,2.0101146697998047,2.032063722610474,2.067876410484314,2.0646949291229246,,,
1983-12-21,,,1.9870102405548096,2.0147353649139403,2.0557464838027952,2.0629075050354,,,
1983-12-22,,,2.015889406204224,2.0078036785125732,2.048237252235413,2.0625640392303466,,,
1983-12-23,,,2.033220052719116,2.0124247550964354,2.0407283067703252,2.062232422828674,,,
1983-12-26,,,2.033220052719116,2.015890884399414,2.0326416254043584,2.062185728549957,,,
1983-12-27,,,2.033220052719116,2.0205119609832765,2.0262878417968753,2.0615691900253297,,,
1983-12-28,,,2.033220052719116,2.0297539234161377,2.0222446441650392,2.0606677532196045,,,
1983-12-29,,,2.033220052719116,2.033220052719116,2.020511865615845,2.057202231884003,,,
1983-12-30,,,2.02166748046875,2.030909538269043,2.0216671466827396,2.0540137887001038,,,
1984-01-02,,,2.02166748046875,2.0285990238189697,2.022244954109192,2.0496816873550414,,,
