Date,GRADE,GPS,TXN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.427559494972229,,,,,,
1983-11-22,,,1.4012693166732788,,,,,,
1983-11-23,,,1.4117858409881592,,,,,,
1983-11-24,,,1.4117858409881592,,,,,,
1983-11-25,,,1.4091553688049316,1.4123111724853517,,,,,
1983-11-28,,,1.4196723699569702,1.4107337474822998,,,,,
1983-11-29,,,1.4420194625854492,1.418883776664734,,,,,
1983-11-30,,,1.4091553688049316,1.4183576822280883,,,,,
1983-12-01,,,1.4223016500473022,1.420460844039917,,,,,
1983-12-02,,,1.430187702178955,1.4246673107147216,1.4184892416000365,,,,
1983-12-05,,,1.4328171014785769,1.427296257019043,1.4190150022506713,,,,
1983-12-06,,,1.4170434474945068,1.4223010540008545,1.4205924153327942,,,,
1983-12-07,,,1.4078408479690552,1.4220381498336792,1.4201979160308837,,,,
1983-12-08,,,1.4091553688049316,1.4194088935852052,1.419934868812561,,,,
1983-12-09,,,1.4038984775543213,1.4141510486602784,1.4194091796875,,,,
1983-12-12,,,1.4223016500473022,1.4120479583740235,1.4196721076965333,,,,
1983-12-13,,,1.428873896598816,1.4144140481948853,1.4183575510978699,,,,
1983-12-14,,,1.418357253074646,1.4165173292160034,1.4192777395248413,,,,
1983-12-15,,,1.4223016500473022,1.4191465854644776,1.4192777395248413,,,,
1983-12-16,,,1.4328171014785769,1.4249303102493287,1.4195406794548036,1.41901496052742,,,
1983-12-19,,,1.4367612600326538,1.427822232246399,1.4199350953102112,1.4194750487804413,,,
1983-12-20,,,1.438074827194214,1.4296624183654787,1.422038233280182,1.421315324306488,,,
1983-12-21,,,1.4643661975860596,1.4388642072677613,1.4276907682418822,1.423944342136383,,,
1983-12-22,,,1.4630513191223145,1.447014141082764,1.4330803632736206,1.4265076160430907,,,
1983-12-23,,,1.4656802415847778,1.4535867691040039,1.4392585396766662,1.429333859682083,,,
1983-12-26,,,1.4656802415847778,1.4593705654144287,1.443596398830414,1.4316342532634736,,,
1983-12-27,,,1.4577640295028689,1.4633084058761596,1.446485412120819,1.4324214816093446,,,
1983-12-28,,,1.453806757926941,1.461196517944336,1.4500303626060487,1.4346540510654449,,,
1983-12-29,,,1.4630416631698608,1.4611945867538452,1.4541043639183044,1.436691051721573,,,
1983-12-30,,,1.4630416631698608,1.460666871070862,1.4571268200874328,1.4383337497711182,,,
1984-01-02,,,1.4630416631698608,1.4601391553878784,1.4597548604011537,1.4398449778556823,,,
1984-01-03,,,1.4762346744537354,1.4638332843780517,1.4635708451271057,1.4428045392036437,,,
1984-01-04,,,1.496022343635559,1.4722764015197753,1.4667364597320556,1.447213613986969,,,
1984-01-05,,,1.510534644126892,1.4817749977111816,1.4714847922325134,1.452282577753067,,,
