Date,GRADE,GPS,WBD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-07-08,,,7.818089008331299,,,,,,
2005-07-11,,,7.843637943267822,,,,,,
2005-07-12,,,8.252427101135254,,,,,,
2005-07-13,,,8.12468147277832,,,,,,
2005-07-14,,,8.12468147277832,8.032703399658203,,,,,
2005-07-15,,,8.022482872009277,8.073582172393799,,,,,
2005-07-18,,,7.613694190979004,8.027593421936036,,,,,
2005-07-19,,,7.634133815765381,7.90393476486206,,,,,
2005-07-20,,,7.588144779205322,7.796627426147461,,,,,
2005-07-21,,,7.710782051086426,7.713847541809082,7.873275470733643,,,,
2005-07-22,,,7.6596832275390625,7.641287612915039,7.857434892654419,,,,
2005-07-25,,,7.179356098175049,7.554419994354248,7.791006708145142,,,,
2005-07-26,,,7.153807163238525,7.458354663848877,7.681144714355469,,,,
2005-07-27,,,7.153807163238525,7.371487140655518,7.584057283401489,,,,
2005-07-28,,,7.281552791595459,7.285641288757324,7.499744415283203,,,,
2005-07-29,,,7.291772842407227,7.212059211730957,7.426673412322998,,,,
2005-08-01,,,7.174245834350586,7.2110371589660645,7.382728576660156,,,,
2005-08-02,,,7.143587112426758,7.208993148803711,7.333673906326294,,,,
2005-08-03,,,7.271334171295166,7.232498550415039,7.3019928455352785,,,,
2005-08-04,,,7.235565185546875,7.223301029205322,7.254471158981323,7.563873314857483,,,
2005-08-05,,,7.204905033111572,7.205927467346191,7.208993339538575,7.533214116096497,,,
2005-08-08,,,7.179356098175049,7.206949520111084,7.208993339538575,7.500000023841858,,,
2005-08-09,,,7.138476848602295,7.205927467346191,7.2074603080749515,7.44430251121521,,,
2005-08-10,,,7.210014820098877,7.193663597106934,7.2130810737609865,7.398569178581238,,,
2005-08-11,,,7.455288887023926,7.237608337402344,7.230454683303833,7.365099549293518,,,
2005-08-12,,,7.506387233734131,7.297904777526855,7.251916122436524,7.33929476737976,,,
2005-08-15,,,7.736330986022949,7.409299755096436,7.308124637603759,7.345426607131958,,,
2005-08-16,,,7.766990184783935,7.535002422332764,7.370464944839478,7.352069425582886,,,
2005-08-17,,,7.71589183807373,7.636177825927734,7.414920711517334,7.358456778526306,,,
2005-08-18,,,7.675013065338135,7.680122661590576,7.45886549949646,7.356668329238891,,,
2005-08-19,,,7.77209997177124,7.733265209197998,7.515584993362427,7.3622891664505,,,
2005-08-22,,,7.920286178588867,7.770056247711182,7.589678001403809,7.399335670471191,,,
2005-08-23,,,8.012264251708984,7.819111061096192,7.677056741714478,7.442258524894714,,,
2005-08-24,,,8.088912010192871,7.89371509552002,7.764946460723877,7.489013767242431,,,
2005-08-25,,,8.048032760620117,7.968319034576416,7.824220848083496,7.527337765693664,,,
2005-08-26,,,7.961164951324463,8.006132030487061,7.869698619842529,7.560807371139527,,,
2005-08-29,,,7.8589677810668945,7.993868350982666,7.881962299346924,7.595043468475342,,,
2005-08-30,,,7.828309059143066,7.957077312469482,7.888094186782837,7.629279565811157,,,
2005-08-31,,,7.736330986022949,7.886561107635498,7.890138101577759,7.652529406547546,,,
2005-09-01,,,7.746551036834717,7.826264762878418,7.897291898727417,7.678078699111938,,,
2005-09-02,,,7.741440773010254,7.7823199272155765,7.894225978851319,7.704905486106872,,,
2005-09-05,,,7.741440773010254,7.758814525604248,7.876341438293457,7.733009719848633,,,
2005-09-06,,,7.77209997177124,7.747572708129883,7.852325010299682,7.76469087600708,,,
2005-09-07,,,7.777210235595703,7.755748558044433,7.821154832839966,7.793050646781921,,,
2005-09-08,,,7.71589183807373,7.749616718292236,7.787940740585327,7.806080794334411,,,
2005-09-09,,,7.664793014526367,7.734287166595459,7.758303546905518,7.814001083374023,,,
2005-09-12,,,7.649463176727295,7.715891647338867,7.737353086471558,7.809657692909241,,,
2005-09-13,,,7.583034992218018,7.678078651428223,7.712825679779053,7.800459933280945,,,
2005-09-14,,,7.623913764953613,7.647419357299805,7.701583957672119,7.795861029624939,,,
2005-09-15,,,7.664793014526367,7.637199592590332,7.6934081554412845,7.795350027084351,7.6354624366760255,,
2005-09-16,,,7.664793014526367,7.637199592590332,7.685743379592895,7.789984679222107,7.632396516799926,,
2005-09-19,,,7.690341949462891,7.645375347137451,7.680633497238159,7.7784874677658085,7.629330596923828,,
2005-09-20,,,7.685232162475586,7.665814781188965,7.671946716308594,7.762135863304138,7.617986698150634,,
2005-09-21,,,7.557486057281494,7.652529239654541,7.649974298477173,7.735564565658569,7.6066427898406985,,
2005-09-22,,,7.5114970207214355,7.621870040893555,7.629534816741943,7.708737778663635,7.594379100799561,,
2005-09-23,,,7.475728034973144,7.58405704498291,7.610628318786621,7.684465932846069,7.583444004058838,,
2005-09-26,,,7.450179100036621,7.536024475097657,7.590699911117554,7.664026498794556,7.58017370223999,,
2005-09-27,,,7.445068836212158,7.487991809844971,7.576903295516968,7.64486448764801,7.576392402648926,,
