Date,GRADE,GPS,IQV,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-05-09,,,42.11000061035156,,,,,,
2013-05-10,,,42.38999938964844,,,,,,
2013-05-13,,,43.31999969482422,,,,,,
2013-05-14,,,44.43000030517578,,,,,,
2013-05-15,,,45.5,43.55,,,,,
2013-05-16,,,45.84999847412109,44.29799957275391,,,,,
2013-05-17,,,45.52000045776367,44.92399978637695,,,,,
2013-05-20,,,45.380001068115234,45.33600006103516,,,,,
2013-05-21,,,45.04999923706055,45.45999984741211,,,,,
2013-05-22,,,44.650001525878906,45.29000015258789,44.420000076293945,,,,
2013-05-23,,,45.0,45.12000045776367,44.70900001525879,,,,
2013-05-24,,,45.02999877929688,45.02200012207031,44.97299995422363,,,,
2013-05-27,,,45.02999877929688,44.95199966430664,45.143999862670896,,,,
2013-05-28,,,45.43000030517578,45.02799987792969,45.2439998626709,,,,
2013-05-29,,,44.470001220703125,44.991999816894534,45.140999984741214,,,,
2013-05-30,,,44.25,44.84199981689453,44.981000137329104,,,,
2013-05-31,,,44.040000915527344,44.64400024414063,44.83300018310547,,,,
2013-06-03,,,44.58000183105469,44.55400085449219,44.753000259399414,,,,
2013-06-04,,,43.18999862670898,44.10600051879883,44.567000198364255,,,,
2013-06-05,,,42.84999847412109,43.78199996948242,44.386999893188474,44.40349998474121,,,
2013-06-06,,,43.22999954223633,43.577999877929685,44.20999984741211,44.45949993133545,,,
2013-06-07,,,42.970001220703125,43.363999938964845,44.00400009155273,44.48850002288818,,,
2013-06-10,,,43.63999938964844,43.17599945068359,43.86500015258789,44.504500007629396,,,
2013-06-11,,,43.95000076293945,43.327999877929685,43.71700019836426,44.480500030517575,,,
2013-06-12,,,43.0,43.35800018310547,43.570000076293944,44.355500030517575,,,
2013-06-13,,,42.900001525878906,43.29200057983398,43.43500022888183,44.20800018310547,,,
2013-06-14,,,43.09000015258789,43.316000366210936,43.34000015258789,44.08650016784668,,,
2013-06-17,,,43.52999877929688,43.294000244140626,43.23499984741211,43.99400005340576,,,
2013-06-18,,,43.88999938964844,43.28199996948242,43.304999923706056,43.93600006103516,,,
2013-06-19,,,43.790000915527344,43.44000015258789,43.39900016784668,43.89300003051758,,,
2013-06-20,,,43.34000015258789,43.52799987792969,43.410000228881835,43.810000038146974,,,
2013-06-21,,,44.18999862670898,43.747999572753905,43.53199996948242,43.76800003051758,,,
2013-06-24,,,43.31999969482422,43.705999755859374,43.5,43.68250007629395,,,
2013-06-25,,,43.0,43.52799987792969,43.40499992370606,43.56100006103516,,,
2013-06-26,,,42.02000045776367,43.17399978637695,43.30699996948242,43.438500022888185,,,
2013-06-27,,,42.33000183105469,42.97200012207031,43.25,43.34250011444092,,,
2013-06-28,,,42.560001373291016,42.646000671386716,43.197000122070314,43.2685001373291,,,
2013-07-01,,,42.95000076293945,42.572000885009764,43.13900032043457,43.18700008392334,,,
2013-07-02,,,43.060001373291016,42.58400115966797,43.056000518798825,43.180500221252444,,,
2013-07-03,,,43.619998931884766,42.90400085449219,43.03900032043457,43.219000244140624,,,
2013-07-04,,,43.619998931884766,43.162000274658205,43.067000198364255,43.23850021362305,,,
2013-07-05,,,43.2400016784668,43.29800033569336,42.97200050354004,43.25200023651123,,,
2013-07-08,,,43.93000030517578,43.49400024414062,43.0330005645752,43.266500282287595,,,
2013-07-09,,,43.68999862670898,43.619999694824216,43.1020004272461,43.25350017547608,,,
2013-07-10,,,43.61000061035156,43.61800003051758,43.26100044250488,43.28400020599365,,,
2013-07-11,,,43.27000045776367,43.54800033569336,43.35500030517578,43.30250015258789,,,
2013-07-12,,,43.5,43.6,43.44900016784668,43.3230001449585,,,
2013-07-15,,,43.650001525878906,43.544000244140626,43.51900024414063,43.329000282287595,,,
2013-07-16,,,43.7400016784668,43.55400085449219,43.5870002746582,43.32150039672852,,,
2013-07-17,,,43.83000183105469,43.598001098632814,43.60800056457519,43.32350044250488,43.770600204467776,,
2013-07-18,,,44.040000915527344,43.752001190185545,43.650000762939456,43.358500480651855,43.80920021057129,,
2013-07-19,,,44.06999969482422,43.86600112915039,43.73300056457519,43.35250053405762,43.8428002166748,,
2013-07-22,,,44.56999969482422,44.050000762939455,43.79700050354004,43.41500053405762,43.8678002166748,,
2013-07-23,,,44.31999969482422,44.16600036621094,43.86000061035156,43.48100051879883,43.865600204467775,,
2013-07-24,,,43.52000045776367,44.104000091552734,43.85100059509277,43.556000518798825,43.82600021362305,,
2013-07-25,,,43.47999954223633,43.991999816894534,43.872000503540036,43.61350040435791,43.778600234985355,,
2013-07-26,,,43.27000045776367,43.831999969482425,43.84900054931641,43.649000358581546,43.73360023498535,,
2013-07-29,,,43.470001220703125,43.6120002746582,43.83100051879883,43.67500038146973,43.69540023803711,,
2013-07-30,,,43.38999938964844,43.42600021362305,43.79600028991699,43.6915002822876,43.66220024108887,,
2013-07-31,,,44.84999847412109,43.69199981689452,43.897999954223636,43.753000259399414,43.666200180053714,,
2013-08-01,,,46.290000915527344,44.25400009155273,44.12299995422363,43.88650035858154,43.692000198364255,,
2013-08-02,,,45.220001220703125,44.64400024414063,44.238000106811526,43.98550033569336,43.69580024719238,,
2013-08-05,,,45.33000183105469,45.01600036621094,44.31400032043457,44.0555004119873,43.70180030822754,,
2013-08-06,,,45.95000076293945,45.52800064086914,44.4770004272461,44.16850051879883,43.71220031738281,,
2013-08-07,,,45.540000915527344,45.66600112915039,44.67900047302246,44.26500053405762,43.7336003112793,,
