Date,GRADE,GPS,JBHT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-22,,,1.081517457962036,,,,,,
1983-11-23,,,1.0961322784423828,,,,,,
1983-11-24,,,1.0961322784423828,,,,,,
1983-11-25,,,1.139977216720581,,,,,,
1983-11-28,,,1.0669015645980835,1.0961321592330933,,,,,
1983-11-29,,,1.0961322784423828,1.0990551233291626,,,,,
1983-11-30,,,1.0961322784423828,1.0990551233291626,,,,,
1983-12-01,,,1.0961322784423828,1.0990551233291626,,,,,
1983-12-02,,,1.081517457962036,1.0873631715774537,,,,,
1983-12-05,,,1.0669015645980835,1.0873631715774537,1.0917476654052733,,,,
1983-12-06,,,1.0522871017456057,1.0785941362380982,1.0888246297836304,,,,
1983-12-07,,,1.0522871017456057,1.0698251008987427,1.0844401121139526,,,,
1983-12-08,,,1.0669015645980835,1.0639789581298829,1.0815170407295227,,,,
1983-12-09,,,1.0669015645980835,1.0610557794570923,1.0742094755172729,,,,
1983-12-12,,,1.0669015645980835,1.0610557794570923,1.0742094755172729,,,,
1983-12-13,,,1.081517457962036,1.0669018507003785,1.0727479934692383,,,,
1983-12-14,,,1.081517457962036,1.0727479219436646,1.0712865114212036,,,,
1983-12-15,,,1.081517457962036,1.075671100616455,1.069825029373169,,,,
1983-12-16,,,1.081517457962036,1.0785942792892453,1.069825029373169,,,,
1983-12-19,,,1.081517457962036,1.081517457962036,1.071286618709564,1.0815171420574188,,,
1983-12-20,,,1.0961322784423828,1.0844404220581052,1.0756711363792417,1.0822478830814362,,,
1983-12-21,,,1.0961322784423828,1.0873633861541747,1.0800556540489195,1.0822478830814362,,,
1983-12-22,,,1.0961322784423828,1.0902863502502442,1.0829787254333494,1.0822478830814362,,,
1983-12-23,,,1.1107468605041504,1.096132230758667,1.087363255023956,1.0807863652706147,,,
1983-12-26,,,1.1107468605041504,1.1019781112670899,1.091747784614563,1.0829786300659179,,,
1983-12-27,,,1.1253619194030762,1.1078240394592285,1.0961322307586667,1.0844401121139526,,,
1983-12-28,,,1.1253619194030762,1.1136699676513673,1.1005166769027708,1.0859015941619874,,,
1983-12-29,,,1.0961322784423828,1.1136699676513673,1.1019781589508055,1.0859015941619874,,,
1983-12-30,,,1.1107468605041504,1.1136699676513673,1.104901099205017,1.087363064289093,,,
1984-01-02,,,1.1107468605041504,1.1136699676513673,1.1078240394592285,1.0895553290843965,,,
1984-01-03,,,1.1253619194030762,1.1136699676513673,1.1107470035552978,1.0932090699672699,,,
1984-01-04,,,1.1107468605041504,1.1107469558715821,1.1122084617614747,1.0961320579051972,,,
1984-01-05,,,1.1253619194030762,1.1165928840637207,1.115131425857544,1.0990550756454467,,,
1984-01-06,,,1.1692074537277222,1.128285002708435,1.120977485179901,1.1041703701019288,,,
1984-01-09,,,1.1545920372009275,1.1370540380477905,1.1253620028495788,1.1085548937320708,,,
1984-01-10,,,1.1692074537277222,1.1458231449127196,1.1297465562820435,1.1129393935203553,,,
1984-01-11,,,1.1692074537277222,1.1575152635574342,1.1341311097145081,1.1173238933086396,,,
