Date,GRADE,GPS,RTX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.022684931755066,,,,,,
1983-11-22,,,1.0356541872024536,,,,,,
1983-11-23,,,1.0319478511810305,,,,,,
1983-11-24,,,1.0319478511810305,,,,,,
1983-11-25,,,1.0541809797286987,1.0352831602096557,,,,,
1983-11-28,,,1.050475835800171,1.0408413410186768,,,,,
1983-11-29,,,1.0652973651885986,1.0467699766159058,,,,,
1983-11-30,,,1.0782654285430908,1.0560334920883179,,,,,
1983-12-01,,,1.0782654285430908,1.06529700756073,,,,,
1983-12-02,,,1.0745606422424316,1.0693729400634766,1.0523280501365662,,,,
1983-12-05,,,1.0745606422424316,1.0741899013519287,1.0575156211853027,,,,
1983-12-06,,,1.0615911483764648,1.073448657989502,1.0601093173027039,,,,
1983-12-07,,,1.0782654285430908,1.073448657989502,1.06474107503891,,,,
1983-12-08,,,1.085676193237305,1.0749308109283449,1.0701139092445373,,,,
1983-12-09,,,1.0671498775482178,1.073448657989502,1.0714107990264892,,,,
1983-12-12,,,1.0708552598953247,1.0727075815200806,1.0734487414360045,,,,
1983-12-13,,,1.0671498775482178,1.0738193273544312,1.0736339926719665,,,,
1983-12-14,,,1.0560333728790283,1.0693729162216186,1.0714107871055603,,,,
1983-12-15,,,1.0449172258377075,1.0612211227416992,1.068075966835022,,,,
1983-12-16,,,1.050475835800171,1.0578863143920898,1.065667486190796,1.058997768163681,,,
1983-12-19,,,1.0541809797286987,1.0545514583587647,1.0636295199394226,1.0605725705623628,,,
1983-12-20,,,1.048622727394104,1.050846028327942,1.0623326778411866,1.061220997571945,,,
1983-12-21,,,1.0449172258377075,1.0486227989196777,1.0589978575706482,1.061869466304779,,,
1983-12-22,,,1.0541809797286987,1.050475549697876,1.0558483362197877,1.0629811227321624,,,
1983-12-23,,,1.0690021514892578,1.0541808128356933,1.0560335636138916,1.0637221813201905,,,
1983-12-26,,,1.0690021514892578,1.0571450471878052,1.0558482527732849,1.0646484971046448,,,
1983-12-27,,,1.0819708108901978,1.0638146638870238,1.057330346107483,1.0654821693897247,,,
1983-12-28,,,1.083823800086975,1.0715959787368774,1.0601093888282775,1.065760087966919,,,
1983-12-29,,,1.083823800086975,1.0775245428085327,1.0640000462532044,1.066038006544113,,,
1983-12-30,,,1.0745606422424316,1.0786362409591674,1.0664085268974304,1.066038006544113,,,
1984-01-02,,,1.0745606422424316,1.0797479391098022,1.0684464931488038,1.066038006544113,,,
1984-01-03,,,1.0671498775482178,1.0767837524414063,1.070299208164215,1.0663159430027007,,,
1984-01-04,,,1.08011794090271,1.0760425806045533,1.0738192796707153,1.0664085686206817,,,
1984-01-05,,,1.1004987955093384,1.079377579689026,1.0784510612487792,1.0671496987342834,,,
1984-01-06,,,1.085676193237305,1.0816006898880004,1.080118465423584,1.0680760145187378,,,
1984-01-09,,,1.0745606422424316,1.0816006898880004,1.0806743144989013,1.0682612836360932,,,
1984-01-10,,,1.0597385168075562,1.0801184177398682,1.0784510850906373,1.06789071559906,,,
1984-01-11,,,1.0615911483764648,1.076413059234619,1.0762278199195863,1.0681686043739318,,,
1984-01-12,,,1.0819708108901978,1.072707462310791,1.0760425209999085,1.0700212836265564,,,
1984-01-13,,,1.0782654285430908,1.0712253093719482,1.0764129996299743,1.0714107632637024,,,
1984-01-16,,,1.0708552598953247,1.0704842329025268,1.0760424613952637,1.0722444772720336,,,
1984-01-17,,,1.085676193237305,1.0756717681884767,1.0778950929641726,1.0740971505641936,,,
1984-01-18,,,1.085676193237305,1.0804887771606446,1.078450918197632,1.0761350989341736,,,
1984-01-19,,,1.0782654285430908,1.079747700691223,1.0762275815010072,1.0773393213748932,,,
1984-01-20,,,1.0597385168075562,1.0760423183441161,1.0736338138580321,1.0768761396408082,,,
1984-01-23,,,1.0449172258377075,1.0708547115325928,1.0706694722175598,1.0756718933582305,,,
1984-01-24,,,1.048622727394104,1.0634440183639526,1.0695578932762146,1.074004489183426,,,
1984-01-25,,,1.041212558746338,1.0545512914657593,1.0675200343132019,1.071873927116394,,,
1984-01-26,,,1.0263904333114624,1.0441762924194335,1.0619619965553284,1.0690022587776185,,,
1984-01-27,,,1.0189803838729858,1.0360246658325196,1.0560334920883179,1.066223245859146,1.063370110988617,,
1984-01-30,,,1.0300955772399902,1.033060336112976,1.0519575238227845,1.063999992609024,1.0635183238983155,,
1984-01-31,,,1.0263904333114624,1.0286138772964477,1.0460289478302003,1.0619620203971862,1.0633330488204955,,
1984-02-01,,,1.020832657814026,1.0245378971099854,1.0395445942878723,1.0589977562427522,1.0631107449531556,,
1984-02-02,,,0.985631227493286,1.01638605594635,1.030281174182892,1.0532543778419494,1.0621844124794007,,
1984-02-03,,,0.9800733923912048,1.0086046576499939,1.0223146617412566,1.0479742377996444,1.0607022607326508,,
1984-02-06,,,0.9911893606185912,1.0008234143257142,1.016941875219345,1.0438056737184525,1.0595165312290191,,
1984-02-07,,,0.9893370270729064,0.9934127330780029,1.0110133051872254,1.04028559923172,1.0579973244667054,,
1984-02-08,,,0.9541357755661012,0.980073356628418,1.0023056268692017,1.0349128305912019,1.0555147314071656,,
1984-02-09,,,0.9541357755661012,0.9737742662429809,0.9950801610946656,1.028521078824997,1.0530321383476258,,
1984-02-10,,,0.957841157913208,0.9693278193473815,0.9889662384986877,1.022499865293503,1.0506977486610412,,
1984-02-13,,,0.950430393218994,0.9611760258674622,0.9809997200965881,1.0164786219596862,1.0482151436805724,,
