Date,GRADE,GPS,NCLH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-01-18,,,24.790000915527344,,,,,,
2013-01-21,,,24.790000915527344,,,,,,
2013-01-22,,,26.950000762939453,,,,,,
2013-01-23,,,27.489999771118164,,,,,,
2013-01-24,,,27.350000381469727,26.274000549316405,,,,,
2013-01-25,,,27.350000381469727,26.786000442504882,,,,,
2013-01-28,,,27.76000022888184,27.38000030517578,,,,,
2013-01-29,,,27.11000061035156,27.412000274658205,,,,,
2013-01-30,,,26.290000915527344,27.17200050354004,,,,,
2013-01-31,,,26.3700008392334,26.976000595092774,26.62500057220459,,,,
2013-02-01,,,27.649999618530277,27.036000442504882,26.911000442504882,,,,
2013-02-04,,,28.40999984741211,27.166000366210938,27.27300033569336,,,,
2013-02-05,,,28.540000915527344,27.452000427246094,27.432000350952148,,,,
2013-02-06,,,27.979999542236328,27.79000015258789,27.481000328063963,,,,
2013-02-07,,,27.549999237060547,28.02599983215332,27.501000213623048,,,,
2013-02-08,,,27.90999984741211,28.077999877929688,27.557000160217285,,,,
2013-02-11,,,27.68000030517578,27.931999969482423,27.54900016784668,,,,
2013-02-12,,,28.31999969482422,27.887999725341796,27.670000076293945,,,,
2013-02-13,,,28.920000076293945,28.07599983215332,27.932999992370604,,,,
2013-02-14,,,29.25,28.415999984741212,28.220999908447265,27.423000240325926,,,
2013-02-15,,,30.270000457763672,28.888000106811525,28.482999992370605,27.697000217437743,,,
2013-02-18,,,30.270000457763672,29.4060001373291,28.66900005340576,27.97100019454956,,,
2013-02-19,,,31.190000534057617,29.980000305175782,28.93400001525879,28.18300018310547,,,
2013-02-20,,,30.799999237060547,30.3560001373291,29.21599998474121,28.348500156402586,,,
2013-02-21,,,30.46999931335449,30.6,29.507999992370607,28.504500102996825,,,
2013-02-22,,,29.989999771118164,30.543999862670898,29.71599998474121,28.636500072479247,,,
2013-02-25,,,30.780000686645508,30.645999908447266,30.026000022888184,28.78750009536743,,,
2013-02-26,,,30.209999084472656,30.449999618530274,30.214999961853028,28.942500019073485,,,
2013-02-27,,,30.26000022888184,30.341999816894532,30.348999977111816,29.14099998474121,,,
2013-02-28,,,30.979999542236328,30.4439998626709,30.52199993133545,29.371499919891356,,,
2013-03-01,,,30.989999771118164,30.6439998626709,30.5939998626709,29.538499927520753,,,
2013-03-04,,,30.450000762939453,30.577999877929688,30.611999893188475,29.640499973297118,,,
2013-03-05,,,30.030000686645508,30.542000198364256,30.495999908447267,29.714999961853028,,,
2013-03-06,,,30.020000457763672,30.494000244140626,30.41800003051758,29.817000007629396,,,
2013-03-07,,,30.290000915527344,30.35600051879883,30.400000190734865,29.954000091552736,,,
2013-03-08,,,30.299999237060547,30.218000411987305,30.4310001373291,30.073500061035155,,,
2013-03-11,,,30.65999984741211,30.260000228881836,30.41900005340576,30.222500038146972,,,
2013-03-12,,,30.850000381469727,30.42400016784668,30.483000183105467,30.34900007247925,,,
2013-03-13,,,30.780000686645508,30.576000213623047,30.535000228881835,30.442000102996825,,,
2013-03-14,,,30.0,30.518000030517577,30.437000274658203,30.479500102996827,,,
2013-03-15,,,29.81999969482422,30.422000122070312,30.32000026702881,30.457000064849854,,,
2013-03-18,,,30.290000915527344,30.34800033569336,30.304000282287596,30.458000087738036,,,
2013-03-19,,,30.26000022888184,30.230000305175782,30.327000236511232,30.41150007247925,,,
2013-03-20,,,30.5,30.17400016784668,30.375000190734863,30.39650011062622,,,
2013-03-21,,,30.030000686645508,30.18000030517578,30.34900016784668,30.37450017929077,,,
2013-03-22,,,30.18000030517578,30.252000427246095,30.3370002746582,30.38400020599365,,,
