Date,GRADE,GPS,ODFL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-08-11,73.07511452141271,P,204.1772003173828,202.46041564941407,203.66427001953124,201.51081085205078,183.15071533203124,171.61947265625,164.7244108581543
2023-08-14,73.19030531319962,P,206.766845703125,203.1195068359375,203.49030456542968,202.3237335205078,184.17254608154298,172.02668716430665,165.05989303588868
2023-08-15,72.52612712011778,P,203.610595703125,203.17318725585938,203.34168701171876,202.70745391845702,185.18761688232422,172.41455108642577,165.35958305358886
2023-08-16,73.04951922027917,A,202.34808349609372,203.7358428955078,203.26812438964845,203.0031967163086,186.0922430419922,172.79301651000978,165.67326858520508
2023-08-17,70.676021474218,A,195.92127990722656,202.56480102539064,202.33019561767577,202.89906616210936,186.8605798339844,173.09614395141602,165.89595123291016
2023-08-18,67.99620052805574,P,195.58328247070312,200.84601745605468,201.65321655273436,202.87421417236328,187.72842529296875,173.36000045776368,166.09594230651857
2023-08-21,65.92592972624767,P,200.3648681640625,199.56562194824218,201.34256439208986,203.21344909667968,188.6923992919922,173.70458511352538,166.31944511413573
2023-08-22,64.98881559551572,P,201.3042907714844,199.10436096191407,201.1387741088867,203.4527786254883,189.61591369628906,174.0858169555664,166.5381844329834
2023-08-23,64.82846606004347,P,205.1067047119141,199.6560852050781,201.69596405029296,203.2514747619629,190.52978546142577,174.52368881225587,166.8029801940918
2023-08-24,67.05918529402325,P,203.1433563232422,201.10050048828126,201.83265075683593,203.16623001098634,191.32834228515625,174.9379559326172,167.0787626647949
2023-08-25,68.9864453145073,A,203.31234741210935,202.6463134765625,201.74616546630858,202.70521774291993,192.15920684814452,175.35391296386717,167.356455078125
2023-08-28,70.21610090550895,A,206.96566772460935,203.9664733886719,201.76604766845702,202.62817611694337,193.06313781738282,175.76162643432616,167.65177017211914
2023-08-29,72.939920672399,A,212.6369781494141,206.2330108642578,202.66868591308594,203.00518646240235,194.1287091064453,176.20023971557617,167.9821286010742
