Date,GRADE,GPS,PAYC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2014-04-15,,,15.177693367004396,,,,,,
2014-04-16,,,15.444663047790527,,,,,,
2014-04-17,,,16.067590713500977,,,,,,
2014-04-18,,,16.067590713500977,,,,,,
2014-04-21,,,15.91927433013916,15.735362434387207,,,,,
2014-04-22,,,15.80062198638916,15.85994815826416,,,,,
2014-04-23,,,15.889612197875977,15.94893798828125,,,,,
2014-04-24,,,15.573202133178713,15.850060272216798,,,,,
2014-04-25,,,15.128254890441896,15.662193107604981,,,,,
2014-04-28,,,14.801958084106444,15.438729858398437,15.587046146392822,,,,
2014-04-29,,,15.108478546142578,15.30030117034912,15.580124664306641,,,,
2014-04-30,,,15.237018585205078,15.169782447814942,15.559360218048095,,,,
2014-05-01,,,15.494100570678713,15.153962135314941,15.50201120376587,,,,
2014-05-02,,,15.622641563415527,15.252839469909668,15.457516288757324,,,,
2014-05-05,,,15.503989219665527,15.393245697021484,15.415987777709962,,,,
2014-05-06,,,15.138141632080078,15.399178314208985,15.349739742279052,,,,
2014-05-07,,,14.881060600280762,15.327986717224121,15.248884582519532,,,,
2014-05-08,,,15.009602546691896,15.231087112426758,15.192524623870849,,,,
2014-05-09,,,14.347123146057127,14.975983428955079,15.114411449432373,,,,
2014-05-12,,,13.93183708190918,14.661553001403808,15.027399349212647,15.307222747802735,,,
2014-05-13,,,13.714306831359863,14.376786041259766,14.887982177734376,15.234053421020509,,,
2014-05-14,,,13.91206169128418,14.18298625946045,14.755486488342285,15.15742335319519,,,
2014-05-15,,,14.129592895507812,14.006984329223632,14.619035720825195,15.060523462295532,,,
2014-05-16,,,13.654980659484863,13.86855583190918,14.42226963043213,14.939892959594726,,,
2014-05-19,,,13.09137725830078,13.7004638671875,14.181008434295654,14.798498106002807,,,
2014-05-20,,,13.842846870422363,13.726171875,14.051478958129882,14.700609350204468,,,
2014-05-21,,,13.842846870422363,13.712328910827637,13.947657585144043,14.598271083831786,,,
2014-05-22,,,15.207356452941896,13.927881622314453,13.967432975769043,14.579978799819946,,,
2014-05-23,,,14.366898536682127,14.070265197753907,13.969410514831543,14.541910982131958,,,
2014-05-26,,,14.366898536682127,14.325369453430175,14.012916660308838,14.520158004760741,,,
2014-05-27,,,13.872509956359863,14.331302070617676,14.028736972808838,14.458359575271606,,,
2014-05-28,,,13.101265907287598,14.182985877990722,13.94765739440918,14.351571941375733,,,
2014-05-29,,,13.328683853149414,13.807251358032227,13.86756649017334,14.243301105499267,,,
2014-05-30,,,13.200143814086914,13.573900413513183,13.822082805633546,14.122176218032838,,,
2014-06-02,,,13.38801097869873,13.378122901916504,13.85174617767334,14.016377305984497,,,
2014-06-03,,,13.872509956359863,13.378122901916504,13.85471248626709,13.953095722198487,,,
2014-06-04,,,14.139479637145996,13.585765647888184,13.884375762939452,13.916016674041748,,,
2014-06-05,,,14.010939598083496,13.722216796875,13.764734077453614,13.866083526611328,,,
2014-06-06,,,14.287796020507812,13.93974723815918,13.756823825836182,13.863117170333862,,,
2014-06-09,,,14.475663185119627,14.157277679443359,13.767700290679931,13.890308475494384,,,
2014-06-10,,,14.268020629882812,14.236379814147949,13.807251358032227,13.917994165420533,,,
2014-06-11,,,14.297683715820312,14.268020629882812,13.926893138885498,13.937275266647339,,,
2014-06-12,,,13.81318473815918,14.22846965789795,13.975343227386475,13.921454858779907,,,
2014-06-13,,,13.842846870422363,14.139479827880859,14.03961353302002,13.930848169326783,,,
