Date,GRADE,GPS,MRNA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2018-12-07,,,18.600000381469727,,,,,,
2018-12-10,,,18.799999237060547,,,,,,
2018-12-11,,,18.010000228881836,,,,,,
2018-12-12,,,18.68000030517578,,,,,,
2018-12-13,,,18.76000022888184,18.570000076293944,,,,,
2018-12-14,,,18.31999969482422,18.513999938964844,,,,,
2018-12-17,,,17.0,18.154000091552735,,,,,
2018-12-18,,,17.0,17.952000045776366,,,,,
2018-12-19,,,16.18000030517578,17.452000045776366,,,,,
2018-12-20,,,15.5,16.8,17.685000038146974,,,,
2018-12-21,,,14.470000267028809,16.030000114440917,17.27200002670288,,,,
2018-12-24,,,14.029999732971191,15.436000061035156,16.795000076293945,,,,
2018-12-25,,,14.029999732971191,14.842000007629395,16.39700002670288,,,,
2018-12-26,,,13.520000457763672,14.310000038146972,15.88100004196167,,,,
2018-12-27,,,14.649999618530272,14.139999961853027,15.469999980926513,,,,
2018-12-28,,,14.149999618530272,14.07599983215332,15.05299997329712,,,,
2018-12-31,,,15.270000457763672,14.323999977111816,14.880000019073487,,,,
2019-01-01,,,15.270000457763672,14.572000122070312,14.707000064849854,,,,
2019-01-02,,,15.329999923706056,14.934000015258789,14.622000026702882,,,,
2019-01-03,,,15.5,15.104000091552734,14.622000026702882,16.153500032424926,,,
2019-01-04,,,16.959999084472656,15.66599998474121,14.870999908447265,16.071499967575072,,,
2019-01-07,,,16.270000457763672,15.865999984741212,15.094999980926513,15.94500002861023,,,
2019-01-08,,,16.950000762939453,16.202000045776366,15.38700008392334,15.89200005531311,,,
2019-01-09,,,16.329999923706055,16.40200004577637,15.668000030517579,15.774500036239624,,,
2019-01-10,,,16.479999542236328,16.59799995422363,15.851000022888183,15.660500001907348,,,
2019-01-11,,,17.0,16.6060001373291,16.136000061035155,15.594500017166137,,,
2019-01-14,,,16.739999771118164,16.7,16.282999992370605,15.581500005722045,,,
2019-01-15,,,16.59000015258789,16.62799987792969,16.414999961853027,15.56100001335144,,,
2019-01-16,,,16.260000228881836,16.613999938964845,16.507999992370607,15.565000009536742,,,
2019-01-17,,,16.309999465942383,16.579999923706055,16.588999938964843,15.605499982833862,,,
2019-01-18,,,16.690000534057617,16.518000030517577,16.56200008392334,15.716499996185302,,,
2019-01-21,,,16.690000534057617,16.50800018310547,16.604000091552734,15.849500036239624,,,
2019-01-22,,,15.5600004196167,16.30200023651123,16.465000057220458,15.926000070571899,,,
2019-01-23,,,14.789999961853027,16.00800018310547,16.311000061035156,15.989500045776367,,,
2019-01-24,,,14.640000343322754,15.674000358581543,16.1270001411438,15.989000082015991,,,
2019-01-25,,,14.90999984741211,15.318000221252442,15.91800012588501,16.02700009346008,,,
2019-01-28,,,14.449999809265137,14.870000076293945,15.689000129699707,15.986000061035156,,,
2019-01-29,,,14.630000114440918,14.684000015258789,15.49300012588501,15.95400004386902,,,
2019-01-30,,,15.130000114440918,14.752000045776366,15.380000114440918,15.944000053405762,,,
2019-01-31,,,16.600000381469727,15.144000053405762,15.409000205993653,15.999000072479248,,,
2019-02-01,,,16.219999313354492,15.405999946594239,15.36200008392334,15.96200008392334,,,
2019-02-04,,,16.270000457763672,15.770000076293945,15.320000076293946,15.96200008392334,,,
2019-02-05,,,17.18000030517578,16.280000114440917,15.482000064849853,15.973500061035157,,,
2019-02-06,,,18.13999938964844,16.881999969482422,15.817000007629394,16.064000034332274,,,
2019-02-07,,,17.049999237060547,16.971999740600587,16.057999897003175,16.092500019073487,,,
2019-02-08,,,17.989999771118164,17.32599983215332,16.36599988937378,16.142000007629395,,,
2019-02-11,,,18.170000076293945,17.705999755859374,16.73799991607666,16.213500022888184,,,
2019-02-12,,,18.690000534057617,18.00799980163574,17.14399995803833,16.31850004196167,,,
2019-02-13,,,18.530000686645508,18.086000061035158,17.48400001525879,16.432000064849852,,,
2019-02-14,,,19.65999984741211,18.608000183105467,17.789999961853027,16.59950008392334,16.419000034332274,,
2019-02-15,,,21.440000534057617,19.29800033569336,18.31200008392334,16.83700008392334,16.475800037384033,,
2019-02-18,,,21.440000534057617,19.952000427246094,18.829000091552736,17.07450008392334,16.528600063323974,,
2019-02-19,,,20.82999992370605,20.38000030517578,19.194000053405762,17.338000059127808,16.58500005722046,,
2019-02-20,,,19.920000076293945,20.658000183105468,19.37200012207031,17.594500064849854,16.60980005264282,,
2019-02-21,,,19.34000015258789,20.594000244140624,19.601000213623045,17.82950005531311,16.621400051116943,,
2019-02-22,,,19.8799991607666,20.28199996948242,19.79000015258789,18.078000020980834,16.65260004043579,,
2019-02-25,,,21.649999618530277,20.32399978637695,20.138000106811525,18.438000011444093,16.745600032806397,,
