Date,GRADE,GPS,BIIB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1991-09-17,,,3.125,,,,,,
1991-09-18,,,3.125,,,,,,
1991-09-19,,,3.1458330154418945,,,,,,
1991-09-20,,,3.0833330154418945,,,,,,
1991-09-23,,,2.9583330154418945,3.087499809265137,,,,,
1991-09-24,,,3.0,3.0624998092651365,,,,,
1991-09-25,,,3.041666984558105,3.045833206176758,,,,,
1991-09-26,,,3.166666984558105,3.05,,,,,
1991-09-27,,,3.3333330154418945,3.1,,,,,
1991-09-30,,,3.125,3.1333333969116213,3.110416603088379,,,,
1991-10-01,,,3.0833330154418945,3.15,3.1062499046325684,,,,
1991-10-02,,,3.166666984558105,3.175,3.110416603088379,,,,
1991-10-03,,,2.9583330154418945,3.133333206176758,3.091666603088379,,,,
1991-10-04,,,2.875,3.041666603088379,3.0708333015441895,,,,
1991-10-07,,,2.666666984558105,2.95,3.0416666984558107,,,,
1991-10-08,,,2.541666984558105,2.8416667938232423,2.9958333969116206,,,,
1991-10-09,,,2.5208330154418945,2.7125,2.9437499999999996,,,,
1991-10-10,,,2.5625,2.6333333969116213,2.883333301544189,,,,
1991-10-11,,,2.6875,2.595833396911621,2.8187499999999996,,,,
1991-10-14,,,2.9583330154418945,2.654166603088379,2.8020833015441893,2.956249952316284,,,
1991-10-15,,,3.3125,2.8083332061767576,2.8249999999999997,2.965624952316284,,,
1991-10-16,,,3.541666984558105,3.0125,2.8625,2.9864583015441895,,,
1991-10-17,,,3.166666984558105,3.133333396911621,2.883333396911621,2.9875,,,
1991-10-18,,,3.375,3.270833396911621,2.9333333969116206,3.002083349227905,,,
1991-10-21,,,3.291666984558105,3.3375001907348634,2.995833396911621,3.018750047683716,,,
1991-10-22,,,3.25,3.325000190734863,3.0666666984558106,3.0312500476837156,,,
1991-10-23,,,3.166666984558105,3.2500001907348626,3.131250095367432,3.0375000476837153,,,
1991-10-24,,,3.0833330154418945,3.233333396911621,3.183333396911621,3.033333349227905,,,
1991-10-25,,,3.0,3.158333396911621,3.214583396911621,3.0166666984558104,,,
1991-10-28,,,2.9583330154418945,3.091666603088379,3.214583396911621,3.0083333492279047,,,
1991-10-29,,,3.166666984558105,3.075,3.2000000953674315,3.0125000476837154,,,
1991-10-30,,,3.166666984558105,3.0749999999999997,3.162500095367432,3.0125000476837154,,,
1991-10-31,,,3.0833330154418945,3.0749999999999997,3.1541666984558105,3.0187500476837155,,,
1991-11-01,,,3.041666984558105,3.0833333969116206,3.120833396911621,3.0270833969116206,,,
1991-11-04,,,2.9583330154418945,3.0833333969116206,3.0875,3.0416666984558103,,,
1991-11-05,,,2.75,3.0,3.0375,3.052083349227905,,,
1991-11-06,,,2.666666984558105,2.9,2.9875,3.0593750476837154,,,
1991-11-07,,,2.541666984558105,2.791666793823242,2.9333333969116206,3.0583333969116206,,,
1991-11-08,,,2.7083330154418945,2.725,2.90416669845581,3.0593750476837154,,,
1991-11-11,,,2.7083330154418945,2.675,2.87916669845581,3.0468750476837156,,,
1991-11-12,,,2.916666984558105,2.7083333969116206,2.8541666984558103,3.0270833969116206,,,
1991-11-13,,,2.916666984558105,2.758333396911621,2.8291666984558104,2.9958333969116206,,,
1991-11-14,,,2.979166984558105,2.845833396911621,2.8187500953674314,2.9864583969116207,,,
1991-11-15,,,2.375,2.7791667938232423,2.752083396911621,2.936458396911621,,,
1991-11-18,,,2.4583330154418945,2.729166793823242,2.702083396911621,2.8947916984558106,,,
1991-11-19,,,2.375,2.620833396911621,2.6645833969116213,2.8510416984558105,,,
1991-11-20,,,2.2083330154418945,2.479166603088379,2.61875,2.803125,,,
1991-11-21,,,2.25,2.333333206176758,2.5895833015441894,2.7614583492279055,,,
1991-11-22,,,2.0833330154418945,2.274999809265137,2.5270833015441894,2.715625,,,
1991-11-25,,,2.0833330154418945,2.1999998092651367,2.4645833015441894,2.671875,2.894166660308838,,
1991-11-26,,,1.875,2.0999998092651366,2.360416603088379,2.607291650772095,2.8691666603088377,,
1991-11-27,,,1.9583330154418943,2.049999809265137,2.264583206176758,2.5468749523162844,2.845833320617676,,
1991-11-28,,,1.9583330154418943,1.9916664123535157,2.1624998092651366,2.490624952316284,2.8220833206176756,,
1991-11-29,,,2.0,1.9749998092651366,2.1249998092651365,2.438541603088379,2.800416660308838,,
1991-12-02,,,2.125,1.983333206176758,2.091666507720947,2.396874952316284,2.78375,,
1991-12-03,,,2.0625,2.020833206176758,2.060416507720947,2.362499952316284,2.765,,
1991-12-04,,,2.0,2.029166603088379,2.039583206176758,2.329166603088379,2.7441666603088377,,
1991-12-05,,,2.041666984558105,2.045833396911621,2.0187499046325685,2.3041666030883787,2.7216666603088377,,
1991-12-06,,,1.9583330154418943,2.0375,2.0062499046325684,2.266666603088379,2.694166660308838,,
1991-12-09,,,2.041666984558105,2.020833396911621,2.0020833015441895,2.2333333015441896,2.6725,,
1991-12-10,,,2.041666984558105,2.016666793823242,2.01875,2.1895833015441895,2.6516666793823243,,
1991-12-11,,,2.3333330154418945,2.083333396911621,2.0562499999999995,2.160416603088379,2.635,,
1991-12-12,,,2.4583330154418945,2.166666603088379,2.1062499999999997,2.134374904632568,2.625,,
1991-12-13,,,2.4583330154418945,2.266666603088379,2.152083301544189,2.138541555404663,2.6166666603088378,,
1991-12-16,,,2.4583330154418945,2.3499998092651366,2.1854166030883784,2.138541555404663,2.6124999809265135,,
1991-12-17,,,2.416666984558105,2.424999809265137,2.220833301544189,2.1406249046325683,2.6099999809265135,,
