Date,GRADE,GPS,LH,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1990-03-29,,,22.53349494934082,,,,,,
1990-03-30,,,24.982789993286133,,,,,,
1990-04-02,,,22.04364013671875,,,,,,
1990-04-03,,,22.04364013671875,,,,,,
1990-04-04,,,24.982789993286133,23.317271041870118,,,,,
1990-04-05,,,24.247997283935547,23.660171508789062,,,,,
1990-04-06,,,24.247997283935547,23.513212966918946,,,,,
1990-04-09,,,24.49292755126953,24.003070449829103,,,,,
1990-04-10,,,22.778425216674805,24.150027465820312,,,,,
1990-04-11,,,21.55377960205078,23.464225387573244,23.39074821472168,,,,
1990-04-12,,,21.55377960205078,22.92538185119629,23.292776679992677,,,,
1990-04-13,,,21.55377960205078,22.386538314819337,22.94987564086914,,,,
1990-04-16,,,24.00307273864746,22.288567352294923,23.14581890106201,,,,
1990-04-17,,,21.55377960205078,22.043638229370117,23.096832847595216,,,,
1990-04-18,,,21.55377960205078,22.043638229370117,22.75393180847168,,,,
1990-04-19,,,21.55377960205078,22.043638229370117,22.484510040283205,,,,
1990-04-20,,,21.063920974731445,21.94566650390625,22.166102409362793,,,,
1990-04-23,,,21.063920974731445,21.357836151123045,21.823201751708986,,,,
1990-04-24,,,21.063920974731445,21.25986442565918,21.65175132751465,,,,
1990-04-25,,,21.063920974731445,21.161892700195313,21.602765464782713,22.496756839752198,,,
1990-04-26,,,21.55377960205078,21.161892700195313,21.602765464782713,22.447771072387695,,,
1990-04-27,,,21.063920974731445,21.161892700195313,21.55377960205078,22.25182762145996,,,
1990-04-30,,,21.79871368408203,21.30885124206543,21.333343696594238,22.239581298828124,,,
1990-05-01,,,21.79871368408203,21.455809783935546,21.357837104797362,22.22733497619629,,,
1990-05-02,,,21.55377960205078,21.553781509399414,21.357837104797362,22.055884456634523,,,
1990-05-03,,,21.55377960205078,21.553781509399414,21.357837104797362,21.921173572540283,,,
1990-05-04,,,21.79871368408203,21.70074005126953,21.431316375732422,21.798709392547607,,,
1990-05-07,,,22.04364013671875,21.749725341796875,21.529288291931152,21.67624502182007,,,
