Date,GRADE,GPS,CMCSA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.2018668055534362,,,,,,
1983-11-22,,,0.199434757232666,,,,,,
1983-11-23,,,0.206731304526329,,,,,,
1983-11-24,,,0.206731304526329,,,,,,
1983-11-25,,,0.2091633528470993,0.2047855049371719,,,,,
1983-11-28,,,0.2115954905748367,0.20673124194145204,,,,,
1983-11-29,,,0.206731304526329,0.20819055140018464,,,,,
1983-11-30,,,0.2091633528470993,0.2086769610643387,,,,,
1983-12-01,,,0.206731304526329,0.20867696106433864,,,,,
1983-12-02,,,0.2115954905748367,0.20916338860988612,0.206974446773529,,,,
1983-12-05,,,0.2115954905748367,0.20916338860988617,0.20794731527566906,,,,
1983-12-06,,,0.2140276283025741,0.21062265336513514,0.20940660238265987,,,,
1983-12-07,,,0.2128115445375442,0.21135229170322414,0.21001462638378143,,,,
1983-12-08,,,0.2115954905748367,0.21232512891292568,0.2105010449886322,,,,
1983-12-09,,,0.2140276283025741,0.21281155645847316,0.21098747253417965,,,,
1983-12-12,,,0.218891903758049,0.21427083909511563,0.21171711385250086,,,,
1983-12-13,,,0.2164597362279892,0.21475726068019863,0.21268995702266688,,,,
1983-12-14,,,0.218891903758049,0.21597333252429962,0.21366281211376187,,,,
1983-12-15,,,0.2164597362279892,0.21694618165493013,0.21463565528392786,,,,
1983-12-16,,,0.218891903758049,0.21791903674602509,0.2153652966022491,0.21116987168788906,,,
1983-12-19,,,0.2261884212493896,0.2193783402442932,0.2168245896697044,0.2123859524726867,,,
1983-12-20,,,0.2213239073753357,0.2203511744737625,0.2175542175769806,0.2134804099798202,,,
1983-12-21,,,0.2213239073753357,0.22083757519721986,0.21840545386075974,0.21421004012227055,,,
1983-12-22,,,0.2213239073753357,0.22181040942668914,0.21937829554080962,0.21493967026472088,,,
1983-12-23,,,0.2237561792135238,0.22278326451778407,0.2203511506319046,0.2156693115830421,,,
1983-12-26,,,0.2237561792135238,0.22229681611061097,0.2208375781774521,0.21627734601497645,,,
1983-12-27,,,0.2261884212493896,0.22326971888542171,0.2218104466795921,0.21725020185112948,,,
1983-12-28,,,0.231052815914154,0.22521550059318537,0.2230265378952026,0.21834467500448224,,,
1983-12-29,,,0.231052815914154,0.22716128230094906,0.2244858458638191,0.21956075057387348,,,
1983-12-30,,,0.2286204993724823,0.22813414633274073,0.22545870542526242,0.22041200101375574,,,
1984-01-02,,,0.2286204993724823,0.22910701036453243,0.22570191323757166,0.22126325145363804,,,
1984-01-03,,,0.2213239073753357,0.22813410758972164,0.22570191323757166,0.22162806540727611,,,
1984-01-04,,,0.2237561792135238,0.22667478024959564,0.2259451404213905,0.2221752971410751,,,
1984-01-05,,,0.231052815914154,0.2266747802495956,0.22691803127527232,0.223148163408041,,,
1984-01-06,,,0.2286204993724823,0.2266747802495956,0.22740446329116817,0.22387780696153642,,,
1984-01-09,,,0.2286204993724823,0.2266747802495956,0.22789089530706405,0.22436423674225808,,,
1984-01-10,,,0.2286204993724823,0.22813409864902492,0.22813410311937332,0.22497227489948274,,,
1984-01-11,,,0.2237561792135238,0.22813409864902495,0.2274044394493103,0.22521548867225646,,,
1984-01-12,,,0.2286204993724823,0.2276476353406906,0.22716120779514312,0.22582352682948112,,,
1984-01-13,,,0.2213239073753357,0.2261883169412613,0.22643154859542847,0.22594512701034547,,,
1984-01-16,,,0.218891903758049,0.22424259781837463,0.22545868903398514,0.22558030113577843,,,
1984-01-17,,,0.2164597362279892,0.221810445189476,0.22497227191925048,0.2253370925784111,,,
1984-01-18,,,0.2164597362279892,0.2203511565923691,0.22424262762069702,0.22509388402104377,,,
1984-01-19,,,0.2213239073753357,0.21889183819293975,0.2232697367668152,0.22509388402104377,,,
1984-01-20,,,0.2140276283025741,0.21743258237838745,0.22181044965982438,0.2246074564754963,,,
1984-01-23,,,0.2042990177869796,0.21451400518417355,0.21937830150127408,0.22363459840416908,,,
1984-01-24,,,0.2018668055534362,0.21159541904926296,0.21670293211936947,0.22241851761937143,,,
1984-01-25,,,0.199434757232666,0.20819042325019832,0.21427078992128368,0.220837614685297,,,
1984-01-26,,,0.2018668055534362,0.2042990028858184,0.21159542053937908,0.2193783141672611,,,
1984-01-27,,,0.197002574801445,0.20089399218559256,0.20916328728199002,0.21779741793870927,0.2166786569356918,,
1984-01-30,,,0.197002574801445,0.19943470358848567,0.2069743543863296,0.2162165217101574,0.21658137232065197,,
1984-01-31,,,0.1921382695436477,0.19748899638652798,0.20454220771789547,0.21475723981857295,0.2164354425668716,,
1984-02-01,,,0.1945704221725464,0.19651612937450405,0.20235327631235117,0.21329795196652407,0.21619222491979595,,
1984-02-02,,,0.1921382695436477,0.19457042217254636,0.19943471252918238,0.21135222464799877,0.21590036422014233,,
1984-02-03,,,0.1921382695436477,0.1935975611209869,0.19724577665328974,0.20952811315655703,0.2155598625540733,,
1984-02-06,,,0.1872740536928177,0.19165185689926142,0.19554328024387355,0.2074607908725738,0.21507343381643293,,
1984-02-07,,,0.1921382695436477,0.19165185689926142,0.1945704266428947,0.2056366793811321,0.21478157311677928,,
1984-02-08,,,0.1872740536928177,0.1901925832033157,0.1933543562889099,0.20381257310509676,0.21434378713369365,,
1984-02-09,,,0.1848417520523071,0.18873327970504758,0.19165185093879697,0.201623635739088,0.21390599608421323,,
1984-02-10,,,0.1860579997301101,0.18751722574234006,0.1905573934316635,0.19986034035682673,0.21339524626731868,,
1984-02-13,,,0.1848417520523071,0.18703076541423794,0.18934131115674968,0.19815783277153964,0.2128601714968681,,
