Date,GRADE,GPS,COO,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,6.0036492347717285,,,,,,
1983-11-22,,,6.046227931976318,,,,,,
1983-11-23,,,5.7907538414001465,,,,,,
1983-11-24,,,5.7907538414001465,,,,,,
1983-11-25,,,5.7907538414001465,5.884427738189697,,,,,
1983-11-28,,,6.0036492347717285,5.884427738189697,,,,,
1983-11-29,,,6.344281196594238,5.944038391113281,,,,,
1983-11-30,,,6.429440021514893,6.071775627136231,,,,,
1983-12-01,,,6.301703929901123,6.173965644836426,,,,,
1983-12-02,,,6.216543197631836,6.259123516082764,6.071775627136231,,,,
1983-12-05,,,6.301703929901123,6.318734455108642,6.10158109664917,,,,
1983-12-06,,,6.216543197631836,6.293186855316162,6.118612623214721,,,,
1983-12-07,,,5.918490409851074,6.190996932983398,6.1313862800598145,,,,
1983-12-08,,,5.705595970153809,6.071775341033936,6.1228704929351805,,,,
1983-12-09,,,5.705595970153809,5.96958589553833,6.1143547058105465,,,,
1983-12-12,,,5.407543182373047,5.790753746032715,6.054744100570678,,,,
1983-12-13,,,5.152068138122559,5.577858734130859,5.935522794723511,,,,
1983-12-14,,,5.109490394592285,5.416058731079102,5.80352783203125,,,,
1983-12-15,,,5.407543182373047,5.356448173522949,5.714111757278443,,,,
1983-12-16,,,5.407543182373047,5.296837615966797,5.633211755752564,5.852493691444397,,,
1983-12-19,,,5.237226486206055,5.262774276733398,5.526764011383056,5.814172554016113,,,
1983-12-20,,,5.194647312164307,5.271290111541748,5.4245744228363035,5.771593523025513,,,
1983-12-21,,,5.152068138122559,5.279805660247803,5.347932195663452,5.739659237861633,,,
1983-12-22,,,5.024330139160156,5.203163051605225,5.279805612564087,5.701338052749634,,,
1983-12-23,,,5.066909790039063,5.135036373138428,5.215936994552612,5.665145850181579,,,
1983-12-26,,,5.066909790039063,5.10097303390503,5.1818736553192135,5.618308877944946,,,
1983-12-27,,,5.109490394592285,5.083941650390625,5.1776158809661865,5.556569337844849,,,
1983-12-28,,,5.279806137084961,5.109489250183105,5.1946474552154545,5.499087643623352,,,
1983-12-29,,,5.279806137084961,5.160584449768066,5.181873750686646,5.447992753982544,,,
1983-12-30,,,5.194647312164307,5.186131954193115,5.160584163665772,5.396897959709167,,,
1984-01-02,,,5.194647312164307,5.211679458618164,5.156326246261597,5.341545128822327,,,
1984-01-03,,,5.109490394592285,5.211679458618164,5.147810554504394,5.286192488670349,,,
1984-01-04,,,5.194647312164307,5.194647693634034,5.152068471908569,5.25000033378601,,,
1984-01-05,,,4.939173221588135,5.126521110534668,5.143552780151367,5.211679196357727,,,
1984-01-06,,,4.896591663360596,5.066909980773926,5.12652096748352,5.171228981018066,,,
1984-01-09,,,5.024330139160156,5.032846546173095,5.12226300239563,5.152068328857422,,,
1984-01-10,,,4.981751918792725,5.007298851013184,5.109489154815674,5.14355251789093,,,
1984-01-11,,,4.939173221588135,4.956204032897949,5.075425863265991,5.135036659240723,,,
1984-01-12,,,5.237226486206055,5.015814685821534,5.071167898178101,5.126520824432373,,,
1984-01-13,,,5.279806137084961,5.092457580566406,5.079683780670166,5.120133972167968,,,
1984-01-16,,,5.279806137084961,5.143552780151367,5.088199663162231,5.122262954711914,,,
1984-01-17,,,5.918490409851074,5.330900478363037,5.16909966468811,5.158455109596252,,,
1984-01-18,,,5.961070537567139,5.535279941558838,5.245741987228394,5.1989052295684814,,,
1984-01-19,,,5.833333492279053,5.654501342773438,5.335158014297486,5.2393553972244264,,,
1984-01-20,,,5.961070537567139,5.790754222869873,5.441605901718139,5.28406343460083,,,
1984-01-23,,,5.833333492279053,5.901459693908691,5.522506237030029,5.32238461971283,,,
1984-01-24,,,6.0036492347717285,5.918491458892822,5.62469596862793,5.367092561721802,,,
1984-01-25,,,6.088807106018066,5.944038772583008,5.739659357070923,5.407542610168457,,,
1984-01-26,,,6.0036492347717285,5.978101921081543,5.81630163192749,5.443734765052795,,,
1984-01-27,,,5.7907538414001465,5.944038581848145,5.867396402359009,5.473540091514588,5.562530345916748,,
1984-01-30,,,5.407543182373047,5.858880519866943,5.880170106887817,5.484184885025025,5.550608224868775,,
1984-01-31,,,5.407543182373047,5.739659309387207,5.8290753841400145,5.499087524414063,5.537834529876709,,
