Date,GRADE,GPS,AON,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.5124764442443848,,,,,,
1983-11-22,,,2.520452976226806,,,,,,
1983-11-23,,,2.5443804264068604,,,,,,
1983-11-24,,,2.5443804264068604,,,,,,
1983-11-25,,,2.5443804264068604,2.5332141399383543,,,,,
1983-11-28,,,2.536405086517334,2.5379998683929443,,,,,
1983-11-29,,,2.5284295082092285,2.5395951747894285,,,,,
1983-11-30,,,2.472595691680908,2.5252382278442385,,,,,
1983-12-01,,,2.472595691680908,2.510881280899048,,,,,
1983-12-02,,,2.4646196365356445,2.4949291229248045,2.5140716314315794,,,,
1983-12-05,,,2.432715654373169,2.4741912364959715,2.506095552444458,,,,
1983-12-06,,,2.5045008659362797,2.469405508041382,2.5045003414154055,,,,
1983-12-07,,,2.488548755645752,2.4725961208343508,2.4989171743392946,,,,
1983-12-08,,,2.4646196365356445,2.471000909805298,2.4909410953521727,,,,
1983-12-09,,,2.4566445350646973,2.4694058895111084,2.4821675062179565,,,,
1983-12-12,,,2.5045008659362797,2.4837629318237306,2.478977084159851,,,,
1983-12-13,,,2.472595691680908,2.4773818969726564,2.473393702507019,,,,
1983-12-14,,,2.4486684799194336,2.4694058418273928,2.4710009813308718,,,,
1983-12-15,,,2.4566445350646973,2.4678108215332033,2.4694058656692506,,,,
1983-12-16,,,2.4406912326812744,2.4646201610565184,2.4670130252838134,2.4905423283576966,,,
1983-12-19,,,2.4167628288269043,2.4470725536346434,2.465417742729187,2.4857566475868227,,,
1983-12-20,,,2.4247395992279053,2.437501335144043,2.4574416160583494,2.4809709787368774,,,
1983-12-21,,,2.5124764442443848,2.450262928009033,2.4598343849182127,2.4793757796287537,,,
1983-12-22,,,2.536405086517334,2.4662150382995605,2.4670129299163817,2.478977012634277,,,
1983-12-23,,,2.5284295082092285,2.4837626934051515,2.474191427230835,2.478179466724396,,,
1983-12-26,,,2.5284295082092285,2.506096029281616,2.47658429145813,2.4777806878089903,,,
1983-12-27,,,2.536405086517334,2.528429126739502,2.4829652309417725,2.478179466724396,,,
1983-12-28,,,2.5045008659362797,2.526834011077881,2.488548469543457,2.4797747254371645,,,
1983-12-29,,,2.5124764442443848,2.522048282623291,2.494131660461426,2.4817687630653382,,,
1983-12-30,,,2.568310499191284,2.5300244808197023,2.506893587112427,2.48695330619812,,,
1984-01-02,,,2.568310499191284,2.5380006790161134,2.5220483541488647,2.493733048439026,,,
1984-01-03,,,2.568310499191284,2.5443817615509032,2.5364054441452026,2.496923530101776,,,
1984-01-04,,,2.568310499191284,2.5571436882019043,2.5419888496398926,2.5009116172790526,,,
1984-01-05,,,2.775688409805298,2.6097860813140867,2.565917181968689,2.5164650559425352,,,
1984-01-06,,,2.679974317550659,2.632118844985962,2.581071662902832,2.5276315450668334,,,
1984-01-09,,,2.656048059463501,2.649666357040405,2.5938335180282595,2.5352089047431945,,,
1984-01-10,,,2.671998977661133,2.670404052734375,2.607392907142639,2.545179069042206,,,
1984-01-11,,,2.671998977661133,2.6911417484283446,2.6241427183151247,2.556345593929291,,,
1984-01-12,,,2.656048059463501,2.6672136783599854,2.638499879837036,2.566315770149231,,,
1984-01-13,,,2.648071527481079,2.6608331203460693,2.646475982666016,2.5766847848892214,,,
1984-01-16,,,2.616165399551392,2.652856588363648,2.6512614727020263,2.5866549134254457,,,
1984-01-17,,,2.600215435028076,2.638499879837036,2.6544519662857056,2.595428705215454,,,
1984-01-18,,,2.584261894226074,2.6209524631500245,2.6560471057891846,2.5990179777145386,,,
1984-01-19,,,2.5523569583892822,2.6002142429351807,2.633713960647583,2.599815571308136,,,
1984-01-20,,,2.536405086517334,2.5778809547424317,2.6193570375442503,2.600214350223541,,,
1984-01-23,,,2.29712176322937,2.514072227478027,2.5834644079208373,2.588648962974548,,,
1984-01-24,,,2.273192882537842,2.4486677169799806,2.543583798408508,2.5754883527755736,,,
1984-01-25,,,2.329026460647583,2.3976206302642824,2.5092865467071532,2.5667146325111387,,,
1984-01-26,,,2.313072443008423,2.3497637271881104,2.4749889850616453,2.556744432449341,,,
1984-01-27,,,2.2572410106658936,2.293930912017822,2.435905933380127,2.5411909580230714,2.5140720319747927,,
1984-01-30,,,2.217360496520996,2.2779786586761475,2.3960254430770873,2.523643457889557,2.5081697130203247,,
1984-01-31,,,2.2093844413757324,2.2652169704437255,2.356942343711853,2.505697154998779,2.501948342323303,,
1984-02-01,,,2.169502258300781,2.2333121299743652,2.315466380119324,2.485756742954254,2.494450778961182,,
1984-02-02,,,2.185455560684204,2.2077887535095213,2.278776240348816,2.4562451004981996,2.4872722816467285,,
1984-02-03,,,2.209739446640014,2.1982884407043453,2.246109676361084,2.4327333569526672,2.4805794620513915,,
1984-02-06,,,2.088324069976806,2.1724811553955075,2.2252299070358275,2.4043471574783326,2.471617841720581,,
