Date,GRADE,GPS,PFE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.4288632273674011,,,,,,
1983-11-22,,,0.4233114123344421,,,,,,
1983-11-23,,,0.4219237267971039,,,,,,
1983-11-24,,,0.4219237267971039,,,,,,
1983-11-25,,,0.4191481471061706,0.4230340480804443,,,,,
1983-11-28,,,0.4149838984012604,0.4202581822872162,,,,,
1983-11-29,,,0.4191481471061706,0.4194255292415619,,,,,
1983-11-30,,,0.4108205735683441,0.41720489859580995,,,,,
1983-12-01,,,0.4135963022708893,0.415539413690567,,,,,
1983-12-02,,,0.3941657245159149,0.4105429291725159,0.4167884886264801,,,,
1983-12-05,,,0.3997171521186828,0.4074895799160004,0.4138738811016083,,,,
1983-12-06,,,0.409432590007782,0.40554646849632264,0.41248599886894227,,,,
1983-12-07,,,0.4135963022708893,0.40610161423683167,0.4116532564163208,,,,
1983-12-08,,,0.409432590007782,0.4052688717842102,0.4104041427373886,,,,
1983-12-09,,,0.4066569209098816,0.40776711106300356,0.4091550201177597,,,,
1983-12-12,,,0.4024932086467743,0.4083223223686218,0.4079059511423111,,,,
1983-12-13,,,0.3955532908439636,0.40554646253585813,0.4055464655160904,,,,
1983-12-14,,,0.3844501078128814,0.3997172236442566,0.4029094189405441,,,,
1983-12-15,,,0.383062481880188,0.3944432020187378,0.399856036901474,,,,
1983-12-16,,,0.3955532908439636,0.3922224760055542,0.3999947935342788,0.4083916410803795,,,
1983-12-19,,,0.3983291387557983,0.39138966202735903,0.3998559921979904,0.40686493664979934,,,
1983-12-20,,,0.3955532908439636,0.39138966202735903,0.3984680622816086,0.4054770305752754,,,
1983-12-21,,,0.3969414234161377,0.39388792514801024,0.3968025743961334,0.4042279154062271,,,
1983-12-22,,,0.3927777409553528,0.3958309769630432,0.3951370894908905,0.40277061611413956,,,
1983-12-23,,,0.3913897275924682,0.3949982643127441,0.3936103701591492,0.4013826951384544,,,
1983-12-26,,,0.3913897275924682,0.39361038208007815,0.3925000220537186,0.40020298659801484,,,
1983-12-27,,,0.3927777409553528,0.39305527210235597,0.39222246706485747,0.3988844662904739,,,
1983-12-28,,,0.3941657245159149,0.3925001323223114,0.39319402873516085,0.3980517238378525,,,
1983-12-29,,,0.4024932086467743,0.3944432258605957,0.39513710141181946,0.3974965691566467,,,
1983-12-30,,,0.3969414234161377,0.39555356502532957,0.3952759146690369,0.39763535410165785,,,
1984-01-02,,,0.3969414234161377,0.3966639041900635,0.3951371431350708,0.39749656766653063,,,
1984-01-03,,,0.4011052548885345,0.39832940697669983,0.39569233953952787,0.39708020091056817,,,
1984-01-04,,,0.41220822930336,0.4019379079341888,0.3972190201282501,0.39701079726219174,,,
1984-01-05,,,0.4302515387535095,0.40748957395553587,0.4009663999080658,0.3980517446994781,,,
1984-01-06,,,0.4219237267971039,0.4124860346317291,0.40401979982852937,0.3988150849938392,,,
1984-01-09,,,0.4108205735683441,0.4152618646621704,0.40596288442611694,0.3992314532399177,,,
1984-01-10,,,0.3969414234161377,0.41442909836769104,0.40637925267219543,0.3993008598685264,,,
1984-01-11,,,0.3997171521186828,0.41193088293075564,0.40693439543247223,0.40006421208381654,,,
1984-01-12,,,0.3997171521186828,0.4058240056037903,0.4066567897796631,0.4008969455957413,,,
1984-01-13,,,0.3997171521186828,0.40138269066810606,0.4069343626499176,0.4011051386594772,,,
1984-01-16,,,0.3997171521186828,0.3991620063781738,0.4072119355201721,0.4011745393276215,,,
1984-01-17,,,0.4080447256565094,0.40138266682624807,0.4079058825969696,0.4017991110682487,,,
1984-01-18,,,0.4135963022708893,0.40415849685668936,0.40804468989372256,0.4026318550109863,,,
1984-01-19,,,0.4108205735683441,0.4063791811466217,0.406101593375206,0.4035339966416359,,,
1984-01-20,,,0.4191481471061706,0.4102653801441193,0.40582403540611267,0.404921917617321,,,
1984-01-23,,,0.4163722395896911,0.4135963976383209,0.4063792020082474,0.40617104321718217,,,
1984-01-24,,,0.41220822930336,0.41442909836769104,0.4079058825969696,0.4071425676345825,,,
1984-01-25,,,0.4080447256565094,0.41331878304481506,0.40873863995075227,0.4078365176916122,,,
1984-01-26,,,0.4033389985561371,0.41182246804237366,0.4091008245944977,0.40787880718708036,,,
1984-01-27,,,0.4005382657051086,0.40810049176216123,0.40918293595314026,0.4080586493015289,0.40563529908657076,,
1984-01-30,,,0.3991375565528869,0.4046535551548004,0.40912497639656065,0.4081684559583663,0.40504078567028046,,
1984-01-31,,,0.3963367342948913,0.4014792561531067,0.40795417726039884,0.4079300299286842,0.40450129210948943,,
1984-02-01,,,0.4005382657051086,0.3999779641628265,0.4066483736038208,0.40734653174877167,0.40407358288764955,,
1984-02-02,,,0.4257468283176422,0.4044595301151276,0.4081409990787506,0.4071212962269783,0.4041500449180603,,
1984-02-03,,,0.4229460656642914,0.4089410901069641,0.40852079093456267,0.4071724131703377,0.4042260032892227,,
1984-02-06,,,0.4131426215171814,0.411742103099823,0.40819782912731173,0.40728851556777956,0.4041891777515411,,
1984-02-07,,,0.4159432053565979,0.4156633973121643,0.4085713267326355,0.40823860466480255,0.4041250789165497,,
1984-02-08,,,0.4145429730415344,0.41846433877944944,0.409221151471138,0.4089798957109451,0.40419952690601346,,
1984-02-09,,,0.4159432053565979,0.4165036141872406,0.4104815721511841,0.4097911983728409,0.40424646496772765,,
1984-02-10,,,0.4173440337181091,0.41538320779800414,0.41216214895248415,0.4106725424528122,0.40471003115177157,,
