Date,GRADE,GPS,PNW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,4.583754539489746,,,,,,
1983-11-22,,,4.583754539489746,,,,,,
1983-11-23,,,4.6092209815979,,,,,,
1983-11-24,,,4.6092209815979,,,,,,
1983-11-25,,,4.6092209815979,4.599034404754638,,,,,
1983-11-28,,,4.532824993133545,4.588848495483399,,,,,
1983-11-29,,,4.507360458374023,4.573569679260254,,,,,
1983-11-30,,,4.481894016265869,4.548104286193848,,,,,
1983-12-01,,,4.176312446594238,4.461522579193115,,,,,
1983-12-02,,,4.176312446594238,4.374940872192383,4.486987638473511,,,,
1983-12-05,,,4.252708911895752,4.318917655944825,4.453883075714112,,,,
1983-12-06,,,4.27817440032959,4.273080444335937,4.423325061798096,,,,
1983-12-07,,,4.27817440032959,4.232336521148682,4.390220403671265,,,,
1983-12-08,,,4.329102516174316,4.262894535064698,4.362208557128906,,,,
1983-12-09,,,4.430963039398193,4.313824653625488,4.3443827629089355,,,,
1983-12-12,,,4.329102516174316,4.3291033744812015,4.324010515213013,,,,
1983-12-13,,,4.3036394119262695,4.334196376800537,4.3036384105682375,,,,
1983-12-14,,,4.252708911895752,4.329103279113769,4.280719900131226,,,,
1983-12-15,,,4.27817440032959,4.318917655944825,4.290906095504761,,,,
1983-12-16,,,4.27817440032959,4.288359928131103,4.301092290878296,4.394039964675903,,,
1983-12-19,,,4.176312446594238,4.257801914215088,4.293452644348145,4.373667860031128,,,
1983-12-20,,,4.125380516052246,4.222150135040283,4.27817325592041,4.350749158859253,,,
1983-12-21,,,4.227243423461914,4.2170570373535154,4.273080158233642,4.331650280952454,,,
1983-12-22,,,3.972588777542114,4.15593991279602,4.237428784370422,4.299818670749664,,,
1983-12-23,,,3.870728492736816,4.074450731277466,4.181405329704285,4.26289404630661,,,
1983-12-26,,,3.870728492736816,4.013333940505982,4.135567927360535,4.229789221286774,,,
1983-12-27,,,3.8452649116516113,3.9573108196258544,4.0897304773330685,4.196684443950653,,,
1983-12-28,,,3.692471504211426,3.850356435775757,4.033706736564636,4.157213318347931,,,
1983-12-29,,,3.768867492675781,3.80961217880249,3.9827760457992554,4.136841070652008,,,
1983-12-30,,,3.9471218585968018,3.8248908519744873,3.9496707916259766,4.125381541252136,,,
1984-01-02,,,3.9471218585968018,3.8401695251464845,3.926751732826233,4.110102188587189,,,
1984-01-03,,,4.02352237701416,3.875821018218994,3.9165659189224242,4.097369587421417,,,
1984-01-04,,,4.1508469581604,3.9674961090087892,3.908926272392273,4.091003215312957,,,
1984-01-05,,,4.176312446594238,4.04898509979248,3.9292986392974854,4.083363711833954,,,
1984-01-06,,,4.0744500160217285,4.074450731277466,3.9496707916259766,4.065538060665131,,,
1984-01-09,,,4.0744500160217285,4.0999163627624515,3.9700429439544678,4.052805435657501,,,
1984-01-10,,,4.1508469581604,4.125381278991699,4.000601148605346,4.045165812969207,,,
1984-01-11,,,4.176312446594238,4.130474376678467,4.048985242843628,4.041345989704132,,,
