Date,GRADE,GPS,DE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.451803207397461,,,,,,
1983-11-22,,,2.518519163131714,,,,,,
1983-11-23,,,2.518519163131714,,,,,,
1983-11-24,,,2.518519163131714,,,,,,
1983-11-25,,,2.5101780891418457,2.5035077571868896,,,,,
1983-11-28,,,2.5435357093811035,2.5218542575836183,,,,,
1983-11-29,,,2.5602166652679443,2.5301937580108644,,,,,
1983-11-30,,,2.618592500686645,2.5502084255218507,,,,,
1983-12-01,,,2.6519508361816406,2.576894760131836,,,,,
1983-12-02,,,2.643611431121826,2.603581428527832,2.553544592857361,,,,
1983-12-05,,,2.668628454208374,2.628599977493286,2.5752271175384522,,,,
1983-12-06,,,2.6936473846435547,2.655286121368408,2.5927399396896362,,,,
1983-12-07,,,2.6352717876434326,2.658621978759766,2.604415202140808,,,,
1983-12-08,,,2.6519508361816406,2.658621978759766,2.617758369445801,,,,
1983-12-09,,,2.6519508361816406,2.6602898597717286,2.63193564414978,,,,
1983-12-12,,,2.6519508361816406,2.6569543361663817,2.642777156829834,,,,
1983-12-13,,,2.618592500686645,2.641943359375,2.648614740371704,,,,
1983-12-14,,,2.601912260055542,2.635271453857422,2.6469467163085936,,,,
1983-12-15,,,2.585233688354492,2.621928024291992,2.640275001525879,,,,
1983-12-16,,,2.5685555934906006,2.605248975753784,2.6327694177627565,2.5931570053100588,,,
1983-12-19,,,2.5685555934906006,2.588569927215576,2.622762131690979,2.5989946246147158,,,
1983-12-20,,,2.5602166652679443,2.576894760131836,2.609419059753418,2.601079499721527,,,
1983-12-21,,,2.593574047088623,2.5752271175384522,2.605249285697937,2.6048322439193727,,,
1983-12-22,,,2.5602166652679443,2.5702237129211425,2.5960758686065675,2.606917119026184,,,
1983-12-23,,,2.5435357093811035,2.5652197360992433,2.585234355926514,2.608585000038147,,,
1983-12-26,,,2.5435357093811035,2.5602157592773436,2.57439284324646,2.608585000038147,,,
1983-12-27,,,2.543536424636841,2.5568797111511232,2.5668872356414796,2.607750988006592,,,
1983-12-28,,,2.551931142807007,2.5485511302947996,2.561889123916626,2.60441792011261,,,
1983-12-29,,,2.6022987365722656,2.556967544555664,2.5635956287384034,2.601935315132141,,,
1983-12-30,,,2.585510015487671,2.5653624057769777,2.5652910709381103,2.599030244350433,,,
1984-01-02,,,2.585510015487671,2.573757266998291,2.5669865131378176,2.594874322414398,,,
1984-01-03,,,2.551931142807007,2.5754362106323243,2.5661579608917235,2.5877885103225706,,,
1984-01-04,,,2.627480983734131,2.590546178817749,2.5695486545562742,2.5873989701271056,,,
1984-01-05,,,2.661059617996216,2.602298355102539,2.5796329498291017,2.5878544092178344,,,
1984-01-06,,,2.661059617996216,2.617408275604248,2.591385340690613,2.588309848308563,,,
1984-01-09,,,2.6358776092529297,2.6274817943573,2.6006195306777955,2.587506186962128,,,
1984-01-10,,,2.686243772506714,2.654344320297241,2.6148902654647825,2.5908887505531313,,,
1984-01-11,,,2.6946377754211426,2.6677756786346434,2.629160928726196,2.595525026321411,,,
1984-01-12,,,2.686243772506714,2.672812509536743,2.6375554323196413,2.600575530529022,,,
1984-01-13,,,2.686243772506714,2.6778493404388426,2.6476288080215453,2.606459939479828,,,
1984-01-16,,,2.703032255172729,2.691280269622802,2.6593810319900513,2.6131837725639344,,,
1984-01-17,,,2.6358776092529297,2.681207036972046,2.6677756786346434,2.6169668197631837,,,
1984-01-18,,,2.65266489982605,2.6728124618530273,2.6702940702438354,2.619921362400055,,,
1984-01-19,,,2.65266489982605,2.6660966873168945,2.6694545984268188,2.62454377412796,,,
1984-01-20,,,2.6190881729125977,2.6526655673980715,2.665257453918457,2.6283213973045347,,,
1984-01-23,,,2.5603275299072266,2.624124622344971,2.6577024459838867,2.629160988330841,,,
1984-01-24,,,2.543536424636841,2.605656385421753,2.6434317111968992,2.629160988330841,,,
1984-01-25,,,2.4931697845458984,2.573757362365723,2.623284912109375,2.626222920417786,,,
1984-01-26,,,2.48477554321289,2.540179491043091,2.6031380891799927,2.620346760749817,,,
1984-01-27,,,2.3924343585968018,2.4948487281799316,2.5737571477890016,2.6106929779052734,2.594598207473755,,
1984-01-30,,,2.4176185131073,2.4663069248199463,2.5452157735824583,2.602298402786255,2.5939145135879516,,
1984-01-31,,,2.4679856300354004,2.4511967658996583,2.5284265756607054,2.5981011271476744,2.5929038429260256,,
1984-02-01,,,2.43440842628479,2.4394444942474367,2.5066009283065798,2.5884474992752073,2.591221628189087,,
1984-02-02,,,2.426013231277466,2.4276920318603517,2.483935761451721,2.57669517993927,2.589371509552002,,
1984-02-03,,,2.400831460952759,2.429371452331543,2.462110090255737,2.563683772087097,2.58718457698822,,
1984-02-06,,,2.291701316833496,2.4041880130767823,2.435247468948364,2.5464749574661254,2.5821478891372682,,
1984-02-07,,,2.241333484649658,2.358857583999634,2.405027174949646,2.524229443073273,2.575770225524902,,
1984-02-08,,,2.2665185928344727,2.3252796173095702,2.3823620557785032,2.5028234839439394,2.568728747367859,,
1984-02-09,,,2.2665185928344727,2.293380689620972,2.3605363607406615,2.4818372249603273,2.5610201025009154,,
1984-02-10,,,2.274910688400269,2.268196535110474,2.348783993721008,2.461270570755005,2.5536460876464844,,
1984-02-13,,,2.283308267593384,2.266517925262451,2.335352969169617,2.4402843713760376,2.5459396839141846,,
1984-02-14,,,2.283308267593384,2.274912881851196,2.316885232925415,2.42265590429306,2.537732901573181,,
1984-02-15,,,2.216151237487793,2.2648394107818604,2.2950595140457155,2.4008302211761476,2.5293504905700686,,
