Date,GRADE,GPS,T,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.2715528011322021,,,,,,
1983-11-22,,,0.2693496346473694,,,,,,
1983-11-23,,,0.2682480216026306,,,,,,
1983-11-24,,,0.2682480216026306,,,,,,
1983-11-25,,,0.2687987685203552,0.2692394495010376,,,,,
1983-11-28,,,0.2660447359085083,0.26813783645629885,,,,,
1983-11-29,,,0.2616380751132965,0.26659552454948426,,,,,
1983-11-30,,,0.2599855959415436,0.2649430394172668,,,,,
1983-12-01,,,0.262739896774292,0.26384141445159914,,,,,
1983-12-02,,,0.2616380751132965,0.26240927577018736,0.2658243626356125,,,,
1983-12-05,,,0.2605365812778473,0.26130764484405516,0.264722740650177,,,,
1983-12-06,,,0.2594349384307861,0.2608670175075531,0.2637312710285187,,,,
1983-12-07,,,0.2583332657814026,0.2605365514755249,0.26273979544639586,,,,
1983-12-08,,,0.2583332657814026,0.259655225276947,0.26174831986427305,,,,
1983-12-09,,,0.2566808760166168,0.2586637854576111,0.26053653061389925,,,,
1983-12-12,,,0.2572317719459533,0.2580028235912323,0.25965523421764375,,,,
1983-12-13,,,0.2594349384307861,0.2580028235912323,0.2594349205493927,,,,
1983-12-14,,,0.2599855959415436,0.2583332896232605,0.2594349205493927,,,,
1983-12-15,,,0.2583332657814026,0.2583332896232605,0.25899425745010374,,,,
1983-12-16,,,0.2583332657814026,0.2586637675762177,0.25866377651691436,0.26224406957626345,,,
1983-12-19,,,0.2583332657814026,0.2588840663433075,0.2584434449672699,0.26158309280872344,,,
1983-12-20,,,0.2594349384307861,0.2588840663433075,0.25844344496726984,0.2610873579978943,,,
1983-12-21,,,0.2599855959415436,0.2588840663433075,0.25860867798328396,0.2606742367148399,,,
1983-12-22,,,0.2583332657814026,0.2588840663433075,0.25860867798328396,0.26017849892377853,,,
1983-12-23,,,0.2588841021060943,0.25899423360824586,0.2588290005922317,0.25968276560306547,,,
1983-12-26,,,0.2588841021060943,0.25910440087318415,0.2589942336082458,0.2593247339129448,,,
1983-12-27,,,0.2583332657814026,0.25888406634330746,0.2588840663433075,0.2591594934463501,,,
1983-12-28,,,0.2610872685909271,0.25910440087318415,0.25899423360824586,0.2592145770788193,,,
1983-12-29,,,0.2605365812778473,0.2595450639724731,0.2592145651578903,0.25910441130399703,,,
1983-12-30,,,0.2594349384307861,0.2596552312374115,0.25932473242282866,0.2589942544698715,,,
1984-01-02,,,0.2594349384307861,0.25976539850234986,0.259434899687767,0.2589391723275184,,,
1984-01-03,,,0.2687987685203552,0.26185849905014036,0.26037128269672394,0.25940736383199686,,,
1984-01-04,,,0.2820183634757995,0.2660447180271149,0.2625745594501495,0.2605916187167167,,,
1984-01-05,,,0.2809167802333832,0.27012075781822203,0.2648329108953476,0.26172079443931573,,,
1984-01-06,,,0.2743069231510162,0.27309515476226803,0.2663751929998398,0.26260209679603574,,,
1984-01-09,,,0.2732052505016327,0.27584921717643734,0.2678073078393936,0.2634007707238197,,,
1984-01-10,,,0.2732052505016327,0.27673051357269285,0.2692945063114166,0.264089286327362,,,
1984-01-11,,,0.2748578190803528,0.2752984046936035,0.2706715613603592,0.2648328974843025,,,
1984-01-12,,,0.2754085958003998,0.27419676780700686,0.2721587628126144,0.2656866639852523,,,
1984-01-13,,,0.2798152267932892,0.27529842853546144,0.27419679164886473,0.26676076203584664,,,
1984-01-16,,,0.2853232622146606,0.277722030878067,0.2767856240272522,0.2681102618575096,,,
1984-01-17,,,0.2864249348640442,0.28036596775054934,0.2785482406616211,0.26945976167917246,,,
1984-01-18,,,0.2902806997299194,0.28345054388046265,0.27937447428703305,0.27097451686859125,,,
1984-01-19,,,0.2869756817817688,0.28576396107673646,0.2799803644418716,0.27240663766860956,,,
1984-01-20,,,0.2869756817817688,0.2871960520744324,0.28124724030494686,0.2738112166523933,,,
1984-01-23,,,0.2864249348640442,0.28741638660430907,0.282569208741188,0.2751882582902908,,,
1984-01-24,,,0.2853232622146606,0.2871960520744324,0.2837810099124908,0.2765377581119537,,,
1984-01-25,,,0.2809167802333832,0.2853232681751251,0.2843869060277938,0.2775292336940765,,,
1984-01-26,,,0.2754085958003998,0.28300985097885134,0.2843869060277938,0.2782728344202041,,,
1984-01-27,,,0.2748578190803528,0.2805862784385681,0.2838911652565002,0.2790439784526825,0.2683801656961441,,
1984-01-30,,,0.2792644798755646,0.27915418744087217,0.28328528702259065,0.28003545552492143,0.26853439927101136,,
1984-01-31,,,0.2770610451698303,0.27750174403190614,0.28234889805316926,0.28044856935739515,0.26868862748146055,,
1984-02-01,,,0.2754085958003998,0.27640010714530944,0.2808616876602173,0.28011808097362517,0.26883183896541596,,
1984-02-02,,,0.2737561762332916,0.27606962323188783,0.27953973710536956,0.2797600507736206,0.26894200205802915,,
1984-02-03,,,0.2743069231510162,0.27595944404602046,0.27827286124229433,0.2797600507736206,0.2690521651506424,,
1984-02-06,,,0.2715528011322021,0.274417108297348,0.2767856478691101,0.2796774283051491,0.2691623264551163,,
1984-02-07,,,0.2704512476921081,0.2730951488018036,0.27529844641685486,0.2795397281646729,0.26933858990669246,,
1984-02-08,,,0.2693496346473694,0.2718833565711975,0.27414173185825347,0.27926431894302367,0.26952587068080897,,
1984-02-09,,,0.2643922865390777,0.2700105786323547,0.2730401009321213,0.2787135034799576,0.2695589184761047,,
1984-02-10,,,0.2632907032966614,0.26780733466148376,0.2718833893537521,0.2778872773051262,0.269591971039772,,
