Date,GRADE,GPS,NVR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1985-07-22,,,23.39406967163086,,,,,,
1985-07-23,,,23.20153045654297,,,,,,
1985-07-24,,,22.720165252685547,,,,,,
1985-07-25,,,23.105255126953125,,,,,,
1985-07-26,,,23.008983612060547,23.086000823974608,,,,,
1985-07-29,,,22.81643867492676,22.970474624633788,,,,,
1985-07-30,,,22.335079193115234,22.79718437194824,,,,,
1985-07-31,,,21.661176681518555,22.585386657714842,,,,,
1985-08-01,,,21.757448196411133,22.315825271606446,,,,,
1985-08-02,,,22.046260833740234,22.123280715942382,22.604640769958497,,,,
1985-08-05,,,22.14253807067871,21.988500595092773,22.47948760986328,,,,
1985-08-06,,,22.046260833740234,21.930736923217772,22.363960647583006,,,,
1985-08-07,,,21.94999313354492,21.98850021362305,22.286943435668945,,,,
1985-08-08,,,22.046260833740234,22.046262741088867,22.181044006347655,,,,
1985-08-09,,,21.85371971130371,22.007754516601562,22.065517616271972,,,,
1985-08-12,,,21.757448196411133,21.930736541748047,21.95961856842041,,,,
1985-08-13,,,21.757448196411133,21.872974014282228,21.90185546875,,,,
1985-08-14,,,21.757448196411133,21.83446502685547,21.91148262023926,,,,
1985-08-15,,,21.757448196411133,21.77670249938965,21.91148262023926,,,,
1985-08-16,,,21.372360229492188,21.680430603027343,21.844092559814452,22.224366664886475,,,
1985-08-19,,,20.891000747680664,21.50714111328125,21.71893882751465,22.099213218688966,,,
1985-08-20,,,20.987276077270508,21.353106689453124,21.613040351867674,21.98850049972534,,,
1985-08-21,,,20.891000747680664,21.17981719970703,21.50714111328125,21.897042274475098,,,
1985-08-22,,,20.987276077270508,21.025782775878906,21.401242637634276,21.791143321990965,,,
1985-08-23,,,20.891000747680664,20.929510879516602,21.304970741271973,21.685244178771974,,,
1985-08-26,,,20.602184295654297,20.87174758911133,21.18944435119629,21.574531459808348,,,
1985-08-27,,,20.40964126586914,20.756220626831055,21.05466365814209,21.478259563446045,,,
1985-08-28,,,20.79472923278809,20.73696632385254,20.958391761779787,21.43493719100952,,,
1985-08-29,,,20.987276077270508,20.73696632385254,20.881374549865722,21.39642858505249,,,
1985-08-30,,,20.891000747680664,20.73696632385254,20.83323860168457,21.338665580749513,,,
1985-09-02,,,20.891000747680664,20.79472961425781,20.83323860168457,21.27608871459961,,,
1985-09-03,,,20.987276077270508,20.910256576538085,20.83323860168457,21.223139476776122,,,
1985-09-04,,,20.79472923278809,20.910256576538085,20.823611450195312,21.165376281738283,,,
1985-09-05,,,20.50591278076172,20.813983917236328,20.775475120544435,21.088358879089355,,,
1985-09-06,,,20.40964126586914,20.717712020874025,20.72733917236328,21.016154956817626,,,
1985-09-09,,,20.120826721191406,20.56367721557617,20.67920341491699,20.934323883056642,,,
1985-09-10,,,19.735740661621094,20.313370132446288,20.611813354492188,20.833238506317137,,,
1985-09-11,,,18.96556282043457,19.947536849975585,20.428896713256837,20.69364423751831,,,
1985-09-12,,,18.773021697998047,19.600958633422852,20.20747127532959,20.544422912597657,,,
1985-09-13,,,18.48420143127441,19.215870666503907,19.966791343688964,20.40001497268677,,,
1985-09-16,,,18.773021697998047,18.946309661865236,19.754993438720703,20.294116020202637,,,
1985-09-17,,,18.773021697998047,18.753765869140626,19.53356800079346,20.183403301239014,,,
1985-09-18,,,19.35065078735352,18.830783462524415,19.38916015625,20.106385803222658,,,
1985-09-19,,,19.63946914672852,19.004072952270512,19.30251579284668,20.038995456695556,,,
