Date,GRADE,GPS,WY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.1035492420196533,,,,,,
1983-11-22,,,2.1924314498901367,,,,,,
1983-11-23,,,2.1405835151672363,,,,,,
1983-11-24,,,2.1405835151672363,,,,,,
1983-11-25,,,2.14799165725708,2.1450278759002686,,,,,
1983-11-28,,,2.1405835151672363,2.152434730529785,,,,,
1983-11-29,,,2.1405835151672363,2.142065143585205,,,,,
1983-11-30,,,2.14799165725708,2.143546772003174,,,,,
1983-12-01,,,2.1405835151672363,2.143546772003174,,,,,
1983-12-02,,,2.1035492420196533,2.1346582889556887,2.1398430824279786,,,,
1983-12-05,,,2.1257715225219727,2.1316958904266357,2.1420653104782104,,,,
1983-12-06,,,2.1035492420196533,2.124289035797119,2.133177089691162,,,,
1983-12-07,,,2.110957622528076,2.1168822288513183,2.130214500427246,,,,
1983-12-08,,,2.09614372253418,2.107994270324707,2.1257705211639406,,,,
1983-12-09,,,2.073923110961914,2.102069044113159,2.1183636665344237,,,,
1983-12-12,,,2.0665149688720703,2.0902177333831786,2.110956811904907,,,,
1983-12-13,,,2.051701068878174,2.0798480987548826,2.102068567276001,,,,
1983-12-14,,,1.9998531341552732,2.0576272010803223,2.0872547149658205,,,,
1983-12-15,,,1.9850404262542725,2.035406541824341,2.071700406074524,,,,
1983-12-16,,,1.970225811004639,2.0146670818328856,2.0583680629730225,2.0991055727005006,,,
1983-12-19,,,1.970225811004639,1.9954092502593994,2.0428134918212892,2.0924394011497496,,,
1983-12-20,,,1.9850404262542725,1.9820771217346191,2.030962610244751,2.0820698499679566,,,
1983-12-21,,,2.0294814109802246,1.9880027770996094,2.022814989089966,2.076514744758606,,,
1983-12-22,,,2.014667510986328,1.9939281940460205,2.0146673679351808,2.0702189445495605,,,
1983-12-23,,,2.02207350730896,2.0042977333068848,2.009482407569885,2.0639230370521546,,,
1983-12-26,,,2.02207350730896,2.014667272567749,2.005038261413574,2.057997536659241,,,
1983-12-27,,,2.014667510986328,2.02059268951416,2.0013349056243896,2.0517017364501955,,,
1983-12-28,,,2.0072593688964844,2.0161482810974123,2.002075529098511,2.0446651220321654,,,
1983-12-29,,,1.992446780204773,2.011704134941101,2.0028161644935607,2.037258285284042,,,
1983-12-30,,,1.9998531341552732,2.007260060310364,2.005778896808624,2.0320734798908235,,,
1984-01-02,,,1.9998531341552732,2.0028159856796264,2.008741629123688,2.0257775604724886,,,
1984-01-03,,,1.9998531341552732,1.9998531103134156,2.0102228999137877,2.0205927550792695,,,
1984-01-04,,,2.02207350730896,2.0028159379959107,2.0094821095466613,2.0161485493183138,,,
1984-01-05,,,2.073923110961914,2.0191112041473387,2.01540766954422,2.0150375187397005,,,
1984-01-06,,,2.059108257293701,2.0309622287750244,2.019111144542694,2.0142967760562898,,,
1984-01-09,,,2.073923110961914,2.0457762241363526,2.0242961049079895,2.014667183160782,,,
1984-01-10,,,2.073923110961914,2.060590219497681,2.030221664905548,2.015778285264969,,,
1984-01-11,,,2.0665149688720703,2.0694785118103027,2.0361472249031065,2.019111377000809,,,
1984-01-12,,,2.073923110961914,2.0694785118103027,2.0442948579788207,2.0235555112361907,,,
1984-01-13,,,2.036888599395752,2.065034580230713,2.0479984045028687,2.0268886506557466,,,
1984-01-16,,,2.036888599395752,2.0576276779174805,2.0517019510269163,2.030221790075302,,,
1984-01-17,,,2.036888599395752,2.050220775604248,2.0554054975509644,2.032814198732376,,,
1984-01-18,,,2.0294814109802246,2.0428140640258787,2.0561462879180907,2.032814198732376,,,
1984-01-19,,,1.9850404262542725,2.0250375270843506,2.0472580194473267,2.0313328444957732,,,
1984-01-20,,,1.9554126262664795,2.008742332458496,2.0368884563446046,2.0279998004436495,,,
1984-01-23,,,1.9299781322479248,1.9873602390289307,2.0224939584732056,2.0233950316905975,,,
1984-01-24,,,1.9449403285980225,1.9689705848693848,2.0095956802368162,2.0199086725711823,,,
1984-01-25,,,1.952420353889465,1.953558373451233,1.998186218738556,2.017166721820831,,,
1984-01-26,,,1.959901571273804,1.9485306024551392,1.9867840647697448,2.0155394613742827,,,
1984-01-27,,,1.9748611450195312,1.9524203062057495,1.980581319332123,2.014289861917496,2.0465139532089234,,
1984-01-30,,,1.9224969148635864,1.9509240627288817,1.9691421508789062,2.0104220509529114,2.042892906665802,,
1984-01-31,,,1.9224969148635864,1.9464353799819947,1.9577029824256897,2.006554239988327,2.037494215965271,,
1984-02-01,,,1.9299781322479248,1.9419469356536865,1.9477526545524597,2.0019494712352754,2.0332821083068846,,
1984-02-02,,,1.9150177240371704,1.9329701662063599,1.9407503843307494,1.994004201889038,2.0287707924842833,,
1984-02-03,,,1.8850939273834229,1.9150167226791381,1.9337185144424438,1.985303485393524,2.0235128378868104,,
1984-02-06,,,1.8252508640289309,1.8955675125122071,1.9232457876205444,1.972869873046875,2.0172061848640443,,
1984-02-07,,,1.7803672552108765,1.8671415805816651,1.9067884802818298,1.9581920802593231,2.010001859664917,,
1984-02-08,,,1.7055609226226809,1.8222581386566161,1.8821025371551514,1.9401443779468537,2.001153244972229,,
1984-02-09,,,1.7429652214050293,1.787847638130188,1.860408902168274,1.9235964834690094,1.9932008790969848,,
1984-02-10,,,1.80280876159668,1.7713906049728394,1.8432036638259888,1.9118924915790558,1.9871860694885255,,
1984-02-13,,,1.7953288555145264,1.7654062032699585,1.8304868578910827,1.8998145043849946,1.9805772161483766,,
1984-02-14,,,1.8402113914489744,1.7773750305175782,1.8222583055496215,1.8899806439876556,1.9753104591369628,,
