Date,GRADE,GPS,TRMB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1990-07-20,,,1.7291669845581057,,,,,,
1990-07-23,,,1.5833330154418943,,,,,,
1990-07-24,,,1.5833330154418943,,,,,,
1990-07-25,,,1.5416669845581057,,,,,,
1990-07-26,,,1.625,1.6125,,,,,
1990-07-27,,,1.5833330154418943,1.5833332061767578,,,,,
1990-07-30,,,1.5416669845581057,1.575,,,,,
1990-07-31,,,1.5416669845581057,1.5666667938232421,,,,,
1990-08-01,,,1.5,1.558333396911621,,,,,
1990-08-02,,,1.4166669845581057,1.516666793823242,1.5645833969116212,,,,
1990-08-03,,,1.375,1.4750001907348633,1.5291666984558105,,,,
1990-08-06,,,1.25,1.4166667938232422,1.495833396911621,,,,
1990-08-07,,,1.375,1.383333396911621,1.4750000953674316,,,,
1990-08-08,,,1.3333330154418943,1.35,1.4541666984558106,,,,
1990-08-09,,,1.375,1.3416666030883788,1.4291666984558105,,,,
1990-08-10,,,1.375,1.3416666030883788,1.4083333969116212,,,,
1990-08-13,,,1.375,1.366666603088379,1.3916666984558106,,,,
1990-08-14,,,1.2916669845581057,1.35,1.3666666984558105,,,,
1990-08-15,,,1.3333330154418943,1.35,1.35,,,,
1990-08-16,,,1.25,1.325,1.3333333015441895,1.4489583492279052,,,
1990-08-17,,,1.2916669845581057,1.308333396911621,1.325,1.4270833492279054,,,
1990-08-20,,,1.1666669845581057,1.2666667938232423,1.3166666984558106,1.4062500476837159,,,
1990-08-21,,,1.1666669845581057,1.2416667938232422,1.2958333969116211,1.3854167461395264,,,
1990-08-22,,,1.1666669845581057,1.2083335876464845,1.2791667938232423,1.3666667461395263,,,
1990-08-23,,,1.2083330154418943,1.2000001907348634,1.2625000953674317,1.3458333969116212,,,
1990-08-24,,,1.125,1.1666667938232422,1.2375000953674316,1.3229167461395264,,,
1990-08-27,,,1.125,1.1583333969116212,1.2125000953674316,1.302083396911621,,,
1990-08-28,,,1.125,1.15,1.195833396911621,1.2812500476837159,,,
1990-08-29,,,1.125,1.1416666030883789,1.1750000953674316,1.2625000476837158,,,
1990-08-30,,,1.0833330154418943,1.116666603088379,1.1583333969116212,1.2458333492279052,,,
1990-08-31,,,1.1458330154418943,1.1208332061767579,1.14375,1.234375,,,
1990-09-03,,,1.1458330154418943,1.1249998092651365,1.1416666030883789,1.2291666507720946,,,
1990-09-04,,,1.0833330154418943,1.1166664123535155,1.1333332061767578,1.2145833015441894,,,
1990-09-05,,,1.0416669845581057,1.0999998092651366,1.1208332061767576,1.2,,,
1990-09-06,,,1.0416669845581057,1.0916666030883788,1.104166603088379,1.1833333492279052,,,
1990-09-07,,,1.0,1.0625,1.0916666030883788,1.1645833492279052,,,
1990-09-10,,,0.9583330154418944,1.025,1.0749999046325684,1.14375,,,
1990-09-11,,,1.0208330154418943,1.0125,1.0645832061767577,1.1302083015441895,,,
1990-09-12,,,0.9583330154418944,0.9958332061767579,1.0479165077209474,1.1114583015441895,,,
1990-09-13,,,1.0,0.9874998092651366,1.0395832061767578,1.0989583015441895,,,
1990-09-14,,,1.0,0.9874998092651367,1.0249999046325684,1.0843749523162842,,,
1990-09-17,,,1.1666669845581057,1.0291666030883788,1.0270833015441894,1.0843749523162842,,,
1990-09-18,,,1.0833330154418943,1.041666603088379,1.0270833015441894,1.0802082538604736,,,
1990-09-19,,,1.125,1.075,1.035416603088379,1.0781249046325683,,,
1990-09-20,,,1.0833330154418943,1.0916666030883788,1.0395832061767578,1.0718749046325684,,,
1990-09-21,,,1.1666669845581057,1.125,1.0562499046325684,1.0739582538604737,,,
1990-09-24,,,1.0833330154418943,1.1083332061767577,1.0687499046325684,1.0718749046325684,,,
1990-09-25,,,1.125,1.116666603088379,1.0791666030883789,1.0718749046325684,,,
1990-09-26,,,1.125,1.116666603088379,1.0958333015441895,1.0718749046325684,,,
1990-09-27,,,1.0833330154418943,1.116666603088379,1.104166603088379,1.0718749046325684,1.2399999809265136,,
1990-09-28,,,1.125,1.108333206176758,1.116666603088379,1.0708332538604737,1.2279166412353515,,
1990-10-01,,,1.125,1.116666603088379,1.1124999046325683,1.069791603088379,1.2187499809265137,,
1990-10-02,,,1.1666669845581057,1.125,1.1208333015441894,1.0739583015441894,1.210416660308838,,
1990-10-03,,,1.0833330154418943,1.116666603088379,1.116666603088379,1.0760416030883788,1.2012499809265136,,
1990-10-04,,,1.2916669845581057,1.1583333969116212,1.1375,1.088541603088379,1.1945833206176757,,
1990-10-05,,,1.25,1.183333396911621,1.1458333015441895,1.101041603088379,1.1879166603088378,,
1990-10-08,,,1.1666669845581057,1.1916667938232421,1.1541666984558105,1.1114583015441895,1.180416660308838,,
1990-10-09,,,1.1041669845581057,1.1791667938232424,1.152083396911621,1.115625,1.171666660308838,,
1990-10-10,,,1.0833330154418943,1.1791667938232422,1.1479166984558105,1.121875,1.1633333206176757,,
1990-10-11,,,1.125,1.145833396911621,1.152083396911621,1.128125,1.1574999809265136,,
1990-10-12,,,1.125,1.120833396911621,1.152083396911621,1.134375,1.1524999809265137,,
1990-10-15,,,1.1666669845581057,1.1208333969116213,1.1562500953674317,1.134375,1.1508333206176757,,
1990-10-16,,,1.125,1.125,1.152083396911621,1.1364583492279052,1.1458333206176758,,
1990-10-17,,,1.125,1.133333396911621,1.1562500953674317,1.1364583492279052,1.141666660308838,,
1990-10-18,,,1.1666669845581057,1.141666793823242,1.1437500953674316,1.1406250476837159,1.1375,,
