Date,GRADE,GPS,COP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,0.9158336520195008,,,,,,
1983-11-22,,,0.9632672071456908,,,,,,
1983-11-23,,,0.98151034116745,,,,,,
1983-11-24,,,0.98151034116745,,,,,,
1983-11-25,,,0.9742136001586914,0.9632670283317566,,,,,
1983-11-28,,,0.9742136001586914,0.9749430179595947,,,,,
1983-11-29,,,0.9888083934783936,0.9800512552261352,,,,,
1983-11-30,,,0.9742136001586914,0.9785919070243836,,,,,
1983-12-01,,,0.9778621196746826,0.9778622627258301,,,,,
1983-12-02,,,0.9669159650802612,0.976402735710144,0.9698348820209504,,,,
1983-12-05,,,0.98151034116745,0.9778620839118958,0.9764025509357452,,,,
1983-12-06,,,0.9596182703971864,0.9720240592956543,0.9760376572608948,,,,
1983-12-07,,,0.9632672071456908,0.9698347806930542,0.9742133438587188,,,,
1983-12-08,,,0.9523211121559144,0.9647265791893005,0.9712944209575654,,,,
1983-12-09,,,0.9523211121559144,0.9618076086044312,0.9691051721572876,,,,
1983-12-12,,,0.9523211121559144,0.955969762802124,0.9669159233570099,,,,
1983-12-13,,,0.9523211121559144,0.9545103311538696,0.963267195224762,,,,
1983-12-14,,,0.955969512462616,0.9530507922172546,0.9614427864551545,,,,
1983-12-15,,,0.9523211121559144,0.9530507922172549,0.9588886857032776,,,,
1983-12-16,,,0.9523211121559144,0.9530507922172549,0.9574292004108429,0.9636320412158966,,,
1983-12-19,,,0.9596182703971864,0.954510223865509,0.9552399933338165,0.9658212721347809,,,
1983-12-20,,,0.9523211121559144,0.954510223865509,0.9545102775096893,0.965273967385292,,,
1983-12-21,,,0.98151034116745,0.9596183896064758,0.9563345909118652,0.965273967385292,,,
1983-12-22,,,0.9778621196746826,0.9647265911102295,0.958888691663742,0.9650915563106537,,,
1983-12-23,,,0.9669159650802612,0.9676455616950989,0.9603481769561768,0.9647266745567322,,,
1983-12-26,,,0.9669159650802612,0.9691051006317138,0.9618076622486115,0.9643617928028106,,,
1983-12-27,,,0.9851597547531128,0.9756728291511536,0.9650915265083313,0.9641793608665467,,,
1983-12-28,,,1.0143496990203855,0.9822407007217407,0.9709295451641082,0.9661861658096313,,,
1983-12-29,,,1.007051944732666,0.9880786657333374,0.9764026284217835,0.9676456570625305,,,
1983-12-30,,,1.007051944732666,0.9961058616638183,0.9818757116794586,0.9696524560451507,,,
1984-01-02,,,1.007051944732666,1.0041330575942993,0.9866190791130066,0.9709295362234116,,,
1984-01-03,,,0.9778621196746826,1.0026735305786132,0.9891731798648834,0.9718417286872864,,,
1984-01-04,,,0.9997548460960388,0.9997545599937439,0.9909976303577424,0.9736661106348038,,,
1984-01-05,,,1.0143496990203855,1.0012141108512878,0.9946463882923127,0.9767675399780273,,,
1984-01-06,,,1.0216470956802368,1.004133141040802,1.00011950135231,0.9802338391542434,,,
1984-01-09,,,1.0471885204315186,1.0121604561805726,1.0081467568874358,0.9849772095680237,,,
1984-01-10,,,1.0800273418426514,1.0325935006141662,1.0176335155963898,0.9913625210523606,,,
1984-01-11,,,1.0982701778411863,1.0522965669631956,1.0260255634784698,0.998477554321289,,,
1984-01-12,,,1.0836763381958008,1.0661618947982787,1.0336880028247832,1.0050453156232835,,,
1984-01-13,,,1.0946221351623535,1.0807569026947021,1.0424450218677521,1.0121603667736054,,,
1984-01-16,,,1.0873243808746338,1.0887840747833253,1.050472265481949,1.0185456722974777,,,
1984-01-17,,,1.0727300643920898,1.087324619293213,1.0599590599536897,1.0245661199092866,,,
1984-01-18,,,1.076378345489502,1.082946252822876,1.0676214098930359,1.029309520125389,,,
1984-01-19,,,1.0946221351623535,1.0851354122161865,1.0756486535072327,1.0351475208997727,,,
1984-01-20,,,1.0982701778411863,1.0858650207519531,1.0833109617233276,1.0417152315378189,,,
1984-01-23,,,1.0946221351623535,1.087324571609497,1.088054323196411,1.0481005400419234,,,
1984-01-24,,,1.116513967514038,1.0960813522338868,1.0917029857635498,1.0546682506799698,,,
1984-01-25,,,1.1274608373641968,1.1062978506088257,1.094622051715851,1.0603238075971604,,,
1984-01-26,,,1.1311092376708984,1.1135952711105346,1.0993653416633606,1.066526672244072,,,
1984-01-27,,,1.1420553922653198,1.1223523139953613,1.1041086673736573,1.0732768446207046,1.0111386966705322,,
1984-01-30,,,1.1546385288238523,1.1343555927276612,1.110840082168579,1.080656173825264,1.0159147942066193,,
1984-01-31,,,1.1583383083343506,1.1427204608917236,1.1194009065628052,1.0896799832582473,1.0198162162303925,,
1984-02-01,,,1.1435359716415403,1.1459354877471923,1.1261166691780091,1.0968690395355225,1.0230567288398742,,
1984-02-02,,,1.1324336528778076,1.1462003707885742,1.1298978209495545,1.1027732372283936,1.0260751950740814,,
1984-02-03,,,1.1176306009292605,1.1413154125213623,1.1318338632583618,1.1075724124908448,1.0289435350894929,,
1984-02-06,,,1.1028269529342651,1.1309530973434447,1.132654345035553,1.110354334115982,1.0315158021450044,,
1984-02-07,,,1.0917255878448486,1.1176305532455444,1.1301755070686341,1.1109392464160919,1.0335741460323333,,
1984-02-08,,,1.0769219398498535,1.1043077468872071,1.1251216173171996,1.1098718345165253,1.0356283128261565,,
1984-02-09,,,1.1028269529342651,1.0983864068984985,1.1222933888435365,1.1108293652534484,1.0381276094913483,,
1984-02-10,,,1.1287323236465454,1.1006067514419555,1.120961081981659,1.112534874677658,1.041363936662674,,
1984-02-13,,,1.121330499649048,1.1043074607849122,1.1176302790641786,1.1142351806163788,1.0441603398323058,,
