Date,GRADE,GPS,EXR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2004-08-16,,,5.450080871582031,,,,,,
2004-08-17,,,5.454441547393799,,,,,,
2004-08-18,,,5.454441547393799,,,,,,
2004-08-19,,,5.463162422180176,,,,,,
2004-08-20,,,5.471880912780762,5.4588014602661135,,,,,
2004-08-23,,,5.471880912780762,5.463161468505859,,,,,
2004-08-24,,,5.659365177154541,5.5041461944580075,,,,,
2004-08-25,,,5.668085098266602,5.546874904632569,,,,,
2004-08-26,,,5.833769798278809,5.620996379852295,,,,,
2004-08-27,,,5.864288330078125,5.699477863311768,5.579139661788941,,,,
2004-08-30,,,5.877368450164795,5.780575370788574,5.621868419647217,,,,
2004-08-31,,,6.0168890953063965,5.852080154418945,5.678113174438477,,,,
2004-09-01,,,5.95149040222168,5.908761215209961,5.7278180599212645,,,,
2004-09-02,,,6.012526988983154,5.94451265335083,5.782754516601562,,,,
2004-09-03,,,5.95149040222168,5.961953067779541,5.830715465545654,,,,
2004-09-06,,,5.95149040222168,5.976777458190918,5.878676414489746,,,,
2004-09-07,,,6.0168890953063965,5.976777458190918,5.914428806304931,,,,
2004-09-08,,,5.95149040222168,5.976777458190918,5.942769336700439,,,,
2004-09-09,,,5.881726741790772,5.950617408752441,5.947565031051636,,,,
2004-09-10,,,5.929688930511475,5.9462571144104,5.954105091094971,5.766622376441956,,,
2004-09-13,,,6.026839733123779,5.961326980590821,5.9690522193908695,5.795460319519043,,,
2004-09-14,,,5.938919544219971,5.945733070373535,5.961255264282227,5.819684219360352,,,
2004-09-15,,,5.868585109710693,5.929152011871338,5.952964735031128,5.840391397476196,,,
2004-09-16,,,5.8597941398620605,5.924765491485596,5.9376914501190186,5.86022298336029,,,
2004-09-17,,,5.996066570281982,5.938041019439697,5.942149066925049,5.886432266235351,,,
2004-09-20,,,5.868585109710693,5.90639009475708,5.9338585376739506,5.906267476081848,,,
2004-09-21,,,5.921338081359863,5.902873802185058,5.924303436279297,5.919366121292114,,,
