Date,GRADE,GPS,TGT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.345451593399048,,,,,,
1983-11-22,,,1.3407150506973269,,,,,,
1983-11-23,,,1.350189208984375,,,,,,
1983-11-24,,,1.350189208984375,,,,,,
1983-11-25,,,1.3217648267745972,1.3416619777679444,,,,,
1983-11-28,,,1.302814245223999,1.3331345081329347,,,,,
1983-11-29,,,1.3075517416000366,1.3265018463134766,,,,,
1983-11-30,,,1.2791268825531006,1.3122893810272216,,,,,
1983-12-01,,,1.2601765394210815,1.294286847114563,,,,,
1983-12-02,,,1.2317519187927246,1.2762842655181885,1.3089731216430665,,,,
1983-12-05,,,1.2080649137496948,1.2573343992233277,1.295234453678131,,,,
1983-12-06,,,1.174901843070984,1.2308044195175172,1.2786531329154969,,,,
1983-12-07,,,1.2080649137496948,1.216592025756836,1.2644407033920289,,,,
1983-12-08,,,1.2033270597457886,1.2052221298217773,1.2497544884681702,,,,
1983-12-09,,,1.184376835823059,1.1957471132278443,1.2360156893730163,,,,
1983-12-12,,,1.2128024101257324,1.1966946125030518,1.2270145058631896,,,,
1983-12-13,,,1.2364896535873413,1.2090121746063232,1.2199082970619202,,,,
1983-12-14,,,1.1985896825790403,1.2071171283721924,1.2118545770645142,,,,
1983-12-15,,,1.1654263734817505,1.1995369911193847,1.2023795604705811,,,,
1983-12-16,,,1.1796387434005735,1.1985893726348875,1.197168242931366,1.2530706822872162,,,
1983-12-19,,,1.1985896825790403,1.1957468271255491,1.1962207198143004,1.2457275867462159,,,
1983-12-20,,,1.170164942741394,1.1824818849563596,1.1957470297813415,1.2372000813484192,,,
1983-12-21,,,1.1464765071868896,1.1720592498779296,1.189588189125061,1.2270144462585448,,,
1983-12-22,,,1.1796387434005735,1.1749017238616943,1.1872193574905396,1.218486922979355,,,
1983-12-23,,,1.193851351737976,1.177744245529175,1.1881668090820312,1.2120912492275238,,,
1983-12-26,,,1.193851351737976,1.1767965793609618,1.1862717032432557,1.2066431045532227,,,
1983-12-27,,,1.2128024101257324,1.1853240728378296,1.1839029788970947,1.2019056379795074,,,
1983-12-28,,,1.184376835823059,1.1929041385650634,1.1824816942214966,1.1971681356430053,,,
1983-12-29,,,1.1796387434005735,1.1929041385650634,1.1839029312133789,1.19314124584198,,,
1983-12-30,,,1.1796387434005735,1.1900616168975828,1.1839029312133789,1.1905355870723724,,,
1984-01-02,,,1.1796387434005735,1.1872190952301023,1.1820078372955323,1.1891142785549165,,,
1984-01-03,,,1.1654263734817505,1.177743887901306,1.181533980369568,1.1886405050754547,,,
1984-01-04,,,1.2033270597457886,1.1815339326858518,1.1872190356254577,1.1884036123752595,,,
1984-01-05,,,1.2175391912460327,1.189114022254944,1.1910090804100038,1.1891142189502717,,,
1984-01-06,,,1.2080649137496948,1.194799256324768,1.1924304366111755,1.1902986228466035,,,
1984-01-09,,,1.189113736152649,1.196694254875183,1.191956675052643,1.1891141891479493,,,
1984-01-10,,,1.193851351737976,1.2023792505264281,1.1900615692138672,1.186982274055481,,,
1984-01-11,,,1.155952215194702,1.192904281616211,1.1872191071510314,1.1848504006862641,,,
1984-01-12,,,1.193851351737976,1.1881667137145997,1.1886403679847715,1.1862716495990753,,,
1984-01-13,,,1.193851351737976,1.185324001312256,1.1900616288185117,1.1869822800159455,,,
1984-01-16,,,1.174901843070984,1.182481622695923,1.189587938785553,1.1857978880405426,,,
1984-01-17,,,1.184376835823059,1.1805867195129394,1.1914829850196837,1.186508482694626,,,
1984-01-18,,,1.184376835823059,1.186271643638611,1.1895879626274108,1.1884034991264343,,,
1984-01-19,,,1.155952215194702,1.178691816329956,1.1834292650222777,1.1872191727161407,,,
1984-01-20,,,1.1322640180587769,1.1663743495941161,1.1758491754531861,1.1841398060321808,,,
1984-01-23,,,1.1038390398025513,1.1521617889404296,1.1673217058181762,1.1796391904354095,,,
1984-01-24,,,1.1275265216827393,1.1407917261123657,1.1606892228126526,1.1753753960132598,,,
1984-01-25,,,1.108576774597168,1.1256317138671874,1.1559516787528992,1.1715853929519653,,,
1984-01-26,,,1.1322640180587769,1.1208940744400024,1.1497929453849793,1.1692166566848754,,,
1984-01-27,,,1.1322640180587769,1.1208940744400024,1.1436342120170593,1.1668479204177857,1.2047480273246765,,
1984-01-30,,,1.1180517673492432,1.1237366199493408,1.1379492044448853,1.163768571615219,1.2002000308036804,,
1984-01-31,,,1.141738772392273,1.1265790700912475,1.1336853981018067,1.1625841915607453,1.1962205052375794,,
1984-02-01,,,1.170164942741394,1.1388967037200928,1.13226420879364,1.1609260857105255,1.1926200199127197,,
1984-02-02,,,1.2128024101257324,1.1550043821334839,1.1379492282867432,1.1606892466545105,1.189872283935547,,
1984-02-03,,,1.174901843070984,1.1635319471359253,1.1422130107879638,1.159031093120575,1.1869350242614747,,
1984-02-06,,,1.1985896825790403,1.1796395301818847,1.1516880750656129,1.1595048904418945,1.1848505330085755,,
1984-02-07,,,1.184376835823059,1.188167142868042,1.1573731064796449,1.1590311646461486,1.1823870348930359,,
1984-02-08,,,1.155952215194702,1.1853245973587037,1.162110650539398,1.1590311646461486,1.179923541545868,,
1984-02-09,,,1.155952215194702,1.1739545583724973,1.1644794702529908,1.157136207818985,1.1778390550613402,,
1984-02-10,,,1.1764130592346191,1.1742568016052244,1.1688943743705749,1.1562642931938172,1.1767322778701783,,
1984-02-13,,,1.1621241569519043,1.1669636964797971,1.1733016133308412,1.1556254088878632,1.1758134627342225,,
