Date,GRADE,GPS,NWSA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2018-05-09,47.34445126190761,A,15.29043197631836,15.057047653198243,14.907940101623534,14.864411973953247,14.826924877166748,15.033196277618408,14.052699851989747
2018-05-10,48.857535543601124,A,15.36452293395996,15.188558006286621,14.965360260009765,14.895900440216064,14.844246616363526,15.036425971984864,14.06442596912384
2018-05-11,47.098150098574116,A,14.058677673339844,15.010740852355957,14.888491344451904,14.87089490890503,14.833242168426514,15.025860767364502,14.070216727256774
2018-05-14,45.873745680370604,A,14.65140151977539,14.905162048339843,14.873673343658448,14.864875030517577,14.828937225341797,15.021222801208497,14.077966103553772
2018-05-15,44.49187700900512,A,14.623617172241213,14.797730255126954,14.853298377990722,14.850519943237305,14.819105606079102,15.017319612503051,14.0860333776474
2018-05-16,42.84336831185052,B,14.716232299804688,14.682890319824219,14.86996898651123,14.844037055969238,14.813335666656494,15.014894886016846,14.094883489608765
2018-05-17,40.7637433641032,B,14.577310562133787,14.525447845458984,14.857002925872802,14.823199129104614,14.806260089874268,15.010344514846802,14.105277409553528
2018-05-18,41.94088111687473,B,14.475438117980955,14.608799934387207,14.809770393371583,14.798193645477294,14.79254446029663,15.00588007926941,14.116303997039795
2018-05-21,41.85801982617149,B,14.54026699066162,14.586573028564453,14.74586753845215,14.775966548919678,14.778652515411377,15.002063932418823,14.127928824424744
2018-05-22,41.85840091334634,B,14.456912994384766,14.553232192993164,14.675481224060059,14.762537622451783,14.764575252532959,14.995389060974121,14.139410977363587
2018-05-23,41.20095962171092,B,14.336517333984377,14.477289199829102,14.58008975982666,14.744014930725097,14.748831024169922,14.986957902908324,14.150565237998963
2018-05-24,40.99130502476784,B,14.373562812805176,14.436539649963379,14.480993747711182,14.723177003860474,14.732160625457764,14.977976665496826,14.161996088027955
2018-05-25,41.00235754038703,B,14.429131507873535,14.427278327941895,14.518039131164551,14.703265237808228,14.713267593383788,14.967618007659912,14.173522057533264
2018-05-28,41.10758329065923,B,14.429131507873535,14.405051231384277,14.495812129974365,14.684742736816407,14.69919038772583,14.95698317527771,14.184865303039551
2018-05-29,40.36435083151835,B,13.966066360473633,14.30688190460205,14.430057048797607,14.641677713394165,14.675481452941895,14.941257429122924,14.193527760505676
2018-05-30,40.69984779940051,B,14.262426376342772,14.29206371307373,14.384676456451416,14.627322721481324,14.654921340942384,14.92877142906189,14.204631333351136
2018-05-31,40.282510214713405,B,13.919757843017578,14.20130271911621,14.318921184539795,14.5879620552063,14.631953239440918,14.910741491317749,14.213930206298828
2018-06-01,39.53207739300701,B,14.086461067199709,14.132768630981445,14.28002347946167,14.544896936416626,14.625470275878905,14.893734254837035,14.223057599067689
2018-06-04,39.0555241565069,B,14.160552024841309,14.079052734375,14.242051982879639,14.493959760665893,14.618246421813964,14.87746792793274,14.232509756088257
2018-06-05,40.49382078742465,B,14.466174125671388,14.17907428741455,14.2429780960083,14.459229660034179,14.618987274169921,14.86591477394104,14.243809804916381
2018-06-06,41.183337529797875,B,14.54026699066162,14.23464241027832,14.263353061676025,14.421721410751342,14.623988399505615,14.852893257141114,14.255754399299622
2018-06-07,42.59491292822153,B,14.503219604492188,14.351334762573241,14.276318740844726,14.378656244277954,14.621395225524902,14.841342306137085,14.267193989753723
2018-06-08,44.22843642530333,C,14.65140151977539,14.46432285308838,14.298545742034912,14.408292436599732,14.621765689849854,14.829340095520019,14.279009046554565
2018-06-11,45.779934334679155,A,14.697707176208496,14.571753883361817,14.325403308868408,14.410607719421387,14.630286083221435,14.818169116973877,14.291055631637573
2018-06-12,46.59503782019431,A,14.818105697631836,14.642140197753907,14.410607242584229,14.420332145690917,14.636954212188721,14.8092147731781,14.304480795860291
2018-06-13,46.87649594256464,A,14.679187774658203,14.669924354553222,14.452283382415771,14.418479919433594,14.638250827789307,14.79868712425232,14.31670886039734
2018-06-14,47.678443026667935,A,14.836627960205078,14.736606025695801,14.543970394134522,14.431445789337157,14.643251914978027,14.79019413948059,14.329084601402283
2018-06-15,47.76020976514605,A,14.79958152770996,14.766242027282715,14.615282440185547,14.447652959823609,14.65214277267456,14.780410137176514,14.343056688308716
2018-06-18,47.93140935008055,A,14.873672485351562,14.801435089111328,14.686594486236572,14.464323234558105,14.659736976623535,14.772103490829467,14.356485595703125
2018-06-19,47.36214176852233,A,14.771799087524414,14.792173767089844,14.717156982421875,14.480067539215089,14.659736976623535,14.76287015914917,14.369313077926636
2018-06-20,47.61177128535912,A,14.827366828918455,14.821809577941895,14.745866966247558,14.504610013961791,14.663626747131348,14.753640184402466,14.383615097999574
2018-06-21,46.81636317085874,A,14.623617172241213,14.77920742034912,14.757906723022462,14.517112731933594,14.6614040184021,14.745042247772217,14.396668238639831
2018-06-22,46.22443482483689,A,14.65140151977539,14.749571418762207,14.757906723022462,14.528226232528686,14.663256282806396,14.74049635887146,14.409676189422607
2018-06-25,45.06340257031527,C,14.392085075378418,14.653253936767578,14.727344512939453,14.526373910903931,14.655662002563476,14.738696413040161,14.4213875579834
2018-06-26,44.40722810937703,B,14.373562812805176,14.57360668182373,14.682890224456788,14.546748733520507,14.644918880462647,14.732476778030396,14.433190426826478
2018-06-27,43.29312628631549,B,14.299471855163574,14.468027687072754,14.644918632507324,14.548601007461547,14.633990516662598,14.72763349533081,14.44407051563263
2018-06-28,43.05472457840188,B,14.382823944091797,14.41986904144287,14.599538230895996,14.571754312515258,14.621765613555908,14.727397899627686,14.455781602859497
2018-06-29,42.60662654441271,B,14.3550386428833,14.360596466064454,14.55508394241333,14.58518319129944,14.609355430603028,14.725779809951781,14.467583904266357
2018-07-02,42.13546597528461,B,14.030893325805664,14.288358116149903,14.47080602645874,14.578700256347656,14.590277118682861,14.721104383468628,14.476983017921448
2018-07-03,41.8206266673316,B,14.151291847229004,14.243903923034669,14.4087553024292,14.562956142425538,14.578793125152588,14.713306407928467,14.487398376464844
2018-07-04,41.655368650732406,B,14.151291847229004,14.214267921447753,14.341147804260254,14.543507385253907,14.567679538726807,14.704403791427612,14.497123322486878
2018-07-05,41.14239365341794,B,14.151291847229004,14.167961502075196,14.293915271759033,14.525910997390747,14.554898948669434,14.695225028991699,14.50684826850891
2018-07-06,40.9348971537105,B,14.262426376342772,14.14943904876709,14.255017757415771,14.506462240219117,14.54360013961792,14.688170204162597,14.517128887176513
2018-07-09,41.8069378911753,B,14.3550386428833,14.214268112182618,14.25131311416626,14.489328813552856,14.534709281921387,14.682041501998901,14.527780513763428
2018-07-10,42.90672536315222,B,14.605093955993652,14.305028533935547,14.274466228485107,14.478678226470947,14.53026382446289,14.681267013549805,14.539268174171447
2018-07-11,43.782015962094384,B,14.401348114013672,14.35503978729248,14.284653854370116,14.46478624343872,14.527300262451172,14.677902717590332,14.54978313922882
2018-07-12,44.46397033691239,B,14.410609245300291,14.406903266906738,14.287432384490966,14.443485307693479,14.521373023986815,14.672697916030884,14.560022211074829
2018-07-13,44.89657111783048,C,14.438390731811523,14.442096138000489,14.29576759338379,14.425425767898556,14.511185569763182,14.665193462371827,14.571044578552247
2018-07-16,44.501325976907914,C,14.271687507629396,14.425425910949707,14.319847011566162,14.395326519012452,14.493033409118652,14.654733200073242,14.581739711761475
2018-07-17,43.450491502271994,C,14.243904113769531,14.353187942504883,14.329108238220215,14.368931770324707,14.47469596862793,14.646388502120972,14.590823068618775
2018-07-18,43.10000302683388,B,14.401348114013672,14.353187942504883,14.354113864898682,14.347630834579467,14.456914291381835,14.641919584274293,14.600785713195801
2018-07-19,42.89541509080991,B,14.345778465270996,14.340221786499024,14.37356252670288,14.333738899230957,14.436539402008057,14.640393009185791,14.610194334983825
2018-07-20,42.56034658236371,B,14.151291847229004,14.28280200958252,14.362449073791504,14.308733415603637,14.43839168548584,14.635816926956176,14.617986164093018
2018-07-23,42.502699978665575,B,14.142030715942385,14.256870651245118,14.341148281097412,14.296230697631836,14.42820426940918,14.628570747375488,14.625731687545777
2018-07-24,42.14295218920855,B,13.938278198242188,14.195745468139648,14.274466705322265,14.274466466903686,14.414497489929198,14.616801548004151,14.632734608650207
2018-07-25,41.5820977650228,B,14.049416542053224,14.125359153747558,14.23927354812622,14.261963701248169,14.40116117477417,14.607248420715331,14.639786920547486
2018-07-26,40.94370081540092,B,13.975326538085938,14.051268768310546,14.195745277404786,14.241588830947876,14.389121494293214,14.59769079208374,14.646975083351135
2018-07-27,40.22078067201171,B,13.790101051330566,13.97903060913086,14.130916309356689,14.21334195137024,14.375414752960205,14.583979606628418,14.652822875976563
2018-07-30,39.83114362561604,B,13.845666885375977,13.919757843017578,14.088314247131347,14.204080629348756,14.361522750854492,14.570087633132935,14.658764386177063
2018-07-31,40.344969131477335,B,13.956802368164062,13.923462677001954,14.059604072570801,14.194356155395507,14.351520538330078,14.55804789543152,14.665813889503479
2018-08-01,40.51183545388156,B,13.956802368164062,13.90493984222412,14.01514949798584,14.18463168144226,14.343926239013673,14.546378631591796,14.672725324630738
2018-08-02,40.70359737287537,B,13.901235580444336,13.8901216506958,13.970695209503173,14.172128868103027,14.334479694366456,14.53332015991211,14.679266872406005
2018-08-03,41.43481637683659,B,13.966066360473633,13.925314712524415,13.952172660827637,14.15731086730957,14.325218391418456,14.519242992401123,14.68608654499054
2018-08-06,41.916702034861764,B,14.003108024597168,13.956802940368652,13.938280391693116,14.139714336395263,14.31669792175293,14.50794415473938,14.692539100646973
2018-08-07,42.13311121440221,B,14.021632194519045,13.969768905639649,13.9466157913208,14.110541248321534,14.317809238433838,14.496645345687867,14.699774684906005
2018-08-08,42.38361533206384,B,14.021632194519045,13.982734870910644,13.943837356567382,14.091555452346801,14.312993354797364,14.483957347869874,14.706780133247376
2018-08-09,43.09690740727739,B,14.132768630981444,14.029041481018066,13.959581565856933,14.077663421630863,14.317253570556641,14.47460340499878,14.71392701625824
2018-08-10,39.79506911758831,B,12.224937438964844,13.680815696716309,13.803065204620362,13.966990756988528,14.280023097991943,14.452746686935425,14.71121256351471
2018-08-13,37.089426641572025,B,12.576868057250977,13.395567703247071,13.67618532180786,13.882249784469604,14.248349418640137,14.433297920227051,14.708370661735534
2018-08-14,34.39049681145707,B,12.678740501403809,13.126989364624023,13.548379135131835,13.803991603851319,14.212600746154784,14.415794010162353,14.70663646697998
2018-08-15,31.683054026585364,B,12.660218238830566,12.854706573486329,13.418720722198486,13.716935110092162,14.174999771118165,14.39949408531189,14.704855690002441
2018-08-16,28.908639222890884,B,12.87322998046875,12.60279884338379,13.315920162200928,13.64330768585205,14.142399978637695,14.381897602081299,14.703127379417419
2018-08-17,30.982087732608807,B,12.87322998046875,12.73245735168457,13.206636524200439,13.579404592514038,14.106836547851563,14.364301118850708,14.697993087768555
2018-08-20,31.604795667466117,B,12.567605018615724,12.73060474395752,13.063086223602294,13.500683307647705,14.064234504699707,14.347260293960572,14.690732321739198
2018-08-21,32.04978672439738,B,12.567605018615724,12.708377647399903,12.917683506011963,13.432149648666382,14.019224491119385,14.328089351654052,14.683287453651428
2018-08-22,32.726829389655755,B,12.641695976257324,12.704673194885254,12.779689884185792,13.361763620376587,13.978474655151366,14.308362741470336,14.676581254005432
2018-08-23,32.35944778802051,B,12.41942310333252,12.613911819458007,12.6083553314209,13.283968448638916,13.930130558013916,14.286691236495972,14.666324276924133
2018-08-24,31.901024680414807,B,12.410162925720217,12.5212984085083,12.626877880096437,13.214971542358398,13.882342185974121,14.267242479324342,14.655468673706055
2018-08-27,31.96480680393334,B,12.271242141723633,12.462025833129882,12.596315288543703,13.136250305175782,13.830293579101562,14.24501527786255,14.644700918197632
2018-08-28,31.89380914827012,B,12.234197616577148,12.395344352722168,12.551861000061036,13.050120067596435,13.779541549682618,14.219639263153077,14.633195614814758
2018-08-29,31.89761076465371,B,12.354595184326172,12.337924194335937,12.521298694610596,12.970009708404541,13.73008611679077,14.19685643196106,14.622384352684021
2018-08-30,32.47820462830518,B,12.24346160888672,12.30273189544678,12.458321857452393,12.88712100982666,13.682483005523682,14.17194351196289,14.611017422676086
