Date,GRADE,GPS,CVX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,1.6734353303909302,,,,,,
1983-11-22,,,1.7103509902954102,,,,,,
1983-11-23,,,1.7226542234420776,,,,,,
1983-11-24,,,1.7226542234420776,,,,,,
1983-11-25,,,1.728807806968689,1.711580514907837,,,,,
1983-11-28,,,1.7226542234420776,1.7214242935180664,,,,,
1983-11-29,,,1.74726402759552,1.7288069009780884,,,,,
1983-11-30,,,1.704198718070984,1.7251157999038695,,,,,
1983-12-01,,,1.6980451345443726,1.7201939821243286,,,,,
1983-12-02,,,1.6795891523361206,1.710350251197815,1.710965383052826,,,,
1983-12-05,,,1.7349605560302734,1.7128115177154541,1.7171179056167603,,,,
1983-12-06,,,1.7226542234420776,1.7078895568847656,1.718348228931427,,,,
1983-12-07,,,1.6980451345443726,1.7066588401794434,1.7158873200416564,,,,
1983-12-08,,,1.6857398748397827,1.7041977882385253,1.712195885181427,,,,
1983-12-09,,,1.704198718070984,1.709119701385498,1.7097349762916565,,,,
1983-12-12,,,1.7226542234420776,1.7066584348678588,1.7097349762916565,,,,
1983-12-13,,,1.7165025472640991,1.7054280996322633,1.7066588282585144,,,,
1983-12-14,,,1.704198718070984,1.7066588163375855,1.7066588282585144,,,,
1983-12-15,,,1.6918931007385254,1.707889461517334,1.7060436248779296,,,,
1983-12-16,,,1.6857398748397827,1.7041976928710938,1.706658697128296,1.7088120400905609,,,
1983-12-19,,,1.642674207687378,1.6882016897201537,1.6974300622940064,1.7072739839553832,,,
1983-12-20,,,1.5811517238616943,1.6611315250396728,1.683279812335968,1.7008140206336975,,,
1983-12-21,,,1.648826241493225,1.650057029724121,1.6783579230308532,1.697122621536255,,,
1983-12-22,,,1.648826241493225,1.641443657875061,1.6746665596961976,1.6934312224388122,,,
1983-12-23,,,1.6549789905548096,1.6352914810180663,1.6697445869445802,1.6897397816181183,,,
1983-12-26,,,1.6549789905548096,1.6377524375915526,1.6629770636558532,1.6863560199737548,,,
1983-12-27,,,1.6795891523361206,1.657439923286438,1.6592857241630554,1.6829722762107848,,,
1983-12-28,,,1.7165025472640991,1.6709751844406129,1.6605161070823669,1.6835874676704408,,,
1983-12-29,,,1.6980451345443726,1.6808189630508423,1.6611313104629517,1.6835874676704408,,,
