Date,GRADE,GPS,TER,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,8.329663276672363,,,,,,
1983-11-22,,,8.503194808959961,,,,,,
1983-11-23,,,8.24289608001709,,,,,,
1983-11-24,,,8.24289608001709,,,,,,
1983-11-25,,,8.156131744384766,8.294956398010253,,,,,
1983-11-28,,,8.040437698364258,8.237111282348632,,,,,
1983-11-29,,,8.06936264038086,8.150344848632812,,,,,
1983-11-30,,,8.156131744384766,8.132991981506347,,,,,
1983-12-01,,,8.040437698364258,8.092500305175781,,,,,
1983-12-02,,,8.387508392333984,8.138775634765626,8.21686601638794,,,,
1983-12-05,,,8.503194808959961,8.231327056884766,8.234219169616699,,,,
1983-12-06,,,8.271815299987793,8.271817588806153,8.211081218719482,,,,
1983-12-07,,,8.387508392333984,8.318092918395996,8.225542449951172,,,,
1983-12-08,,,8.358585357666016,8.381722450256348,8.237111377716065,,,,
1983-12-09,,,8.503194808959961,8.404859733581542,8.271817684173584,,,,
1983-12-12,,,8.329663276672363,8.370153427124023,8.300740242004395,,,,
1983-12-13,,,8.156131744384766,8.347016716003418,8.309417152404786,,,,
1983-12-14,,,8.011513710021973,8.271817779541015,8.294955348968506,,,,
1983-12-15,,,7.866903781890869,8.173481464385986,8.277601957321167,,,,
1983-12-16,,,8.098282814025879,8.09249906539917,8.248679399490356,8.232772707939148,,,
1983-12-19,,,8.011513710021973,8.028869152069092,8.199511289596558,8.21686522960663,,,
1983-12-20,,,8.271815299987793,8.052005863189697,8.199511289596558,8.20529625415802,,,
1983-12-21,,,8.098282814025879,8.069359683990479,8.170588731765747,8.198065590858459,,,
1983-12-22,,,8.300740242004395,8.156126976013184,8.164804220199585,8.200957798957825,,,
1983-12-23,,,8.387508392333984,8.213972091674805,8.153235578536988,8.212526631355285,,,
1983-12-26,,,8.387508392333984,8.289171028137208,8.15902009010315,8.229880166053771,,,
1983-12-27,,,8.24289608001709,8.283387184143066,8.167696523666383,8.238556838035583,,,
1983-12-28,,,8.156131744384766,8.294956970214844,8.18215832710266,8.238556838035583,,,
1983-12-29,,,8.06936264038086,8.248681449890137,8.20240421295166,8.240003085136413,,,
1983-12-30,,,8.329663276672363,8.237112426757813,8.225542259216308,8.237110829353332,,,
1984-01-02,,,8.329663276672363,8.225543403625489,8.257357215881347,8.228434252738953,,,
1984-01-03,,,8.445352554321289,8.266034698486328,8.274710941314698,8.237111115455628,,,
1984-01-04,,,8.561042785644531,8.347016906738281,8.320986938476562,8.245787835121154,,,
1984-01-05,,,8.763497352600098,8.485843849182128,8.367262649536134,8.26603343486786,,,
1984-01-06,,,8.850262641906738,8.589963722229005,8.413538074493408,8.283386826515198,,,
1984-01-09,,,8.908110618591309,8.705653190612793,8.46559829711914,8.312309193611146,,,
1984-01-10,,,9.02380084991455,8.821342849731446,8.543688774108887,8.355692648887635,,,
1984-01-11,,,8.93703556060791,8.896541404724122,8.6217791557312,8.401968741416932,,,
1984-01-12,,,8.93703556060791,8.931249046325684,8.708546447753907,8.455475330352783,,,
1984-01-13,,,8.792423248291016,8.919681167602539,8.75482244491577,8.49018235206604,,,
1984-01-16,,,8.821342468261719,8.902327537536621,8.803990364074707,8.530673789978028,,,
1984-01-17,,,8.850262641906738,8.867619895935059,8.844481372833252,8.559596157073974,,,
1984-01-18,,,8.908110618591309,8.861834907531739,8.87918815612793,8.600087547302246,,,
1984-01-19,,,8.734580039978027,8.821343803405762,8.876296424865723,8.621779537200927,,,
1984-01-20,,,8.271815299987793,8.717222213745117,8.818451690673829,8.615994882583617,,,
1984-01-23,,,8.040437698364258,8.561041259765625,8.731684398651122,8.598641347885131,,,
1984-01-24,,,7.92474889755249,8.375938510894775,8.621779203414917,8.582733988761902,,,
1984-01-25,,,7.751216411590576,8.14455966949463,8.503197288513183,8.562488222122193,,,
1984-01-26,,,7.404146671295166,7.878472995758057,8.34990839958191,8.529227423667908,,,
1984-01-27,,,7.172764778137207,7.658662891387939,8.187942552566529,8.47138249874115,8.326770534515381,,
1984-01-30,,,6.999230861663818,7.450421524047852,8.005731391906739,8.404860877990723,8.30016188621521,,
1984-01-31,,,7.114919662475586,7.288455677032471,7.832197093963623,8.338339233398438,8.272396383285523,,
1984-02-01,,,6.941386222839356,7.126489639282227,7.635524654388428,8.257356405258179,8.246366186141968,,
1984-02-02,,,6.710004806518555,6.987661266326905,7.43306713104248,8.154681777954101,8.215708360671997,,
1984-02-03,,,6.47862720489502,6.848833751678467,7.2537483215332035,8.036100006103515,8.182158269882201,,
1984-02-06,,,6.536471366882324,6.756281852722168,7.103351688385009,7.917518043518067,8.152078943252564,,
1984-02-07,,,6.47862720489502,6.6290233612060545,6.958739519119263,7.79025936126709,8.120264234542846,,
1984-02-08,,,6.391860485076904,6.519118213653565,6.822803926467896,7.66300060749054,8.08497880935669,,
1984-02-09,,,6.391860485076904,6.4554893493652346,6.721575307846069,7.535741853713989,8.052007265090943,,
1984-02-10,,,6.594316005706787,6.478627109527588,6.663730430603027,7.425836491584778,8.016143417358398,,
1984-02-13,,,6.623238563537598,6.495980548858642,6.626131200790406,7.315931296348571,7.978544292449951,,
1984-02-14,,,6.941386222839356,6.58853235244751,6.608777856826782,7.220487475395203,7.951935710906983,,
1984-02-15,,,6.999230861663818,6.710006427764893,6.614562320709228,7.125043487548828,7.9241701602935795,,
1984-02-16,,,6.825695991516113,6.796773529052734,6.626131439208985,7.029599285125732,7.893512372970581,,
1984-02-17,,,6.767851829528809,6.831480693817139,6.655053901672363,6.954401111602783,7.858805513381958,,
