Date,GRADE,GPS,LULU,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-07-27,,,14.0,,,,,,
2007-07-30,,,14.989999771118164,,,,,,
2007-07-31,,,16.06999969482422,,,,,,
2007-08-01,,,15.539999961853027,,,,,,
2007-08-02,,,16.524999618530273,15.424999809265136,,,,,
2007-08-03,,,15.5,15.724999809265137,,,,,
2007-08-06,,,16.375,16.001999855041504,,,,,
2007-08-07,,,18.1200008392334,16.41200008392334,,,,,
2007-08-08,,,18.875,17.079000091552736,,,,,
2007-08-09,,,17.674999237060547,17.30900001525879,16.366999912261964,,,,
2007-08-10,,,18.075000762939453,17.82400016784668,16.77449998855591,,,,
2007-08-13,,,18.440000534057617,18.237000274658204,17.119500064849852,,,,
2007-08-14,,,16.75,17.963000106811524,17.187500095367433,,,,
2007-08-15,,,16.725000381469727,17.533000183105468,17.3060001373291,,,,
2007-08-16,,,16.014999389648438,17.201000213623047,17.255000114440918,,,,
2007-08-17,,,16.469999313354492,16.879999923706055,17.352000045776368,,,,
2007-08-20,,,16.5,16.49199981689453,17.364500045776367,,,,
2007-08-21,,,17.010000228881836,16.543999862670898,17.25349998474121,,,,
2007-08-22,,,17.145000457763672,16.62799987792969,17.080500030517577,,,,
2007-08-23,,,16.895000457763672,16.804000091552734,17.002500152587892,16.684750032424926,,,
2007-08-24,,,17.184999465942383,16.947000122070314,16.913500022888183,16.844000005722044,,,
2007-08-27,,,16.524999618530273,16.952000045776366,16.72199993133545,16.920749998092653,,,
2007-08-28,,,16.149999618530273,16.779999923706054,16.661999893188476,16.924749994277953,,,
2007-08-29,,,16.7450008392334,16.7,16.663999938964842,16.98500003814697,,,
2007-08-30,,,16.78499984741211,16.677999877929686,16.74099998474121,16.998000049591063,,,
2007-08-31,,,17.03499984741211,16.647999954223632,16.79750003814697,17.07475004196167,,,
2007-09-03,,,17.03499984741211,16.75,16.851000022888183,17.107750034332277,,,
2007-09-04,,,17.479999542236328,17.01599998474121,16.897999954223632,17.075749969482423,,,
2007-09-05,,,17.420000076293945,17.15099983215332,16.92549991607666,17.00299997329712,,,
2007-09-06,,,18.475000381469727,17.488999938964845,17.083499908447266,17.04300003051758,,,
2007-09-07,,,17.950000762939453,17.672000122070312,17.160000038146972,17.036750030517577,,,
2007-09-10,,,18.32999992370605,17.9310001373291,17.34050006866455,17.03125,,,
2007-09-11,,,17.809999465942383,17.99700012207031,17.506500053405762,17.08424997329712,,,
2007-09-12,,,17.915000915527344,18.096000289916994,17.623500061035156,17.14375,,,
2007-09-13,,,17.514999389648438,17.904000091552735,17.69650001525879,17.21875,,,
2007-09-14,,,17.09000015258789,17.731999969482423,17.702000045776366,17.24975004196167,,,
2007-09-17,,,17.354999542236328,17.536999893188476,17.73400001525879,17.292500019073486,,,
2007-09-18,,,18.100000381469727,17.595000076293946,17.79600009918213,17.34700002670288,,,
2007-09-19,,,19.665000915527344,17.945000076293944,18.02050018310547,17.473000049591064,,,
2007-09-20,,,19.895000457763672,18.421000289916993,18.162500190734864,17.623000049591063,,,
2007-09-21,,,19.94499969482422,18.99200019836426,18.36200008392334,17.761000061035155,,,
2007-09-24,,,19.684999465942383,19.45800018310547,18.497500038146974,17.91900005340576,,,
2007-09-25,,,21.149999618530277,20.068000030517577,18.83150005340576,18.16900005340576,,,
2007-09-26,,,21.51499938964844,20.437999725341797,19.19149990081787,18.407499980926513,,,
2007-09-27,,,20.649999618530277,20.588999557495118,19.504999923706055,18.600749969482422,,,
2007-09-28,,,21.01499938964844,20.802999496459964,19.89749984741211,18.79974994659424,,,
2007-10-01,,,21.530000686645508,21.17199974060059,20.314999961853026,19.02449998855591,,,
2007-10-02,,,22.799999237060547,21.501999664306645,20.78499984741211,19.29049997329712,,,
2007-10-03,,,23.19499969482422,21.8379997253418,21.137999725341796,19.579249954223634,,,
2007-10-04,,,22.25,22.157999801635743,21.37349967956543,19.767999935150147,17.997799968719484,,
