Date,GRADE,GPS,KMI,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2011-02-11,,,15.919232368469238,,,,,,
2011-02-14,,,15.739794731140137,,,,,,
2011-02-15,,,15.862837791442873,,,,,,
2011-02-16,,,15.750046730041504,,,,,,
2011-02-17,,,15.662883758544922,15.786959075927735,,,,,
2011-02-18,,,16.083297729492188,15.819772148132325,,,,,
2011-02-21,,,16.083297729492188,15.888472747802734,,,,,
2011-02-22,,,15.750046730041504,15.86591453552246,,,,,
2011-02-23,,,15.596238136291504,15.83515281677246,,,,,
2011-02-24,,,15.616745948791504,15.825925254821778,15.806442165374756,,,,
2011-02-25,,,15.63725471496582,15.736716651916504,15.778244400024414,,,,
2011-02-28,,,15.63725471496582,15.64750804901123,15.767990398406983,,,,
2011-03-01,,,15.611621856689451,15.61982307434082,15.742868804931641,,,,
2011-03-02,,,15.673139572143556,15.63520336151123,15.735178089141845,,,,
2011-03-03,,,15.775676727294922,15.666989517211913,15.746457386016846,,,,
2011-03-04,,,15.816693305969238,15.702877235412597,15.719796943664551,,,,
2011-03-07,,,15.842325210571287,15.743891334533691,15.695699691772461,,,,
2011-03-08,,,15.878217697143556,15.797210502624512,15.708516788482665,,,,
2011-03-09,,,15.765424728393556,15.815667533874512,15.72543544769287,,,,
2011-03-10,,,15.432173728942873,15.746966934204101,15.706978225708008,15.756710195541382,,,
2011-03-11,,,15.432173728942873,15.670063018798828,15.686470127105713,15.732357263565063,,,
2011-03-14,,,15.37576961517334,15.576751899719238,15.660321617126465,15.714156007766723,,,
2011-03-15,,,15.319376945495604,15.46498374938965,15.63109712600708,15.68698296546936,,,
2011-03-16,,,15.406535148620604,15.393205833435058,15.604436683654786,15.669807386398315,,,
2011-03-17,,,15.45781135559082,15.39833335876465,15.572650146484374,15.65955376625061,,,
2011-03-18,,,15.63725471496582,15.439349555969239,15.554706287384032,15.637251615524292,,,
2011-03-21,,,15.801314353942873,15.524458503723144,15.550605201721192,15.623152446746825,,,
2011-03-22,,,15.739794731140137,15.60854206085205,15.536762905120849,15.622639846801757,,,
2011-03-23,,,15.391158103942873,15.605466651916505,15.499336242675781,15.612385845184326,,,
2011-03-24,,,15.406535148620604,15.595211410522461,15.496772384643554,15.601875305175781,,,
2011-03-25,,,15.13481330871582,15.494723129272462,15.46703634262085,15.576753234863281,,,
2011-03-28,,,15.186084747314451,15.371677207946778,15.44806785583496,15.554194736480714,,,
2011-03-29,,,15.273240089416504,15.27836627960205,15.443454170227051,15.537275648117065,,,
2011-03-30,,,15.221961975097656,15.244527053833007,15.424996852874756,15.51471676826477,,,
2011-03-31,,,15.196332931518556,15.202486610412597,15.39884901046753,15.485749578475952,,,
2011-04-01,,,15.124558448791504,15.200435638427734,15.347579383850098,15.451142835617066,,,
2011-04-04,,,15.093792915344238,15.181977272033691,15.276827239990235,15.413716220855713,,,
