Date,GRADE,GPS,ES,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1983-11-21,,,2.16046142578125,,,,,,
1983-11-22,,,2.1808407306671143,,,,,,
1983-11-23,,,2.201223373413086,,,,,,
1983-11-24,,,2.201223373413086,,,,,,
1983-11-25,,,2.078932285308838,2.164536237716675,,,,,
1983-11-28,,,2.078932285308838,2.1482304096221925,,,,,
1983-11-29,,,2.099314451217652,2.1319251537322996,,,,,
1983-11-30,,,2.078932285308838,2.10746693611145,,,,,
1983-12-01,,,2.0585522651672363,2.0789327144622805,,,,,
1983-12-02,,,1.977024793624878,2.058551216125488,2.1115437269210817,,,,
1983-12-05,,,1.977024793624878,2.0381697177886964,2.0932000637054444,,,,
1983-12-06,,,1.9974061250686648,2.017788052558899,2.0748566031455993,,,,
1983-12-07,,,2.0177886486053467,2.0055593252182007,2.0565131306648254,,,,
1983-12-08,,,1.9974061250686648,1.9933300971984866,2.036131405830383,,,,
1983-12-09,,,2.0177886486053467,2.00148286819458,2.030017042160034,,,,
1983-12-12,,,2.0585522651672363,2.017788362503052,2.027979040145874,,,,
1983-12-13,,,2.038170099258423,2.0259411573410033,2.0218646049499513,,,,
1983-12-14,,,2.0177886486053467,2.0259411573410033,2.0157502412796022,,,,
1983-12-15,,,2.0177886486053467,2.0300176620483397,2.0116738796234133,,,,
1983-12-16,,,1.9974061250686648,2.0259411573410033,2.0137120127677917,2.0626278698444365,,,
1983-12-19,,,1.9974061250686648,2.013711929321289,2.0157501459121705,2.0544751048088075,,,
1983-12-20,,,2.0177886486053467,2.009635639190674,2.0177883982658384,2.046322500705719,,,
1983-12-21,,,1.9974061250686648,2.0055591344833372,2.0157501459121705,2.0361316382884977,,,
1983-12-22,,,2.038170099258423,2.0096354246139527,2.0198265433311464,2.0279789745807646,,,
1983-12-23,,,2.0177886486053467,2.013711929321289,2.0198265433311464,2.02492179274559,,,
1983-12-26,,,2.0177886486053467,2.0177884340286254,2.0157501816749575,2.0218646109104155,,,
1983-12-27,,,2.0177886486053467,2.0177884340286254,2.0137120366096495,2.0177883207798004,,,
1983-12-28,,,2.0177886486053467,2.0218649387359617,2.0137120366096495,2.014731138944626,,,
1983-12-29,,,1.9974061250686648,2.0137121438980103,2.011673784255982,2.011673831939697,,,
1983-12-30,,,1.9974061250686648,2.009635639190674,2.011673784255982,2.0126928985118866,,,
1984-01-02,,,1.9974061250686648,2.0055591344833372,2.011673784255982,2.013711965084076,,,
1984-01-03,,,2.0177886486053467,2.0055591344833372,2.011673784255982,2.01473109126091,,,
1984-01-04,,,2.0585522651672363,2.013711857795715,2.017788398265839,2.0167692720890047,,,
1984-01-05,,,2.0585522651672363,2.02594108581543,2.01982661485672,2.019826579093933,,,
1984-01-06,,,2.099314451217652,2.0463227510452273,2.0279791951179504,2.0239028692245484,,,
1984-01-09,,,2.078932285308838,2.062627983093262,2.0340935587882996,2.0249218702316285,,,
1984-01-10,,,2.038170099258423,2.066704273223877,2.036131703853607,2.0249218702316285,,,
1984-01-11,,,2.0585522651672363,2.066704273223877,2.040208065509796,2.026960051059723,,,
1984-01-12,,,2.038170099258423,2.062627840042114,2.044284462928772,2.0279791235923765,,,
1984-01-13,,,2.078932285308838,2.0585514068603517,2.0524370789527895,2.0320554316043853,,,
1984-01-16,,,2.0585522651672363,2.0544754028320313,2.0585516929626464,2.035112738609314,,,
1984-01-17,,,2.038170099258423,2.0544754028320313,2.060589838027954,2.036131811141968,,,
1984-01-18,,,2.038170099258423,2.0503989696502685,2.058551621437073,2.0381700098514557,,,
1984-01-19,,,2.038170099258423,2.0503989696502685,2.0565134048461915,2.0381700098514557,,,
1984-01-20,,,2.038170099258423,2.0422465324401857,2.0503989696502685,2.0391890823841097,,,
1984-01-23,,,2.038170099258423,2.038170099258423,2.046322751045227,2.040208154916763,,,
1984-01-24,,,2.078932285308838,2.046322536468506,2.0503989696502685,2.0432653367519378,,,
1984-01-25,,,2.099314451217652,2.0585514068603517,2.05447518825531,2.0473416268825533,,,
1984-01-26,,,2.119696140289306,2.0748566150665284,2.0626277923583984,2.053456127643585,,,
1984-01-27,,,2.099314451217652,2.087085485458374,2.06466600894928,2.0585515439510345,2.0508065223693848,,
1984-01-30,,,2.099314451217652,2.0993143558502196,2.0687422275543215,2.063646960258484,2.0495835828781126,,
1984-01-31,,,2.119696140289306,2.1074671268463137,2.07689483165741,2.068742334842682,2.0483606910705565,,
1984-02-01,,,2.16046142578125,2.119696521759033,2.0891239643096924,2.0738377928733827,2.04754545211792,,
1984-02-02,,,2.119696140289306,2.119696521759033,2.0972765684127808,2.076894986629486,2.0459149074554444,,
1984-02-03,,,2.1400792598724365,2.12784948348999,2.1074674844741823,2.078933227062225,2.0471378469467165,,
1984-02-06,,,2.119696140289306,2.1319258213043213,2.1156200885772707,2.080971419811249,2.047953124046326,,
1984-02-07,,,2.1808407306671143,2.144154739379883,2.1258109331130983,2.088104951381683,2.049583649635315,,
1984-02-08,,,2.1808407306671143,2.1482306003570555,2.1339635610580445,2.094219374656677,2.0516218185424804,,
1984-02-09,,,2.1400792598724365,2.152307224273682,2.1360018730163572,2.099314832687378,2.0532523584365845,,
1984-02-10,,,2.099314451217652,2.144154262542725,2.1360018730163572,2.100333940982819,2.05569815158844,,
1984-02-13,,,2.0177886486053467,2.1237727642059325,2.127849292755127,2.0982957601547243,2.0565134286880493,,
1984-02-14,,,2.0177886486053467,2.091162347793579,2.117658543586731,2.0972766876220703,2.056921079158783,,
1984-02-15,,,1.977024793624878,2.050399160385132,2.099314880371094,2.094219422340393,2.0561058020591734,,
1984-02-16,,,1.9566434621810915,2.013712000846863,2.0830096125602724,2.0901430904865266,2.055290548801422,,
1984-02-17,,,1.9566434621810915,1.9851778030395508,2.0646660327911377,2.08606675863266,2.054067645072937,,
1984-02-20,,,1.9566434621810915,1.9729487657546998,2.048360764980316,2.081990426778794,2.052029469013214,,
1984-02-21,,,1.9566434621810915,1.9607197284698485,2.025941038131714,2.0758759856224063,2.0503989362716677,,
1984-02-22,,,1.936261534690857,1.9525670766830445,2.0014831185340882,2.0677233397960664,2.048768393993378,,
1984-02-23,,,1.936261534690857,1.9484906911849975,1.9811013460159301,2.0585516095161442,2.047137851715088,,
1984-02-24,,,1.8954973220825195,1.9362614631652832,1.960719633102417,2.048360753059387,2.045099675655365,,
1984-02-27,,,1.8954973220825195,1.9240322351455688,1.9484905004501343,2.0381698966026307,2.043061499595642,,
1984-02-28,,,1.8954973220825195,1.9118030071258545,1.9362613677978515,2.0269599556922913,2.0406156730651857,,
1984-02-29,,,1.9158796072006223,1.9077266216278077,1.9301468491554261,2.01473086476326,2.0389851427078245,,
1984-03-01,,,1.8954973220825195,1.8995737791061402,1.9240322351455688,2.003520923852921,2.0361316871643065,,
1984-03-02,,,1.9158796072006223,1.9036502361297607,1.919955849647522,1.9923109412193298,2.034093506336212,,
1984-03-05,,,1.9566434621810915,1.9158794641494752,1.919955849647522,1.9841583073139195,2.0328706026077272,,
1984-03-06,,,1.9158796072006223,1.9199559211730957,1.9158794641494752,1.9709102511405945,2.0308324217796327,,
1984-03-07,,,1.875115990638733,1.9118031978607177,1.9097649097442626,1.9556240141391754,2.0279789686203005,,
1984-03-08,,,1.813970923423767,1.8954979181289673,1.8975358486175538,1.939318597316742,2.0243102645874025,,
1984-03-09,,,1.8343524932861328,1.8791924953460692,1.891421365737915,1.926070499420166,2.021049191951752,,
1984-03-12,,,1.8343524932861328,1.8547343015670776,1.8853068828582764,1.9168986916542052,2.017788119316101,,
1984-03-13,,,1.875115990638733,1.8465815782546997,1.8832687497138978,1.9097650587558745,2.0149346661567686,,
1984-03-14,,,1.854735016822815,1.8425053834915162,1.877154290676117,1.9036505699157715,2.0108583211898803,,
1984-03-15,,,1.875115990638733,1.8547343969345094,1.8751161575317383,1.8995741963386537,2.00718959569931,,
1984-03-16,,,1.8954973220825195,1.8669633626937867,1.873077929019928,1.896516889333725,2.0031132531166076,,
1984-03-19,,,1.8954973220825195,1.879192328453064,1.8669633150100708,1.8934595823287963,1.9994445538520813,,
1984-03-20,,,1.9158796072006223,1.887345051765442,1.8669633150100708,1.8914213895797727,1.9969987440109254,,
1984-03-21,,,1.8954973220825195,1.8954975128173828,1.8690014481544495,1.8893831789493558,1.993737645149231,,
1984-03-22,,,1.936261534690857,1.9077266216278077,1.8812305092811585,1.8893831789493558,1.9916994738578797,,
1984-03-23,,,1.936261534690857,1.9158794641494752,1.891421413421631,1.8914213895797727,1.9888460588455201,,
1984-03-26,,,1.936261534690857,1.9240323066711427,1.9016123175621034,1.8934596002101896,1.9864002442359925,,
